,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,398,0.4,110,117,20181124-223645
1,臺北市,松山區,2,43331,43.38,110,117,20181124-223645
2,臺北市,松山區,3,16317,16.34,110,117,20181124-223645
3,臺北市,松山區,4,39440,39.49,110,117,20181124-223645
4,臺北市,松山區,5,396,0.4,110,117,20181124-223645
5,臺北市,信義區,1,408,0.4,118,142,20181124-223646
6,臺北市,信義區,2,44751,44.28,118,142,20181124-223646
7,臺北市,信義區,3,16250,16.08,118,142,20181124-223646
8,臺北市,信義區,4,39234,38.82,118,142,20181124-223646
9,臺北市,信義區,5,411,0.41,118,142,20181124-223646
10,臺北市,大安區,1,417,0.38,134,188,20181124-223646
11,臺北市,大安區,2,50681,45.59,134,188,20181124-223646
12,臺北市,大安區,3,16581,14.91,134,188,20181124-223646
13,臺北市,大安區,4,43025,38.7,134,188,20181124-223646
14,臺北市,大安區,5,475,0.43,134,188,20181124-223646
15,臺北市,中山區,1,447,0.39,126,133,20181124-223646
16,臺北市,中山區,2,43998,38.3,126,133,20181124-223646
17,臺北市,中山區,3,22229,19.35,126,133,20181124-223646
18,臺北市,中山區,4,47737,41.55,126,133,20181124-223646
19,臺北市,中山區,5,467,0.41,126,133,20181124-223646
20,臺北市,中正區,1,332,0.45,87,96,20181124-223646
21,臺北市,中正區,2,30560,41.73,87,96,20181124-223646
22,臺北市,中正區,3,11478,15.67,87,96,20181124-223646
23,臺北市,中正區,4,30522,41.68,87,96,20181124-223646
24,臺北市,中正區,5,344,0.47,87,96,20181124-223646
25,臺北市,大同區,1,266,0.38,82,82,20181124-223647
26,臺北市,大同區,2,20763,29.69,82,82,20181124-223647
27,臺北市,大同區,3,16896,24.16,82,82,20181124-223647
28,臺北市,大同區,4,31679,45.29,82,82,20181124-223647
29,臺北市,大同區,5,339,0.48,82,82,20181124-223647
30,臺北市,萬華區,1,427,0.41,117,117,20181124-223647
31,臺北市,萬華區,2,38666,37.05,117,117,20181124-223647
32,臺北市,萬華區,3,21400,20.5,117,117,20181124-223647
33,臺北市,萬華區,4,43411,41.59,117,117,20181124-223647
34,臺北市,萬華區,5,464,0.44,117,117,20181124-223647
35,臺北市,文山區,1,420,0.48,101,162,20181124-223647
36,臺北市,文山區,2,41368,47.15,101,162,20181124-223647
37,臺北市,文山區,3,11612,13.23,101,162,20181124-223647
38,臺北市,文山區,4,33902,38.64,101,162,20181124-223647
39,臺北市,文山區,5,442,0.5,101,162,20181124-223647
40,臺北市,南港區,1,287,0.43,72,72,20181124-223647
41,臺北市,南港區,2,26282,39.45,72,72,20181124-223647
42,臺北市,南港區,3,10830,16.26,72,72,20181124-223647
43,臺北市,南港區,4,28896,43.37,72,72,20181124-223647
44,臺北市,南港區,5,325,0.49,72,72,20181124-223647
45,臺北市,內湖區,1,517,0.36,144,150,20181124-223648
46,臺北市,內湖區,2,59056,41.02,144,150,20181124-223648
47,臺北市,內湖區,3,20805,14.45,144,150,20181124-223648
48,臺北市,內湖區,4,62980,43.75,144,150,20181124-223648
49,臺北市,內湖區,5,609,0.42,144,150,20181124-223648
50,臺北市,士林區,1,234,0.34,78,163,20181124-223648
51,臺北市,士林區,2,25256,36.42,78,163,20181124-223648
52,臺北市,士林區,3,15038,21.68,78,163,20181124-223648
53,臺北市,士林區,4,28532,41.14,78,163,20181124-223648
54,臺北市,士林區,5,288,0.42,78,163,20181124-223648
55,臺北市,北投區,1,368,0.4,99,141,20181124-223648
56,臺北市,北投區,2,36449,39.14,99,141,20181124-223648
57,臺北市,北投區,3,17035,18.29,99,141,20181124-223648
58,臺北市,北投區,4,38875,41.75,99,141,20181124-223648
59,臺北市,北投區,5,395,0.42,99,141,20181124-223648
60,新北市,板橋區,1,111080,46.18,290,338,20181124-223648
61,新北市,板橋區,2,129476,53.82,290,338,20181124-223648
62,新北市,三重區,1,74551,50.26,179,235,20181124-223648
63,新北市,三重區,2,73766,49.74,179,235,20181124-223648
64,新北市,中和區,1,74454,36.68,227,244,20181124-223649
65,新北市,中和區,2,128553,63.32,227,244,20181124-223649
66,新北市,永和區,1,32737,32.69,118,138,20181124-223649
67,新北市,永和區,2,67403,67.31,118,138,20181124-223649
68,新北市,新莊區,1,77975,48.51,196,253,20181124-223649
69,新北市,新莊區,2,82766,51.49,196,253,20181124-223649
70,新北市,新店區,1,45197,31.27,161,176,20181124-223649
71,新北市,新店區,2,99336,68.73,161,176,20181124-223649
72,新北市,樹林區,1,36305,45.95,98,111,20181124-223649
73,新北市,樹林區,2,42700,54.05,98,111,20181124-223649
74,新北市,鶯歌區,1,19922,46.65,49,50,20181124-223650
75,新北市,鶯歌區,2,22786,53.35,49,50,20181124-223650
76,新北市,三峽區,1,23653,42.64,70,70,20181124-223650
77,新北市,三峽區,2,31822,57.36,70,70,20181124-223650
78,新北市,淡水區,1,22804,40.87,68,96,20181124-223650
79,新北市,淡水區,2,32986,59.13,68,96,20181124-223650
80,新北市,汐止區,1,26692,39.48,77,111,20181124-223650
81,新北市,汐止區,2,40921,60.52,77,111,20181124-223650
82,新北市,瑞芳區,1,7764,37.93,45,46,20181124-223651
83,新北市,瑞芳區,2,12704,62.07,45,46,20181124-223651
84,新北市,土城區,1,49089,43.95,135,142,20181124-223651
85,新北市,土城區,2,62604,56.05,135,142,20181124-223651
86,新北市,蘆洲區,1,48350,50.56,104,104,20181124-223652
87,新北市,蘆洲區,2,47271,49.44,104,104,20181124-223652
88,新北市,五股區,1,19464,47.7,46,48,20181124-223652
89,新北市,五股區,2,21340,52.3,46,48,20181124-223652
90,新北市,泰山區,1,11583,46.32,32,47,20181124-223652
91,新北市,泰山區,2,13422,53.68,32,47,20181124-223652
92,新北市,林口區,1,20883,40.92,62,62,20181124-223652
93,新北市,林口區,2,30150,59.08,62,62,20181124-223652
94,新北市,深坑區,1,5153,40.03,16,16,20181124-223653
95,新北市,深坑區,2,7720,59.97,16,16,20181124-223653
96,新北市,石碇區,1,2488,52.27,13,13,20181124-223653
97,新北市,石碇區,2,2272,47.73,13,13,20181124-223653
98,新北市,坪林區,1,2255,55.46,10,10,20181124-223653
99,新北市,坪林區,2,1811,44.54,10,10,20181124-223653
100,新北市,三芝區,1,4915,40.6,18,18,20181124-223653
101,新北市,三芝區,2,7191,59.4,18,18,20181124-223653
102,新北市,石門區,1,2928,41.3,10,10,20181124-223654
103,新北市,石門區,2,4162,58.7,10,10,20181124-223654
104,新北市,八里區,1,8982,46.0,20,20,20181124-223654
105,新北市,八里區,2,10545,54.0,20,20,20181124-223654
106,新北市,平溪區,1,1417,46.72,12,12,20181124-223654
107,新北市,平溪區,2,1616,53.28,12,12,20181124-223654
108,新北市,雙溪區,1,2423,44.18,17,17,20181124-223654
109,新北市,雙溪區,2,3062,55.82,17,17,20181124-223654
