,案號,縣市,行政區,同意,不同意,有效,無效,投票數,投票權人數,投票率,有效同意票數對投票權人數百分比,已送投開票所數,應送投開票所數,時間
0,7,臺北市,松山區,46966,14293,61259,3743,65002.0,110003.0,59.09,42.7,78,117,20181125-000240
1,7,臺北市,信義區,71030,20685,91715,5383,97098.0,168732.0,57.55,42.1,127,142,20181125-000240
2,7,臺北市,大安區,61124,18962,80086,4291,84377.0,148303.0,56.9,41.22,113,188,20181125-000240
3,7,臺北市,中山區,76848,24436,101284,6855,108139.0,190699.0,56.71,40.3,130,133,20181125-000240
4,7,臺北市,中正區,47935,14678,62613,3800,66413.0,114047.0,58.23,42.03,86,96,20181125-000241
5,7,臺北市,大同區,36361,12537,48898,3877,52775.0,91831.0,57.47,39.6,71,82,20181125-000241
6,7,臺北市,萬華區,62665,19038,81703,6447,88150.0,159283.0,55.34,39.34,114,117,20181125-000241
7,7,臺北市,文山區,72217,18487,90704,5527,96231.0,160408.0,59.99,45.02,118,162,20181125-000241
8,7,臺北市,南港區,43217,12009,55226,3158,58384.0,101907.0,57.29,42.41,72,72,20181125-000242
9,7,臺北市,內湖區,80296,22746,103042,5729,108771.0,187663.0,57.96,42.79,120,150,20181125-000242
10,7,臺北市,士林區,58409,19257,77666,6227,83893.0,146237.0,57.37,39.94,103,163,20181125-000242
11,7,臺北市,北投區,47851,14488,62339,4337,66676.0,120780.0,55.2,39.62,83,141,20181125-000242
12,7,新北市,板橋區,181519,54374,235893,19109,255002.0,458223.0,55.65,39.61,335,338,20181125-000243
13,7,新北市,三重區,126718,39015,165733,15943,181676.0,326075.0,55.72,38.86,233,235,20181125-000243
14,7,新北市,中和區,133183,34087,167270,11094,178364.0,323958.0,55.06,41.11,224,244,20181125-000243
15,7,新北市,永和區,83228,20414,103642,6419,110061.0,187798.0,58.61,44.32,138,138,20181125-000243
16,7,新北市,新莊區,138373,40718,179091,13633,192724.0,340739.0,56.56,40.61,250,253,20181125-000244
17,7,新北市,新店區,98326,22787,121113,7225,128338.0,229277.0,55.98,42.89,155,176,20181125-000244
18,7,新北市,樹林區,60060,16981,77041,5426,82467.0,150515.0,54.79,39.9,110,111,20181125-000244
19,7,新北市,鶯歌區,25418,7377,32795,2236,35031.0,66724.0,52.5,38.09,47,50,20181125-000244
20,7,新北市,三峽區,35739,10099,45838,3190,49028.0,94291.0,52.0,37.9,70,70,20181125-000244
21,7,新北市,淡水區,54351,14672,69023,4217,73240.0,140205.0,52.24,38.77,93,96,20181125-000245
22,7,新北市,汐止區,66157,17684,83841,5528,89369.0,170109.0,52.54,38.89,109,111,20181125-000245
23,7,新北市,瑞芳區,12211,3277,15488,1236,16724.0,35036.0,47.73,34.85,46,46,20181125-000245
24,7,新北市,土城區,75681,21242,96923,7590,104513.0,192641.0,54.25,39.29,137,142,20181125-000245
25,7,新北市,蘆洲區,62482,19046,81528,6811,88339.0,166007.0,53.21,37.64,103,104,20181125-000245
26,7,新北市,五股區,27379,7871,35250,2856,38106.0,72443.0,52.6,37.79,48,48,20181125-000246
27,7,新北市,泰山區,23027,6232,29259,1959,31218.0,56657.0,55.1,40.64,42,47,20181125-000246
28,7,新北市,林口區,36042,9434,45476,2656,48132.0,86203.0,55.84,41.81,62,62,20181125-000246
29,7,新北市,深坑區,8193,2201,10394,716,11110.0,20624.0,53.87,39.73,16,16,20181125-000246
30,7,新北市,石碇區,2358,719,3077,309,3386.0,6861.0,49.35,34.37,13,13,20181125-000246
31,7,新北市,坪林區,2075,535,2610,311,2921.0,5891.0,49.58,35.22,10,10,20181125-000247
32,7,新北市,三芝區,6999,1927,8926,704,9630.0,20119.0,47.87,34.79,18,18,20181125-000247
33,7,新北市,石門區,3899,1018,4917,509,5426.0,10528.0,51.54,37.03,10,10,20181125-000247
34,7,新北市,八里區,12684,3493,16177,1263,17440.0,32970.0,52.9,38.47,20,20,20181125-000247
35,7,新北市,平溪區,1428,412,1840,190,2030.0,4321.0,46.98,33.05,12,12,20181125-000247
36,7,新北市,雙溪區,2739,737,3476,373,3849.0,7999.0,48.12,34.24,17,17,20181125-000248
37,7,新北市,貢寮區,3309,1075,4384,423,4807.0,11279.0,42.62,29.34,18,18,20181125-000248
38,7,新北市,金山區,6853,1860,8713,843,9556.0,18978.0,50.35,36.11,19,19,20181125-000248
39,7,新北市,萬里區,6883,1811,8694,854,9548.0,19297.0,49.48,35.67,16,16,20181125-000249
40,7,新北市,烏來區,942,210,1152,79,1231.0,2527.0,48.71,37.28,4,6,20181125-000249
41,7,桃園市,桃園區,96118,25884,122002,6722,128724.0,255014.0,50.48,37.69,158,216,20181125-000249
42,7,桃園市,中壢區,96812,23178,119990,6247,126237.0,239951.0,52.61,40.35,156,210,20181125-000249
43,7,桃園市,大溪區,30058,7843,37901,2974,40875.0,78285.0,52.21,38.4,59,59,20181125-000249
44,7,桃園市,楊梅區,49306,11091,60397,3116,63513.0,125256.0,50.71,39.36,76,82,20181125-000250
45,7,桃園市,蘆竹區,48141,12964,61105,3805,64910.0,129252.0,50.22,37.25,76,76,20181125-000250
46,7,桃園市,大園區,22913,6041,28954,1750,30704.0,62917.0,48.8,36.42,43,50,20181125-000250
47,7,桃園市,龜山區,32542,8523,41065,2280,43345.0,89820.0,48.26,36.23,56,78,20181125-000250
48,7,桃園市,八德區,60039,15180,75219,4677,79896.0,159622.0,50.05,37.61,98,101,20181125-000251
49,7,桃園市,龍潭區,36904,8022,44926,2403,47329.0,89400.0,52.94,41.28,57,64,20181125-000251
50,7,桃園市,平鎮區,69443,16067,85510,4227,89737.0,169841.0,52.84,40.89,117,125,20181125-000251
51,7,桃園市,新屋區,17090,4471,21561,1267,22828.0,41461.0,55.06,41.22,30,30,20181125-000251
52,7,桃園市,觀音區,20514,5326,25840,1616,27456.0,55149.0,49.79,37.2,41,41,20181125-000251
53,7,桃園市,復興區,3288,739,4027,320,4347.0,8542.0,50.89,38.49,9,10,20181125-000252
54,7,臺中市,中區,6132,1541,7673,468,8141.0,14696.0,55.4,41.73,12,12,20181125-000252
55,7,臺中市,東區,27596,6811,34407,2096,36503.0,62441.0,58.46,44.2,48,49,20181125-000252
56,7,臺中市,南區,44730,10654,55384,3048,58432.0,95539.0,61.16,46.82,69,74,20181125-000252
57,7,臺中市,西區,41207,10538,51745,2532,54277.0,93586.0,58.0,44.03,65,66,20181125-000252
58,7,臺中市,北區,45379,10570,55949,2773,58722.0,104626.0,56.13,43.37,75,87,20181125-000253
59,7,臺中市,西屯區,82145,18293,100438,4900,105338.0,182257.0,57.8,45.07,119,120,20181125-000253
60,7,臺中市,南屯區,60378,13875,74253,3798,78051.0,129536.0,60.25,46.61,97,101,20181125-000253
61,7,臺中市,北屯區,91368,20317,111685,5568,117253.0,205543.0,57.05,44.45,125,137,20181125-000253
62,7,臺中市,豐原區,56545,14374,70919,4342,75261.0,126088.0,59.69,44.85,82,88,20181125-000254
63,7,臺中市,東勢區,18305,4146,22451,1678,24129.0,41553.0,58.07,44.05,38,39,20181125-000254
64,7,臺中市,大甲區,27122,6558,33680,2271,35951.0,63069.0,57.0,43.0,54,54,20181125-000254
