,縣市,行政區,得票數,得票率,已送投開票所數,應送投開票所數,時間
111,臺南市,關廟區,0,0.0,0,32,20181124-172435
112,臺南市,龍崎區,0,0.0,0,8,20181124-172435
113,臺南市,永康區,0,0.0,0,142,20181124-172435
114,臺南市,東區,0,0.0,0,93,20181124-172436
115,臺南市,南區,0,0.0,0,80,20181124-172436
116,臺南市,北區,0,0.0,0,81,20181124-172436
117,臺南市,安南區,0,0.0,0,90,20181124-172436
118,臺南市,安平區,0,0.0,0,32,20181124-172436
119,臺南市,中西區,0,0.0,0,52,20181124-172437
120,高雄市,鹽埕區,0,0.0,0,24,20181124-172437
121,高雄市,鼓山區,0,0.0,0,77,20181124-172437
122,高雄市,左營區,0,0.0,0,103,20181124-172437
123,高雄市,楠梓區,0,0.0,0,99,20181124-172437
124,高雄市,三民區,0,0.0,0,189,20181124-172438
125,高雄市,新興區,0,0.0,0,42,20181124-172438
126,高雄市,前金區,0,0.0,0,22,20181124-172438
127,高雄市,苓雅區,0,0.0,0,116,20181124-172438
128,高雄市,前鎮區,0,0.0,0,119,20181124-172439
129,高雄市,旗津區,0,0.0,0,18,20181124-172439
130,高雄市,小港區,0,0.0,0,89,20181124-172440
131,高雄市,鳳山區,0,0.0,0,228,20181124-172440
132,高雄市,林園區,0,0.0,0,51,20181124-172440
133,高雄市,大寮區,116,76.32,1,81,20181124-172440
134,高雄市,大樹區,0,0.0,0,32,20181124-172440
135,高雄市,大社區,0,0.0,0,24,20181124-172441
136,高雄市,仁武區,0,0.0,0,47,20181124-172441
137,高雄市,鳥松區,0,0.0,0,28,20181124-172441
138,高雄市,岡山區,0,0.0,0,72,20181124-172441
139,高雄市,橋頭區,119,43.91,1,31,20181124-172442
140,高雄市,燕巢區,126,91.3,1,25,20181124-172442
141,高雄市,田寮區,222,41.57,2,12,20181124-172442
142,高雄市,阿蓮區,0,0.0,0,21,20181124-172442
143,高雄市,路竹區,785,54.82,2,41,20181124-172442
144,高雄市,湖內區,0,0.0,0,24,20181124-172443
145,高雄市,茄萣區,0,0.0,0,21,20181124-172443
146,高雄市,永安區,91,36.84,1,12,20181124-172443
147,高雄市,彌陀區,0,0.0,0,18,20181124-172443
148,高雄市,梓官區,0,0.0,0,28,20181124-172443
149,高雄市,旗山區,0,0.0,0,35,20181124-172444
150,高雄市,美濃區,0,0.0,0,32,20181124-172444
151,高雄市,六龜區,0,0.0,0,12,20181124-172444
152,高雄市,甲仙區,0,0.0,0,7,20181124-172444
153,高雄市,杉林區,0,0.0,0,10,20181124-172444
154,高雄市,內門區,0,0.0,0,18,20181124-172445
155,高雄市,茂林區,0,0.0,0,3,20181124-172445
156,高雄市,桃源區,0,0.0,0,8,20181124-172445
157,高雄市,那瑪夏區,0,0.0,0,4,20181124-172445
158,新竹縣,竹北市,0,0.0,0,103,20181124-172445
159,新竹縣,竹東鎮,0,0.0,0,72,20181124-172446
160,新竹縣,新埔鎮,0,0.0,0,30,20181124-172446
161,新竹縣,關西鎮,0,0.0,0,27,20181124-172446
162,新竹縣,湖口鄉,0,0.0,0,47,20181124-172447
163,新竹縣,新豐鄉,0,0.0,0,39,20181124-172447
164,新竹縣,芎林鄉,0,0.0,0,19,20181124-172447
165,新竹縣,橫山鄉,0,0.0,0,16,20181124-172447
166,新竹縣,北埔鄉,0,0.0,0,10,20181124-172447
167,新竹縣,寶山鄉,0,0.0,0,12,20181124-172448
168,新竹縣,峨眉鄉,0,0.0,0,8,20181124-172448
169,新竹縣,尖石鄉,73,47.4,1,15,20181124-172448
170,新竹縣,五峰鄉,0,0.0,0,6,20181124-172448
171,苗栗縣,苗栗市,0,0.0,0,67,20181124-172448
172,苗栗縣,苑裡鎮,0,0.0,0,40,20181124-172449
173,苗栗縣,通霄鎮,0,0.0,0,34,20181124-172449
174,苗栗縣,竹南鎮,0,0.0,0,61,20181124-172449
175,苗栗縣,頭份市,0,0.0,0,71,20181124-172449
176,苗栗縣,後龍鎮,0,0.0,0,35,20181124-172450
177,苗栗縣,卓蘭鎮,0,0.0,0,19,20181124-172450
178,苗栗縣,大湖鄉,0,0.0,0,15,20181124-172450
