,案號,縣市,行政區,同意,不同意,有效,無效,投票數,投票權人數,投票率,有效同意票數對投票權人數百分比,已送投開票所數,應送投開票所數,時間
0,7,臺北市,松山區,0,0,0,0,0.0,0.0,0.0,0.0,0,117,20181124-185638
1,7,臺北市,信義區,0,0,0,0,0.0,0.0,0.0,0.0,0,142,20181124-185639
2,7,臺北市,大安區,0,0,0,0,0.0,0.0,0.0,0.0,0,188,20181124-185639
3,7,臺北市,中山區,0,0,0,0,0.0,0.0,0.0,0.0,0,133,20181124-185639
4,7,臺北市,中正區,0,0,0,0,0.0,0.0,0.0,0.0,0,96,20181124-185639
5,7,臺北市,大同區,0,0,0,0,0.0,0.0,0.0,0.0,0,82,20181124-185640
6,7,臺北市,萬華區,581,155,736,43,779.0,1527.0,51.02,38.05,1,117,20181124-185640
7,7,臺北市,文山區,0,0,0,0,0.0,0.0,0.0,0.0,0,162,20181124-185640
8,7,臺北市,南港區,495,138,633,29,662.0,1280.0,51.72,38.67,1,72,20181124-185640
9,7,臺北市,內湖區,0,0,0,0,0.0,0.0,0.0,0.0,0,150,20181124-185640
10,7,臺北市,士林區,0,0,0,0,0.0,0.0,0.0,0.0,0,163,20181124-185641
11,7,臺北市,北投區,0,0,0,0,0.0,0.0,0.0,0.0,0,141,20181124-185641
12,7,新北市,板橋區,1118,313,1431,128,1559.0,2795.0,55.78,40.0,4,338,20181124-185641
13,7,新北市,三重區,1125,307,1432,218,1650.0,2761.0,59.76,40.75,3,235,20181124-185641
14,7,新北市,中和區,688,180,868,67,935.0,1565.0,59.74,43.96,2,244,20181124-185641
15,7,新北市,永和區,741,140,881,71,952.0,1747.0,54.49,42.42,2,138,20181124-185642
16,7,新北市,新莊區,830,238,1068,96,1164.0,2021.0,57.6,41.07,2,253,20181124-185642
17,7,新北市,新店區,93,31,124,10,134.0,439.0,30.52,21.18,1,176,20181124-185642
18,7,新北市,樹林區,0,0,0,0,0.0,0.0,0.0,0.0,0,111,20181124-185642
19,7,新北市,鶯歌區,77,19,96,3,99.0,227.0,43.61,33.92,1,50,20181124-185642
20,7,新北市,三峽區,170,39,209,17,226.0,502.0,45.02,33.86,1,70,20181124-185643
21,7,新北市,淡水區,0,0,0,0,0.0,0.0,0.0,0.0,0,96,20181124-185643
22,7,新北市,汐止區,710,181,891,43,934.0,1876.0,49.79,37.85,2,111,20181124-185643
23,7,新北市,瑞芳區,755,228,983,103,1086.0,2373.0,45.76,31.82,8,46,20181124-185643
24,7,新北市,土城區,0,0,0,0,0.0,0.0,0.0,0.0,0,142,20181124-185644
25,7,新北市,蘆洲區,0,0,0,0,0.0,0.0,0.0,0.0,0,104,20181124-185644
26,7,新北市,五股區,187,64,251,32,283.0,463.0,61.12,40.39,1,48,20181124-185644
27,7,新北市,泰山區,91,18,109,5,114.0,186.0,61.29,48.92,1,47,20181124-185644
28,7,新北市,林口區,0,0,0,0,0.0,0.0,0.0,0.0,0,62,20181124-185644
29,7,新北市,深坑區,288,70,358,23,381.0,782.0,48.72,36.83,1,16,20181124-185645
30,7,新北市,石碇區,443,128,571,78,649.0,1366.0,47.51,32.43,4,13,20181124-185645
31,7,新北市,坪林區,529,145,674,78,752.0,1588.0,47.36,33.31,4,10,20181124-185645
32,7,新北市,三芝區,279,99,378,33,411.0,834.0,49.28,33.45,2,18,20181124-185645
33,7,新北市,石門區,115,22,137,14,151.0,328.0,46.04,35.06,1,10,20181124-185645
34,7,新北市,八里區,0,0,0,0,0.0,0.0,0.0,0.0,0,20,20181124-185646
35,7,新北市,平溪區,605,183,788,78,866.0,1792.0,48.33,33.76,7,12,20181124-185646
36,7,新北市,雙溪區,1870,483,2353,260,2613.0,5627.0,46.44,33.23,13,17,20181124-185646
37,7,新北市,貢寮區,757,278,1035,150,1185.0,2718.0,43.6,27.85,6,18,20181124-185646
38,7,新北市,金山區,212,65,277,36,313.0,669.0,46.79,31.69,2,19,20181124-185647
39,7,新北市,萬里區,372,81,453,43,496.0,975.0,50.87,38.15,2,16,20181124-185647
40,7,新北市,烏來區,0,0,0,0,0.0,0.0,0.0,0.0,0,6,20181124-185647
41,7,桃園市,桃園區,0,0,0,0,0.0,0.0,0.0,0.0,0,216,20181124-185647
42,7,桃園市,中壢區,0,0,0,0,0.0,0.0,0.0,0.0,0,210,20181124-185647
43,7,桃園市,大溪區,0,0,0,0,0.0,0.0,0.0,0.0,0,59,20181124-185648
44,7,桃園市,楊梅區,0,0,0,0,0.0,0.0,0.0,0.0,0,82,20181124-185648
