,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,277,0.42,74,117,20181124-204405
1,臺北市,松山區,2,28208,42.55,74,117,20181124-204405
2,臺北市,松山區,3,11169,16.85,74,117,20181124-204405
3,臺北市,松山區,4,26381,39.79,74,117,20181124-204405
4,臺北市,松山區,5,265,0.4,74,117,20181124-204405
5,臺北市,信義區,1,316,0.42,88,142,20181124-204406
6,臺北市,信義區,2,33057,44.37,88,142,20181124-204406
7,臺北市,信義區,3,11976,16.08,88,142,20181124-204406
8,臺北市,信義區,4,28835,38.71,88,142,20181124-204406
9,臺北市,信義區,5,313,0.42,88,142,20181124-204406
10,臺北市,大安區,1,233,0.37,78,188,20181124-204406
11,臺北市,大安區,2,28212,44.85,78,188,20181124-204406
12,臺北市,大安區,3,9559,15.2,78,188,20181124-204406
13,臺北市,大安區,4,24628,39.16,78,188,20181124-204406
14,臺北市,大安區,5,265,0.42,78,188,20181124-204406
15,臺北市,中山區,1,382,0.38,110,133,20181124-204406
16,臺北市,中山區,2,37980,38.13,110,133,20181124-204406
17,臺北市,中山區,3,19325,19.4,110,133,20181124-204406
18,臺北市,中山區,4,41525,41.69,110,133,20181124-204406
19,臺北市,中山區,5,404,0.41,110,133,20181124-204406
20,臺北市,中正區,1,273,0.46,71,96,20181124-204407
21,臺北市,中正區,2,24422,41.47,71,96,20181124-204407
22,臺北市,中正區,3,9293,15.78,71,96,20181124-204407
23,臺北市,中正區,4,24632,41.83,71,96,20181124-204407
24,臺北市,中正區,5,269,0.46,71,96,20181124-204407
25,臺北市,大同區,1,225,0.39,69,82,20181124-204408
26,臺北市,大同區,2,17172,29.56,69,82,20181124-204408
27,臺北市,大同區,3,14154,24.36,69,82,20181124-204408
28,臺北市,大同區,4,26246,45.18,69,82,20181124-204408
29,臺北市,大同區,5,297,0.51,69,82,20181124-204408
30,臺北市,萬華區,1,391,0.41,107,117,20181124-204408
31,臺北市,萬華區,2,35666,37.41,107,117,20181124-204408
32,臺北市,萬華區,3,19368,20.32,107,117,20181124-204408
33,臺北市,萬華區,4,39480,41.41,107,117,20181124-204408
34,臺北市,萬華區,5,433,0.45,107,117,20181124-204408
35,臺北市,文山區,1,195,0.46,52,162,20181124-204409
36,臺北市,文山區,2,20215,47.37,52,162,20181124-204409
37,臺北市,文山區,3,5737,13.44,52,162,20181124-204409
38,臺北市,文山區,4,16306,38.21,52,162,20181124-204409
39,臺北市,文山區,5,222,0.52,52,162,20181124-204409
40,臺北市,南港區,1,259,0.42,66,72,20181124-204409
41,臺北市,南港區,2,24088,39.24,66,72,20181124-204409
42,臺北市,南港區,3,9981,16.26,66,72,20181124-204409
43,臺北市,南港區,4,26748,43.58,66,72,20181124-204409
44,臺北市,南港區,5,305,0.5,66,72,20181124-204409
45,臺北市,內湖區,1,382,0.37,104,150,20181124-204410
46,臺北市,內湖區,2,42131,41.13,104,150,20181124-204410
47,臺北市,內湖區,3,14786,14.44,104,150,20181124-204410
48,臺北市,內湖區,4,44692,43.63,104,150,20181124-204410
49,臺北市,內湖區,5,439,0.43,104,150,20181124-204410
50,臺北市,士林區,1,113,0.33,40,163,20181124-204410
51,臺北市,士林區,2,12330,36.07,40,163,20181124-204410
52,臺北市,士林區,3,7633,22.33,40,163,20181124-204410
53,臺北市,士林區,4,13989,40.92,40,163,20181124-204410
54,臺北市,士林區,5,123,0.36,40,163,20181124-204410
55,臺北市,北投區,1,194,0.39,54,141,20181124-204411
56,臺北市,北投區,2,20002,39.9,54,141,20181124-204411
57,臺北市,北投區,3,9165,18.28,54,141,20181124-204411
58,臺北市,北投區,4,20576,41.04,54,141,20181124-204411
