,案號,縣市,行政區,同意,不同意,有效,無效,投票數,投票權人數,投票率,有效同意票數對投票權人數百分比,已送投開票所數,應送投開票所數,時間
0,7,臺北市,松山區,55487,16922,72409,4438,76847.0,130566.0,58.86,42.5,91,117,20181125-003105
1,7,臺北市,信義區,75341,21969,97310,5679,102989.0,179109.0,57.5,42.06,134,142,20181125-003105
2,7,臺北市,大安區,70649,21952,92601,4978,97579.0,171190.0,57.0,41.27,130,188,20181125-003106
3,7,臺北市,中山區,77320,24602,101922,6887,108809.0,192014.0,56.67,40.27,131,133,20181125-003106
4,7,臺北市,中正區,51440,15763,67203,4071,71274.0,122363.0,58.25,42.04,92,96,20181125-003106
5,7,臺北市,大同區,39093,13569,52662,4137,56799.0,99077.0,57.33,39.46,76,82,20181125-003106
6,7,臺北市,萬華區,64385,19585,83970,6622,90592.0,164020.0,55.23,39.25,117,117,20181125-003107
7,7,臺北市,文山區,84634,21907,106541,6485,113026.0,188748.0,59.88,44.84,137,162,20181125-003107
8,7,臺北市,南港區,43217,12009,55226,3158,58384.0,101907.0,57.29,42.41,72,72,20181125-003107
9,7,臺北市,內湖區,89365,25229,114594,6413,121007.0,208913.0,57.92,42.78,133,150,20181125-003107
10,7,臺北市,士林區,64502,21395,85897,6812,92709.0,162249.0,57.14,39.75,113,163,20181125-003108
11,7,臺北市,北投區,61542,18051,79593,5612,85205.0,153165.0,55.63,40.18,104,141,20181125-003108
12,7,新北市,板橋區,182275,54545,236820,19174,255994.0,459984.0,55.65,39.63,336,338,20181125-003108
13,7,新北市,三重區,128111,39417,167528,16104,183632.0,329846.0,55.67,38.84,235,235,20181125-003108
14,7,新北市,中和區,136866,34957,171823,11381,183204.0,332562.0,55.09,41.16,230,244,20181125-003108
15,7,新北市,永和區,83228,20414,103642,6419,110061.0,187798.0,58.61,44.32,138,138,20181125-003109
16,7,新北市,新莊區,140045,41204,181249,13774,195023.0,344981.0,56.53,40.59,253,253,20181125-003109
17,7,新北市,新店區,105433,24475,129908,7762,137670.0,245946.0,55.98,42.87,165,176,20181125-003109
18,7,新北市,樹林區,60060,16981,77041,5426,82467.0,150515.0,54.79,39.9,110,111,20181125-003110
19,7,新北市,鶯歌區,26639,7797,34436,2322,36758.0,70166.0,52.39,37.97,49,50,20181125-003110
20,7,新北市,三峽區,35739,10099,45838,3190,49028.0,94291.0,52.0,37.9,70,70,20181125-003110
21,7,新北市,淡水區,55146,14874,70020,4280,74300.0,142222.0,52.24,38.77,94,96,20181125-003110
22,7,新北市,汐止區,66157,17684,83841,5528,89369.0,170109.0,52.54,38.89,109,111,20181125-003111
23,7,新北市,瑞芳區,12211,3277,15488,1236,16724.0,35036.0,47.73,34.85,46,46,20181125-003111
24,7,新北市,土城區,76848,21545,98393,7670,106063.0,195663.0,54.21,39.28,139,142,20181125-003111
25,7,新北市,蘆洲區,62988,19193,82181,6888,89069.0,167457.0,53.19,37.61,104,104,20181125-003111
26,7,新北市,五股區,27379,7871,35250,2856,38106.0,72443.0,52.6,37.79,48,48,20181125-003112
27,7,新北市,泰山區,24774,6633,31407,2088,33495.0,61178.0,54.75,40.49,45,47,20181125-003112
28,7,新北市,林口區,36042,9434,45476,2656,48132.0,86203.0,55.84,41.81,62,62,20181125-003112
29,7,新北市,深坑區,8193,2201,10394,716,11110.0,20624.0,53.87,39.73,16,16,20181125-003112
30,7,新北市,石碇區,2358,719,3077,309,3386.0,6861.0,49.35,34.37,13,13,20181125-003112
31,7,新北市,坪林區,2075,535,2610,311,2921.0,5891.0,49.58,35.22,10,10,20181125-003113
32,7,新北市,三芝區,6999,1927,8926,704,9630.0,20119.0,47.87,34.79,18,18,20181125-003113
33,7,新北市,石門區,3899,1018,4917,509,5426.0,10528.0,51.54,37.03,10,10,20181125-003113
34,7,新北市,八里區,12684,3493,16177,1263,17440.0,32970.0,52.9,38.47,20,20,20181125-003113
35,7,新北市,平溪區,1428,412,1840,190,2030.0,4321.0,46.98,33.05,12,12,20181125-003113
36,7,新北市,雙溪區,2739,737,3476,373,3849.0,7999.0,48.12,34.24,17,17,20181125-003114
37,7,新北市,貢寮區,3309,1075,4384,423,4807.0,11279.0,42.62,29.34,18,18,20181125-003114
38,7,新北市,金山區,6853,1860,8713,843,9556.0,18978.0,50.35,36.11,19,19,20181125-003114
39,7,新北市,萬里區,6883,1811,8694,854,9548.0,19297.0,49.48,35.67,16,16,20181125-003115
40,7,新北市,烏來區,2072,470,2542,161,2703.0,5264.0,51.35,39.36,6,6,20181125-003115
41,7,桃園市,桃園區,114156,30455,144611,7895,152506.0,302555.0,50.41,37.73,185,216,20181125-003115
42,7,桃園市,中壢區,108102,25577,133679,6956,140635.0,267789.0,52.52,40.37,172,210,20181125-003115
43,7,桃園市,大溪區,30058,7843,37901,2974,40875.0,78285.0,52.21,38.4,59,59,20181125-003115
44,7,桃園市,楊梅區,51562,11611,63173,3234,66407.0,131190.0,50.62,39.3,79,82,20181125-003116
45,7,桃園市,蘆竹區,48141,12964,61105,3805,64910.0,129252.0,50.22,37.25,76,76,20181125-003116
46,7,桃園市,大園區,26894,7155,34049,2005,36054.0,73900.0,48.79,36.39,50,50,20181125-003116
47,7,桃園市,龜山區,37801,9922,47723,2702,50425.0,103647.0,48.65,36.47,63,78,20181125-003116
48,7,桃園市,八德區,62058,15724,77782,4842,82624.0,165065.0,50.06,37.6,101,101,20181125-003117
49,7,桃園市,龍潭區,38137,8312,46449,2507,48956.0,92636.0,52.85,41.17,59,64,20181125-003117
50,7,桃園市,平鎮區,72707,16750,89457,4396,93853.0,178446.0,52.59,40.74,122,125,20181125-003117
51,7,桃園市,新屋區,17090,4471,21561,1267,22828.0,41461.0,55.06,41.22,30,30,20181125-003117
52,7,桃園市,觀音區,20514,5326,25840,1616,27456.0,55149.0,49.79,37.2,41,41,20181125-003117
53,7,桃園市,復興區,3288,739,4027,320,4347.0,8542.0,50.89,38.49,9,10,20181125-003118
54,7,臺中市,中區,6132,1541,7673,468,8141.0,14696.0,55.4,41.73,12,12,20181125-003118
55,7,臺中市,東區,27596,6811,34407,2096,36503.0,62441.0,58.46,44.2,48,49,20181125-003118
56,7,臺中市,南區,48518,11525,60043,3309,63352.0,103643.0,61.13,46.81,74,74,20181125-003118
57,7,臺中市,西區,41855,10696,52551,2576,55127.0,95040.0,58.0,44.04,66,66,20181125-003118
58,7,臺中市,北區,49876,11574,61450,3056,64506.0,115154.0,56.02,43.31,81,87,20181125-003119
59,7,臺中市,西屯區,82825,18412,101237,4948,106185.0,183814.0,57.77,45.06,120,120,20181125-003119
60,7,臺中市,南屯區,62436,14349,76785,3902,80687.0,133932.0,60.24,46.62,100,101,20181125-003119
61,7,臺中市,北屯區,96757,21612,118369,5874,124243.0,218374.0,56.89,44.31,132,137,20181125-003119
62,7,臺中市,豐原區,61483,15505,76988,4660,81648.0,136658.0,59.75,44.99,88,88,20181125-003120
63,7,臺中市,東勢區,18958,4311,23269,1783,25052.0,43181.0,58.02,43.9,39,39,20181125-003120
64,7,臺中市,大甲區,27122,6558,33680,2271,35951.0,63069.0,57.0,43.0,54,54,20181125-003120
65,7,臺中市,清水區,32206,7100,39306,2489,41795.0,71528.0,58.43,45.03,59,59,20181125-003121
66,7,臺中市,沙鹿區,32234,7425,39659,2329,41988.0,74207.0,56.58,43.44,53,53,20181125-003121
67,7,臺中市,梧棲區,20303,4831,25134,1659,26793.0,47040.0,56.96,43.16,36,36,20181125-003122
68,7,臺中市,后里區,20022,4396,24418,1587,26005.0,44962.0,57.84,44.53,37,37,20181125-003122
69,7,臺中市,神岡區,24223,5774,29997,1950,31947.0,54565.0,58.55,44.39,42,42,20181125-003122
70,7,臺中市,潭子區,39569,8853,48422,2553,50975.0,89487.0,56.96,44.22,55,55,20181125-003122
71,7,臺中市,大雅區,33608,7469,41077,2236,43313.0,77189.0,56.11,43.54,46,46,20181125-003123
72,7,臺中市,新社區,8246,1889,10135,651,10786.0,20860.0,51.71,39.53,23,23,20181125-003123
73,7,臺中市,石岡區,5735,1379,7114,477,7591.0,12880.0,58.94,44.53,10,10,20181125-003123
74,7,臺中市,外埔區,12116,2667,14783,912,15695.0,27059.0,58.0,44.78,20,20,20181125-003123
75,7,臺中市,大安區,7288,1691,8979,734,9713.0,16520.0,58.8,44.12,16,16,20181125-003124
76,7,臺中市,烏日區,27379,6443,33822,2087,35909.0,61705.0,58.19,44.37,40,40,20181125-003124
77,7,臺中市,大肚區,21090,4776,25866,1563,27429.0,47457.0,57.8,44.44,33,33,20181125-003124
78,7,臺中市,龍井區,26747,6871,33618,1884,35502.0,63584.0,55.83,42.07,45,45,20181125-003124
79,7,臺中市,霧峰區,25277,5735,31012,2276,33288.0,55225.0,60.28,45.77,43,43,20181125-003124
80,7,臺中市,太平區,65386,14531,79917,4730,84647.0,155771.0,54.34,41.98,92,93,20181125-003125
81,7,臺中市,大里區,73521,16988,90509,5141,95650.0,171769.0,55.69,42.8,106,106,20181125-003125
82,7,臺中市,和平區,4505,864,5369,309,5678.0,9498.0,59.78,47.43,17,17,20181125-003125
83,7,臺南市,新營區,23334,6243,29577,1931,31508.0,64949.0,48.51,35.93,49,49,20181125-003126
84,7,臺南市,鹽水區,7197,2115,9312,884,10196.0,22121.0,46.09,32.53,31,31,20181125-003126
85,7,臺南市,白河區,7115,2194,9309,945,10254.0,24894.0,41.19,28.58,32,32,20181125-003127
86,7,臺南市,柳營區,6416,1700,8116,880,8996.0,18804.0,47.84,34.12,25,25,20181125-003127
87,7,臺南市,後壁區,6384,1789,8173,1083,9256.0,20841.0,44.41,30.63,29,29,20181125-003127
88,7,臺南市,東山區,4639,1339,5978,722,6700.0,18471.0,36.27,25.12,23,23,20181125-003127
89,7,臺南市,麻豆區,12768,3962,16730,1110,17840.0,37963.0,46.99,33.63,35,35,20181125-003127
90,7,臺南市,下營區,6734,1827,8561,882,9443.0,20947.0,45.08,32.15,19,19,20181125-003128
91,7,臺南市,六甲區,6274,1934,8208,904,9112.0,19144.0,47.6,32.77,19,19,20181125-003128
92,7,臺南市,官田區,6127,1935,8062,681,8743.0,18675.0,46.82,32.81,20,20,20181125-003128
93,7,臺南市,大內區,2868,708,3576,450,4026.0,8654.0,46.52,33.14,11,11,20181125-003128
94,7,臺南市,佳里區,19007,4960,23967,1833,25800.0,50407.0,51.18,37.71,41,41,20181125-003128
95,7,臺南市,學甲區,7444,2145,9589,862,10451.0,22567.0,46.31,32.99,26,26,20181125-003129
96,7,臺南市,西港區,7029,1898,8927,665,9592.0,21564.0,44.48,32.6,20,20,20181125-003129
97,7,臺南市,七股區,6088,1601,7689,715,8404.0,19950.0,42.13,30.52,24,24,20181125-003129
98,7,臺南市,將軍區,5144,1406,6550,631,7181.0,17754.0,40.45,28.97,24,24,20181125-003129
99,7,臺南市,北門區,2791,714,3505,286,3791.0,9925.0,38.2,28.12,18,18,20181125-003129
100,7,臺南市,新化區,13968,3880,17848,1819,19667.0,37296.0,52.73,37.45,37,37,20181125-003130
101,7,臺南市,善化區,14134,4332,18466,1553,20019.0,39950.0,50.11,35.38,29,29,20181125-003130
102,7,臺南市,新市區,11296,3511,14807,1203,16010.0,30386.0,52.69,37.18,27,27,20181125-003130
103,7,臺南市,安定區,9675,2801,12476,1199,13675.0,26104.0,52.39,37.06,24,24,20181125-003130
104,7,臺南市,山上區,1960,542,2502,264,2766.0,6511.0,42.48,30.1,9,9,20181125-003130
105,7,臺南市,玉井區,4278,1046,5324,470,5794.0,12357.0,46.89,34.62,16,16,20181125-003131
106,7,臺南市,楠西區,2647,696,3343,312,3655.0,8528.0,42.86,31.04,9,9,20181125-003131
107,7,臺南市,南化區,2581,694,3275,343,3618.0,7786.0,46.47,33.15,10,10,20181125-003131
108,7,臺南市,左鎮區,1315,348,1663,246,1909.0,4418.0,43.21,29.76,10,10,20181125-003131
109,7,臺南市,仁德區,24241,6852,31093,2493,33586.0,64632.0,51.96,37.51,49,49,20181125-003131
110,7,臺南市,歸仁區,21131,6313,27444,2191,29635.0,57387.0,51.64,36.82,46,46,20181125-003132
111,7,臺南市,關廟區,11016,3138,14154,1190,15344.0,29913.0,51.3,36.83,32,32,20181125-003132
112,7,臺南市,龍崎區,1201,330,1531,164,1695.0,3713.0,45.65,32.35,8,8,20181125-003132
113,7,臺南市,永康區,72487,19996,92483,6202,98685.0,193411.0,51.02,37.48,141,142,20181125-003132
114,7,臺南市,東區,57620,17754,75374,4998,80372.0,148881.0,53.98,38.7,91,93,20181125-003133
115,7,臺南市,南區,37899,11973,49872,4423,54295.0,108650.0,49.97,34.88,80,80,20181125-003133
116,7,臺南市,北區,41146,12720,53866,3636,57502.0,109322.0,52.6,37.64,80,81,20181125-003133
117,7,臺南市,安南區,56637,16337,72974,6266,79240.0,153746.0,51.54,36.84,87,90,20181125-003134
118,7,臺南市,安平區,19292,5734,25026,1600,26626.0,53309.0,49.95,36.19,31,32,20181125-003134
119,7,臺南市,中西區,24352,8078,32430,2600,35030.0,64097.0,54.65,37.99,51,52,20181125-003134
120,7,高雄市,鹽埕區,8437,2797,11234,652,11886.0,21617.0,54.98,39.03,24,24,20181125-003135
121,7,高雄市,鼓山區,40771,11223,51994,3376,55370.0,95025.0,58.27,42.91,66,77,20181125-003135
122,7,高雄市,左營區,59227,14213,73440,4205,77645.0,128949.0,60.21,45.93,86,103,20181125-003135
123,7,高雄市,楠梓區,66374,17502,83876,7019,90895.0,153132.0,59.36,43.34,99,99,20181125-003136
124,7,高雄市,三民區,112332,32708,145040,9645,154685.0,266680.0,58.0,42.12,177,189,20181125-003136
125,7,高雄市,新興區,18956,5836,24792,1698,26490.0,44355.0,59.72,42.74,42,42,20181125-003136
126,7,高雄市,前金區,10022,3181,13203,900,14103.0,23928.0,58.94,41.88,22,22,20181125-003136
127,7,高雄市,苓雅區,59953,17908,77861,5009,82870.0,139898.0,59.24,42.85,112,116,20181125-003137
128,7,高雄市,前鎮區,63526,17993,81519,6789,88308.0,153842.0,57.4,41.29,113,119,20181125-003137
129,7,高雄市,旗津區,8332,2706,11038,1261,12299.0,24860.0,49.47,33.52,18,18,20181125-003137
130,7,高雄市,小港區,53666,14701,68367,4699,73066.0,126706.0,57.67,42.35,86,89,20181125-003137
131,7,高雄市,鳳山區,116171,30382,146553,10178,156731.0,267161.0,58.67,43.48,209,228,20181125-003137
132,7,高雄市,林園區,23394,6249,29643,2480,32123.0,59129.0,54.33,39.56,51,51,20181125-003138
133,7,高雄市,大寮區,40259,10438,50697,3833,54530.0,97309.0,56.04,41.37,81,81,20181125-003138
134,7,高雄市,大樹區,14634,3834,18468,1480,19948.0,36772.0,54.25,39.8,32,32,20181125-003138
135,7,高雄市,大社區,11243,3753,14996,1213,16209.0,28930.0,56.03,38.86,23,24,20181125-003138
136,7,高雄市,仁武區,30199,7789,37988,2271,40259.0,70315.0,57.26,42.95,45,47,20181125-003139
137,7,高雄市,鳥松區,16980,4996,21976,1467,23443.0,39191.0,59.82,43.33,28,28,20181125-003139
138,7,高雄市,岡山區,35818,8907,44725,3053,47778.0,79096.0,60.41,45.28,70,72,20181125-003139
139,7,高雄市,橋頭區,14112,4123,18235,1669,19904.0,32565.0,61.12,43.33,31,31,20181125-003139
140,7,高雄市,燕巢區,10583,2759,13342,1259,14601.0,26012.0,56.13,40.69,25,25,20181125-003140
