,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,410,0.4,112,117,20181124-233523
1,臺北市,松山區,2,44222,43.41,112,117,20181124-233523
2,臺北市,松山區,3,16611,16.31,112,117,20181124-233523
3,臺北市,松山區,4,40231,39.49,112,117,20181124-233523
4,臺北市,松山區,5,401,0.39,112,117,20181124-233523
5,臺北市,信義區,1,452,0.4,131,142,20181124-233523
6,臺北市,信義區,2,49613,44.04,131,142,20181124-233523
7,臺北市,信義區,3,18272,16.22,131,142,20181124-233523
8,臺北市,信義區,4,43849,38.93,131,142,20181124-233523
9,臺北市,信義區,5,458,0.41,131,142,20181124-233523
10,臺北市,大安區,1,457,0.38,146,188,20181124-233523
11,臺北市,大安區,2,55398,45.72,146,188,20181124-233523
12,臺北市,大安區,3,18057,14.9,146,188,20181124-233523
13,臺北市,大安區,4,46725,38.57,146,188,20181124-233523
14,臺北市,大安區,5,519,0.43,146,188,20181124-233523
15,臺北市,中山區,1,475,0.39,132,133,20181124-233524
16,臺北市,中山區,2,46449,38.42,132,133,20181124-233524
17,臺北市,中山區,3,23243,19.23,132,133,20181124-233524
18,臺北市,中山區,4,50248,41.56,132,133,20181124-233524
19,臺北市,中山區,5,483,0.4,132,133,20181124-233524
20,臺北市,中正區,1,346,0.46,90,96,20181124-233524
21,臺北市,中正區,2,31577,41.82,90,96,20181124-233524
22,臺北市,中正區,3,11841,15.68,90,96,20181124-233524
23,臺北市,中正區,4,31378,41.56,90,96,20181124-233524
24,臺北市,中正區,5,359,0.48,90,96,20181124-233524
25,臺北市,大同區,1,266,0.38,82,82,20181124-233524
26,臺北市,大同區,2,20763,29.69,82,82,20181124-233524
27,臺北市,大同區,3,16896,24.16,82,82,20181124-233524
28,臺北市,大同區,4,31679,45.29,82,82,20181124-233524
29,臺北市,大同區,5,339,0.48,82,82,20181124-233524
30,臺北市,萬華區,1,427,0.41,117,117,20181124-233524
31,臺北市,萬華區,2,38666,37.05,117,117,20181124-233524
32,臺北市,萬華區,3,21400,20.5,117,117,20181124-233524
33,臺北市,萬華區,4,43411,41.59,117,117,20181124-233524
34,臺北市,萬華區,5,464,0.44,117,117,20181124-233524
35,臺北市,文山區,1,504,0.48,119,162,20181124-233525
36,臺北市,文山區,2,49311,47.21,119,162,20181124-233525
37,臺北市,文山區,3,13724,13.14,119,162,20181124-233525
38,臺北市,文山區,4,40388,38.67,119,162,20181124-233525
39,臺北市,文山區,5,520,0.5,119,162,20181124-233525
40,臺北市,南港區,1,287,0.43,72,72,20181124-233525
41,臺北市,南港區,2,26282,39.45,72,72,20181124-233525
42,臺北市,南港區,3,10830,16.26,72,72,20181124-233525
43,臺北市,南港區,4,28896,43.37,72,72,20181124-233525
44,臺北市,南港區,5,325,0.49,72,72,20181124-233525
45,臺北市,內湖區,1,523,0.36,146,150,20181124-233525
46,臺北市,內湖區,2,59903,41.06,146,150,20181124-233525
47,臺北市,內湖區,3,21050,14.43,146,150,20181124-233525
48,臺北市,內湖區,4,63801,43.73,146,150,20181124-233525
49,臺北市,內湖區,5,617,0.42,146,150,20181124-233525
50,臺北市,士林區,1,308,0.34,101,163,20181124-233525
51,臺北市,士林區,2,32485,35.46,101,163,20181124-233525
52,臺北市,士林區,3,20390,22.26,101,163,20181124-233525
53,臺北市,士林區,4,38043,41.52,101,163,20181124-233525
54,臺北市,士林區,5,389,0.42,101,163,20181124-233525
55,臺北市,北投區,1,398,0.38,112,141,20181124-233525
56,臺北市,北投區,2,41218,39.14,112,141,20181124-233525
57,臺北市,北投區,3,19380,18.4,112,141,20181124-233525
58,臺北市,北投區,4,43849,41.64,112,141,20181124-233525
59,臺北市,北投區,5,453,0.43,112,141,20181124-233525
60,新北市,板橋區,1,125517,46.08,324,338,20181124-233526
61,新北市,板橋區,2,146888,53.92,324,338,20181124-233526
62,新北市,三重區,1,98745,50.22,231,235,20181124-233526
63,新北市,三重區,2,97871,49.78,231,235,20181124-233526
64,新北市,中和區,1,79328,36.66,241,244,20181124-233526
65,新北市,中和區,2,137056,63.34,241,244,20181124-233526
66,新北市,永和區,1,37442,32.4,136,138,20181124-233526
67,新北市,永和區,2,78113,67.6,136,138,20181124-233526
68,新北市,新莊區,1,97042,48.3,243,253,20181124-233526
69,新北市,新莊區,2,103892,51.7,243,253,20181124-233526
70,新北市,新店區,1,47198,31.31,167,176,20181124-233527
71,新北市,新店區,2,103528,68.69,167,176,20181124-233527
72,新北市,樹林區,1,41240,45.93,110,111,20181124-233527
73,新北市,樹林區,2,48556,54.07,110,111,20181124-233527
74,新北市,鶯歌區,1,20360,46.51,50,50,20181124-233527
75,新北市,鶯歌區,2,23419,53.49,50,50,20181124-233527
76,新北市,三峽區,1,23653,42.64,70,70,20181124-233527
77,新北市,三峽區,2,31822,57.36,70,70,20181124-233527
78,新北市,淡水區,1,30486,40.23,88,96,20181124-233527
79,新北市,淡水區,2,45288,59.77,88,96,20181124-233527
80,新北市,汐止區,1,36420,39.08,104,111,20181124-233528
81,新北市,汐止區,2,56770,60.92,104,111,20181124-233528
82,新北市,瑞芳區,1,8038,37.51,46,46,20181124-233528
83,新北市,瑞芳區,2,13393,62.49,46,46,20181124-233528
84,新北市,土城區,1,50242,43.86,138,142,20181124-233529
85,新北市,土城區,2,64311,56.14,138,142,20181124-233529
86,新北市,蘆洲區,1,48350,50.56,104,104,20181124-233529
87,新北市,蘆洲區,2,47271,49.44,104,104,20181124-233529
88,新北市,五股區,1,20372,47.77,48,48,20181124-233529
89,新北市,五股區,2,22276,52.23,48,48,20181124-233529
90,新北市,泰山區,1,14800,46.09,40,47,20181124-233530
91,新北市,泰山區,2,17314,53.91,40,47,20181124-233530
92,新北市,林口區,1,20883,40.92,62,62,20181124-233530
93,新北市,林口區,2,30150,59.08,62,62,20181124-233530
94,新北市,深坑區,1,5153,40.03,16,16,20181124-233530
95,新北市,深坑區,2,7720,59.97,16,16,20181124-233530
96,新北市,石碇區,1,2488,52.27,13,13,20181124-233530
97,新北市,石碇區,2,2272,47.73,13,13,20181124-233530
98,新北市,坪林區,1,2255,55.46,10,10,20181124-233531
99,新北市,坪林區,2,1811,44.54,10,10,20181124-233531
100,新北市,三芝區,1,4915,40.6,18,18,20181124-233531
101,新北市,三芝區,2,7191,59.4,18,18,20181124-233531
102,新北市,石門區,1,2928,41.3,10,10,20181124-233531
103,新北市,石門區,2,4162,58.7,10,10,20181124-233531
104,新北市,八里區,1,8982,46.0,20,20,20181124-233531
105,新北市,八里區,2,10545,54.0,20,20,20181124-233531
106,新北市,平溪區,1,1417,46.72,12,12,20181124-233531
107,新北市,平溪區,2,1616,53.28,12,12,20181124-233531
108,新北市,雙溪區,1,2423,44.18,17,17,20181124-233532
109,新北市,雙溪區,2,3062,55.82,17,17,20181124-233532
110,新北市,貢寮區,1,3698,54.21,18,18,20181124-233532
111,新北市,貢寮區,2,3123,45.79,18,18,20181124-233532
112,新北市,金山區,1,5344,46.11,19,19,20181124-233533
113,新北市,金山區,2,6246,53.89,19,19,20181124-233533
114,新北市,萬里區,1,4928,42.95,16,16,20181124-233533
115,新北市,萬里區,2,6547,57.05,16,16,20181124-233533
116,新北市,烏來區,1,1399,35.23,6,6,20181124-233533
117,新北市,烏來區,2,2572,64.77,6,6,20181124-233533
118,桃園市,桃園區,1,3339,2.13,177,216,20181124-233534
119,桃園市,桃園區,2,58888,37.53,177,216,20181124-233534
120,桃園市,桃園區,3,11918,7.6,177,216,20181124-233534
121,桃園市,桃園區,4,348,0.22,177,216,20181124-233534
122,桃園市,桃園區,5,82411,52.52,177,216,20181124-233534
123,桃園市,中壢區,1,2540,1.64,171,210,20181124-233534
124,桃園市,中壢區,2,69855,45.21,171,210,20181124-233534
125,桃園市,中壢區,3,5409,3.5,171,210,20181124-233534
126,桃園市,中壢區,4,486,0.31,171,210,20181124-233534
127,桃園市,中壢區,5,76237,49.34,171,210,20181124-233534
128,桃園市,大溪區,1,590,1.28,57,59,20181124-233535
129,桃園市,大溪區,2,15355,33.39,57,59,20181124-233535
130,桃園市,大溪區,3,1818,3.95,57,59,20181124-233535
131,桃園市,大溪區,4,186,0.4,57,59,20181124-233535
132,桃園市,大溪區,5,28033,60.97,57,59,20181124-233535
133,桃園市,楊梅區,1,1002,1.54,70,82,20181124-233536
134,桃園市,楊梅區,2,27184,41.82,70,82,20181124-233536
135,桃園市,楊梅區,3,2802,4.31,70,82,20181124-233536
136,桃園市,楊梅區,4,292,0.45,70,82,20181124-233536
137,桃園市,楊梅區,5,33721,51.88,70,82,20181124-233536
138,桃園市,蘆竹區,1,1492,2.21,72,76,20181124-233536
139,桃園市,蘆竹區,2,22434,33.28,72,76,20181124-233536
140,桃園市,蘆竹區,3,3933,5.83,72,76,20181124-233536
141,桃園市,蘆竹區,4,205,0.3,72,76,20181124-233536
142,桃園市,蘆竹區,5,39348,58.37,72,76,20181124-233536
143,桃園市,大園區,1,607,1.7,40,50,20181124-233536
144,桃園市,大園區,2,10857,30.34,40,50,20181124-233536
145,桃園市,大園區,3,2034,5.68,40,50,20181124-233536
146,桃園市,大園區,4,171,0.48,40,50,20181124-233536
147,桃園市,大園區,5,22111,61.8,40,50,20181124-233536
148,桃園市,龜山區,1,860,1.87,52,78,20181124-233536
149,桃園市,龜山區,2,17284,37.6,52,78,20181124-233536
150,桃園市,龜山區,3,2628,5.72,52,78,20181124-233536
151,桃園市,龜山區,4,171,0.37,52,78,20181124-233536
152,桃園市,龜山區,5,25029,54.44,52,78,20181124-233536
153,桃園市,八德區,1,1563,1.74,97,101,20181124-233536
154,桃園市,八德區,2,34856,38.81,97,101,20181124-233536
155,桃園市,八德區,3,3958,4.41,97,101,20181124-233536
156,桃園市,八德區,4,259,0.29,97,101,20181124-233536
157,桃園市,八德區,5,49166,54.75,97,101,20181124-233536
158,桃園市,龍潭區,1,943,1.64,62,64,20181124-233537
159,桃園市,龍潭區,2,26181,45.48,62,64,20181124-233537
160,桃園市,龍潭區,3,2199,3.82,62,64,20181124-233537
161,桃園市,龍潭區,4,548,0.95,62,64,20181124-233537
162,桃園市,龍潭區,5,27695,48.11,62,64,20181124-233537
163,桃園市,平鎮區,1,1554,1.61,114,125,20181124-233537
164,桃園市,平鎮區,2,40985,42.59,114,125,20181124-233537
165,桃園市,平鎮區,3,3441,3.58,114,125,20181124-233537
166,桃園市,平鎮區,4,433,0.45,114,125,20181124-233537
167,桃園市,平鎮區,5,49824,51.77,114,125,20181124-233537
168,桃園市,新屋區,1,370,1.29,30,30,20181124-233537
169,桃園市,新屋區,2,9164,31.94,30,30,20181124-233537
170,桃園市,新屋區,3,1434,5.0,30,30,20181124-233537
171,桃園市,新屋區,4,141,0.49,30,30,20181124-233537
172,桃園市,新屋區,5,17581,61.28,30,30,20181124-233537
173,桃園市,觀音區,1,556,1.64,41,41,20181124-233537
174,桃園市,觀音區,2,10126,29.8,41,41,20181124-233537
175,桃園市,觀音區,3,1833,5.39,41,41,20181124-233537
176,桃園市,觀音區,4,176,0.52,41,41,20181124-233537
177,桃園市,觀音區,5,21285,62.65,41,41,20181124-233537
178,桃園市,復興區,1,43,0.61,10,10,20181124-233538
179,桃園市,復興區,2,2966,42.35,10,10,20181124-233538
180,桃園市,復興區,3,294,4.2,10,10,20181124-233538
181,桃園市,復興區,4,32,0.46,10,10,20181124-233538
182,桃園市,復興區,5,3669,52.38,10,10,20181124-233538
183,臺中市,中區,1,86,0.94,12,12,20181124-233538
184,臺中市,中區,2,4173,45.77,12,12,20181124-233538
185,臺中市,中區,3,4859,53.29,12,12,20181124-233538
186,臺中市,東區,1,458,1.1,49,49,20181124-233538
187,臺中市,東區,2,19078,45.87,49,49,20181124-233538
188,臺中市,東區,3,22055,53.03,49,49,20181124-233538
189,臺中市,南區,1,658,0.99,74,74,20181124-233541
190,臺中市,南區,2,28330,42.77,74,74,20181124-233541
191,臺中市,南區,3,37250,56.24,74,74,20181124-233541
192,臺中市,西區,1,618,1.03,66,66,20181124-233542
