,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,150,0.42,40,117,20181124-200112
1,臺北市,松山區,2,15357,43.17,40,117,20181124-200112
2,臺北市,松山區,3,5901,16.59,40,117,20181124-200112
3,臺北市,松山區,4,14030,39.44,40,117,20181124-200112
4,臺北市,松山區,5,137,0.39,40,117,20181124-200112
5,臺北市,信義區,1,220,0.44,61,142,20181124-200112
6,臺北市,信義區,2,22332,44.22,61,142,20181124-200112
7,臺北市,信義區,3,8133,16.11,61,142,20181124-200112
8,臺北市,信義區,4,19603,38.82,61,142,20181124-200112
9,臺北市,信義區,5,209,0.41,61,142,20181124-200112
10,臺北市,大安區,1,126,0.39,42,188,20181124-200112
11,臺北市,大安區,2,14231,44.08,42,188,20181124-200112
12,臺北市,大安區,3,5134,15.9,42,188,20181124-200112
13,臺北市,大安區,4,12664,39.23,42,188,20181124-200112
14,臺北市,大安區,5,129,0.4,42,188,20181124-200112
15,臺北市,中山區,1,314,0.4,89,133,20181124-200112
16,臺北市,中山區,2,30027,37.79,89,133,20181124-200112
17,臺北市,中山區,3,15565,19.59,89,133,20181124-200112
18,臺北市,中山區,4,33218,41.8,89,133,20181124-200112
19,臺北市,中山區,5,336,0.42,89,133,20181124-200112
20,臺北市,中正區,1,202,0.48,52,96,20181124-200113
21,臺北市,中正區,2,17484,41.32,52,96,20181124-200113
22,臺北市,中正區,3,6724,15.89,52,96,20181124-200113
23,臺北市,中正區,4,17700,41.83,52,96,20181124-200113
24,臺北市,中正區,5,201,0.48,52,96,20181124-200113
25,臺北市,大同區,1,163,0.4,50,82,20181124-200113
26,臺北市,大同區,2,12087,29.3,50,82,20181124-200113
27,臺北市,大同區,3,10138,24.57,50,82,20181124-200113
28,臺北市,大同區,4,18653,45.22,50,82,20181124-200113
29,臺北市,大同區,5,213,0.52,50,82,20181124-200113
30,臺北市,萬華區,1,325,0.41,89,117,20181124-200113
31,臺北市,萬華區,2,29312,37.32,89,117,20181124-200113
32,臺北市,萬華區,3,15920,20.27,89,117,20181124-200113
33,臺北市,萬華區,4,32625,41.54,89,117,20181124-200113
34,臺北市,萬華區,5,364,0.46,89,117,20181124-200113
35,臺北市,文山區,1,114,0.47,30,162,20181124-200113
36,臺北市,文山區,2,11442,47.43,30,162,20181124-200113
37,臺北市,文山區,3,3379,14.01,30,162,20181124-200113
38,臺北市,文山區,4,9072,37.6,30,162,20181124-200113
39,臺北市,文山區,5,118,0.49,30,162,20181124-200113
40,臺北市,南港區,1,247,0.42,63,72,20181124-200113
41,臺北市,南港區,2,22852,39.19,63,72,20181124-200113
42,臺北市,南港區,3,9573,16.42,63,72,20181124-200113
43,臺北市,南港區,4,25349,43.47,63,72,20181124-200113
44,臺北市,南港區,5,293,0.5,63,72,20181124-200113
45,臺北市,內湖區,1,241,0.37,68,150,20181124-200114
46,臺北市,內湖區,2,26789,41.28,68,150,20181124-200114
47,臺北市,內湖區,3,9354,14.42,68,150,20181124-200114
48,臺北市,內湖區,4,28236,43.51,68,150,20181124-200114
49,臺北市,內湖區,5,270,0.42,68,150,20181124-200114
50,臺北市,士林區,1,43,0.3,18,163,20181124-200114
51,臺北市,士林區,2,5324,36.85,18,163,20181124-200114
52,臺北市,士林區,3,3214,22.25,18,163,20181124-200114
53,臺北市,士林區,4,5812,40.23,18,163,20181124-200114
54,臺北市,士林區,5,54,0.37,18,163,20181124-200114
55,臺北市,北投區,1,122,0.42,32,141,20181124-200115
56,臺北市,北投區,2,11680,40.39,32,141,20181124-200115
57,臺北市,北投區,3,5199,17.98,32,141,20181124-200115
58,臺北市,北投區,4,11800,40.81,32,141,20181124-200115
59,臺北市,北投區,5,114,0.39,32,141,20181124-200115
60,新北市,板橋區,1,11699,47.48,37,338,20181124-200115
61,新北市,板橋區,2,12941,52.52,37,338,20181124-200115
62,新北市,三重區,1,16225,49.24,43,235,20181124-200115
63,新北市,三重區,2,16729,50.76,43,235,20181124-200115
64,新北市,中和區,1,54758,36.63,174,244,20181124-200116
65,新北市,中和區,2,94743,63.37,174,244,20181124-200116
66,新北市,永和區,1,13921,32.47,52,138,20181124-200116
67,新北市,永和區,2,28948,67.53,52,138,20181124-200116
68,新北市,新莊區,1,12006,48.18,35,253,20181124-200117
69,新北市,新莊區,2,12915,51.82,35,253,20181124-200117
70,新北市,新店區,1,25260,32.53,92,176,20181124-200117
71,新北市,新店區,2,52387,67.47,92,176,20181124-200117
72,新北市,樹林區,1,17896,46.44,50,111,20181124-200117
73,新北市,樹林區,2,20639,53.56,50,111,20181124-200117
74,新北市,鶯歌區,1,12344,46.46,32,50,20181124-200118
75,新北市,鶯歌區,2,14225,53.54,32,50,20181124-200118
76,新北市,三峽區,1,22298,42.95,66,70,20181124-200118
77,新北市,三峽區,2,29616,57.05,66,70,20181124-200118
78,新北市,淡水區,1,3865,41.46,12,96,20181124-200118
79,新北市,淡水區,2,5458,58.54,12,96,20181124-200118
80,新北市,汐止區,1,2516,40.42,9,111,20181124-200119
81,新北市,汐止區,2,3708,59.58,9,111,20181124-200119
82,新北市,瑞芳區,1,3381,39.87,26,46,20181124-200119
83,新北市,瑞芳區,2,5099,60.13,26,46,20181124-200119
84,新北市,土城區,1,24729,43.94,69,142,20181124-200119
85,新北市,土城區,2,31547,56.06,69,142,20181124-200119
86,新北市,蘆洲區,1,33993,51.09,73,104,20181124-200119
