,city,district,url
63,臺中市,東勢區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000001000000000.html
64,臺中市,大甲區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000001100000000.html
65,臺中市,清水區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000001200000000.html
66,臺中市,沙鹿區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000001300000000.html
67,臺中市,梧棲區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000001400000000.html
68,臺中市,后里區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000001500000000.html
69,臺中市,神岡區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000001600000000.html
70,臺中市,潭子區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000001700000000.html
71,臺中市,大雅區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000001800000000.html
72,臺中市,新社區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000001900000000.html
73,臺中市,石岡區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000002000000000.html
74,臺中市,外埔區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000002100000000.html
75,臺中市,大安區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000002200000000.html
76,臺中市,烏日區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000002300000000.html
77,臺中市,大肚區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000002400000000.html
78,臺中市,龍井區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000002500000000.html
79,臺中市,霧峰區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000002600000000.html
80,臺中市,太平區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000002700000000.html
81,臺中市,大里區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000002800000000.html
82,臺中市,和平區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n66000002900000000.html
83,臺南市,新營區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000000100000000.html
84,臺南市,鹽水區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000000200000000.html
85,臺南市,白河區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000000300000000.html
86,臺南市,柳營區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000000400000000.html
87,臺南市,後壁區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000000500000000.html
88,臺南市,東山區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000000600000000.html
89,臺南市,麻豆區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000000700000000.html
90,臺南市,下營區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000000800000000.html
91,臺南市,六甲區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000000900000000.html
92,臺南市,官田區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000001000000000.html
93,臺南市,大內區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000001100000000.html
94,臺南市,佳里區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000001200000000.html
95,臺南市,學甲區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000001300000000.html
96,臺南市,西港區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000001400000000.html
97,臺南市,七股區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000001500000000.html
98,臺南市,將軍區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000001600000000.html
99,臺南市,北門區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000001700000000.html
100,臺南市,新化區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000001800000000.html
101,臺南市,善化區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000001900000000.html
102,臺南市,新市區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000002000000000.html
103,臺南市,安定區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000002100000000.html
104,臺南市,山上區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000002200000000.html
105,臺南市,玉井區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000002300000000.html
106,臺南市,楠西區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000002400000000.html
107,臺南市,南化區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000002500000000.html
108,臺南市,左鎮區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000002600000000.html
109,臺南市,仁德區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000002700000000.html
110,臺南市,歸仁區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000002800000000.html
111,臺南市,關廟區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000002900000000.html
112,臺南市,龍崎區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000003000000000.html
113,臺南市,永康區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000003100000000.html
114,臺南市,東區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000003200000000.html
115,臺南市,南區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000003300000000.html
116,臺南市,北區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000003400000000.html
117,臺南市,安南區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000003500000000.html
118,臺南市,安平區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000003600000000.html
119,臺南市,中西區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n67000003700000000.html
120,高雄市,鹽埕區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000000100000000.html
121,高雄市,鼓山區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000000200000000.html
122,高雄市,左營區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000000300000000.html
123,高雄市,楠梓區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000000400000000.html
124,高雄市,三民區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000000500000000.html
125,高雄市,新興區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000000600000000.html
126,高雄市,前金區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000000700000000.html
