,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,45,0.59,9,117,20181124-191316
1,臺北市,松山區,2,2942,38.38,9,117,20181124-191316
2,臺北市,松山區,3,1429,18.64,9,117,20181124-191316
3,臺北市,松山區,4,3211,41.89,9,117,20181124-191316
4,臺北市,松山區,5,38,0.5,9,117,20181124-191316
5,臺北市,信義區,1,99,0.46,27,142,20181124-191316
6,臺北市,信義區,2,9529,44.21,27,142,20181124-191316
7,臺北市,信義區,3,3453,16.02,27,142,20181124-191316
8,臺北市,信義區,4,8381,38.88,27,142,20181124-191316
9,臺北市,信義區,5,92,0.43,27,142,20181124-191316
10,臺北市,大安區,1,45,0.44,14,188,20181124-191316
11,臺北市,大安區,2,4565,44.88,14,188,20181124-191316
12,臺北市,大安區,3,1501,14.76,14,188,20181124-191316
13,臺北市,大安區,4,4008,39.4,14,188,20181124-191316
14,臺北市,大安區,5,53,0.52,14,188,20181124-191316
15,臺北市,中山區,1,162,0.38,49,133,20181124-191316
16,臺北市,中山區,2,16772,39.19,49,133,20181124-191316
17,臺北市,中山區,3,8002,18.7,49,133,20181124-191316
18,臺北市,中山區,4,17667,41.29,49,133,20181124-191316
19,臺北市,中山區,5,189,0.44,49,133,20181124-191316
20,臺北市,中正區,1,122,0.51,30,96,20181124-191317
21,臺北市,中正區,2,9973,41.9,30,96,20181124-191317
22,臺北市,中正區,3,3686,15.49,30,96,20181124-191317
23,臺北市,中正區,4,9912,41.65,30,96,20181124-191317
24,臺北市,中正區,5,108,0.45,30,96,20181124-191317
25,臺北市,大同區,1,98,0.38,32,82,20181124-191317
26,臺北市,大同區,2,7497,28.91,32,82,20181124-191317
27,臺北市,大同區,3,6457,24.9,32,82,20181124-191317
28,臺北市,大同區,4,11745,45.28,32,82,20181124-191317
29,臺北市,大同區,5,139,0.54,32,82,20181124-191317
30,臺北市,萬華區,1,216,0.42,58,117,20181124-191317
31,臺北市,萬華區,2,18954,37.2,58,117,20181124-191317
32,臺北市,萬華區,3,10303,20.22,58,117,20181124-191317
33,臺北市,萬華區,4,21252,41.71,58,117,20181124-191317
34,臺北市,萬華區,5,224,0.44,58,117,20181124-191317
35,臺北市,文山區,1,55,0.51,14,162,20181124-191317
36,臺北市,文山區,2,5255,48.47,14,162,20181124-191317
37,臺北市,文山區,3,1472,13.58,14,162,20181124-191317
38,臺北市,文山區,4,4010,36.99,14,162,20181124-191317
39,臺北市,文山區,5,50,0.46,14,162,20181124-191317
40,臺北市,南港區,1,224,0.44,56,72,20181124-191318
41,臺北市,南港區,2,20008,38.87,56,72,20181124-191318
42,臺北市,南港區,3,8604,16.72,56,72,20181124-191318
43,臺北市,南港區,4,22370,43.46,56,72,20181124-191318
44,臺北市,南港區,5,267,0.52,56,72,20181124-191318
45,臺北市,內湖區,1,100,0.36,30,150,20181124-191318
46,臺北市,內湖區,2,11290,40.86,30,150,20181124-191318
47,臺北市,內湖區,3,4093,14.81,30,150,20181124-191318
48,臺北市,內湖區,4,12033,43.55,30,150,20181124-191318
49,臺北市,內湖區,5,115,0.42,30,150,20181124-191318
50,臺北市,士林區,1,13,0.34,5,163,20181124-191318
51,臺北市,士林區,2,1454,37.69,5,163,20181124-191318
52,臺北市,士林區,3,862,22.34,5,163,20181124-191318
53,臺北市,士林區,4,1519,39.37,5,163,20181124-191318
54,臺北市,士林區,5,10,0.26,5,163,20181124-191318
55,臺北市,北投區,1,22,0.5,6,141,20181124-191319
56,臺北市,北投區,2,1800,40.6,6,141,20181124-191319
57,臺北市,北投區,3,815,18.38,6,141,20181124-191319
58,臺北市,北投區,4,1775,40.03,6,141,20181124-191319
59,臺北市,北投區,5,22,0.5,6,141,20181124-191319
60,新北市,板橋區,1,2215,44.0,10,338,20181124-191319
61,新北市,板橋區,2,2819,56.0,10,338,20181124-191319
62,新北市,三重區,1,5667,48.8,16,235,20181124-191319
63,新北市,三重區,2,5946,51.2,16,235,20181124-191319
64,新北市,中和區,1,38581,36.8,127,244,20181124-191319
65,新北市,中和區,2,66261,63.2,127,244,20181124-191319
66,新北市,永和區,1,7473,32.23,29,138,20181124-191320
67,新北市,永和區,2,15715,67.77,29,138,20181124-191320
68,新北市,新莊區,1,2583,48.02,8,253,20181124-191320
69,新北市,新莊區,2,2796,51.98,8,253,20181124-191320
70,新北市,新店區,1,12216,33.15,48,176,20181124-191320
71,新北市,新店區,2,24631,66.85,48,176,20181124-191320
72,新北市,樹林區,1,12996,46.16,37,111,20181124-191320
73,新北市,樹林區,2,15158,53.84,37,111,20181124-191320
74,新北市,鶯歌區,1,6610,46.76,19,50,20181124-191321
75,新北市,鶯歌區,2,7525,53.24,19,50,20181124-191321
76,新北市,三峽區,1,17557,43.47,53,70,20181124-191321
77,新北市,三峽區,2,22836,56.53,53,70,20181124-191321
78,新北市,淡水區,1,1724,42.58,5,96,20181124-191321
79,新北市,淡水區,2,2325,57.42,5,96,20181124-191321
80,新北市,汐止區,1,972,42.26,4,111,20181124-191321
81,新北市,汐止區,2,1328,57.74,4,111,20181124-191321
82,新北市,瑞芳區,1,1748,40.28,16,46,20181124-191322
83,新北市,瑞芳區,2,2592,59.72,16,46,20181124-191322
84,新北市,土城區,1,16428,43.87,47,142,20181124-191322
85,新北市,土城區,2,21018,56.13,47,142,20181124-191322
86,新北市,蘆洲區,1,17801,51.31,39,104,20181124-191322
87,新北市,蘆洲區,2,16893,48.69,39,104,20181124-191322
88,新北市,五股區,1,10010,46.08,26,48,20181124-191322
89,新北市,五股區,2,11713,53.92,26,48,20181124-191322
90,新北市,泰山區,1,365,42.05,2,47,20181124-191322
91,新北市,泰山區,2,503,57.95,2,47,20181124-191322
92,新北市,林口區,1,11820,41.89,35,62,20181124-191323
93,新北市,林口區,2,16398,58.11,35,62,20181124-191323
94,新北市,深坑區,1,2856,41.72,10,16,20181124-191323
95,新北市,深坑區,2,3989,58.28,10,16,20181124-191323
96,新北市,石碇區,1,1070,48.18,7,13,20181124-191323
97,新北市,石碇區,2,1151,51.82,7,13,20181124-191323
98,新北市,坪林區,1,1265,53.85,8,10,20181124-191323
99,新北市,坪林區,2,1084,46.15,8,10,20181124-191323
100,新北市,三芝區,1,2628,41.23,12,18,20181124-191324
101,新北市,三芝區,2,3746,58.77,12,18,20181124-191324
102,新北市,石門區,1,2928,41.3,10,10,20181124-191324
103,新北市,石門區,2,4162,58.7,10,10,20181124-191324
104,新北市,八里區,1,4153,47.09,9,20,20181124-191324
105,新北市,八里區,2,4666,52.91,9,20,20181124-191324
106,新北市,平溪區,1,1417,46.72,12,12,20181124-191324
107,新北市,平溪區,2,1616,53.28,12,12,20181124-191324
108,新北市,雙溪區,1,1476,46.58,12,17,20181124-191324
109,新北市,雙溪區,2,1693,53.42,12,17,20181124-191324
110,新北市,貢寮區,1,3287,55.12,16,18,20181124-191325
111,新北市,貢寮區,2,2676,44.88,16,18,20181124-191325
112,新北市,金山區,1,2945,46.31,13,19,20181124-191325
113,新北市,金山區,2,3415,53.69,13,19,20181124-191325
114,新北市,萬里區,1,3811,42.19,13,16,20181124-191325
115,新北市,萬里區,2,5221,57.81,13,16,20181124-191325
116,新北市,烏來區,1,94,54.34,1,6,20181124-191325
117,新北市,烏來區,2,79,45.66,1,6,20181124-191325
118,桃園市,桃園區,1,145,1.9,11,216,20181124-191326
119,桃園市,桃園區,2,2577,33.71,11,216,20181124-191326
120,桃園市,桃園區,3,549,7.18,11,216,20181124-191326
121,桃園市,桃園區,4,20,0.26,11,216,20181124-191326
122,桃園市,桃園區,5,4354,56.95,11,216,20181124-191326
123,桃園市,中壢區,1,74,1.39,6,210,20181124-191326
124,桃園市,中壢區,2,2173,40.85,6,210,20181124-191326
125,桃園市,中壢區,3,196,3.68,6,210,20181124-191326
126,桃園市,中壢區,4,27,0.51,6,210,20181124-191326
127,桃園市,中壢區,5,2850,53.57,6,210,20181124-191326
128,桃園市,大溪區,1,87,1.4,8,59,20181124-191326
129,桃園市,大溪區,2,2055,33.09,8,59,20181124-191326
130,桃園市,大溪區,3,263,4.23,8,59,20181124-191326
131,桃園市,大溪區,4,29,0.47,8,59,20181124-191326
132,桃園市,大溪區,5,3777,60.81,8,59,20181124-191326
133,桃園市,楊梅區,1,0,0.0,0,82,20181124-191326
134,桃園市,楊梅區,2,0,0.0,0,82,20181124-191326
135,桃園市,楊梅區,3,0,0.0,0,82,20181124-191326
136,桃園市,楊梅區,4,0,0.0,0,82,20181124-191326
137,桃園市,楊梅區,5,0,0.0,0,82,20181124-191326
138,桃園市,蘆竹區,1,0,0.0,0,76,20181124-191327
139,桃園市,蘆竹區,2,0,0.0,0,76,20181124-191327
140,桃園市,蘆竹區,3,0,0.0,0,76,20181124-191327
141,桃園市,蘆竹區,4,0,0.0,0,76,20181124-191327
142,桃園市,蘆竹區,5,0,0.0,0,76,20181124-191327
143,桃園市,大園區,1,9,1.19,1,50,20181124-191327
144,桃園市,大園區,2,222,29.44,1,50,20181124-191327
145,桃園市,大園區,3,53,7.03,1,50,20181124-191327
146,桃園市,大園區,4,6,0.8,1,50,20181124-191327
147,桃園市,大園區,5,464,61.54,1,50,20181124-191327
148,桃園市,龜山區,1,8,2.4,1,78,20181124-191327
149,桃園市,龜山區,2,110,32.93,1,78,20181124-191327
150,桃園市,龜山區,3,25,7.49,1,78,20181124-191327
151,桃園市,龜山區,4,2,0.6,1,78,20181124-191327
152,桃園市,龜山區,5,189,56.59,1,78,20181124-191327
153,桃園市,八德區,1,5,1.23,1,101,20181124-191327
154,桃園市,八德區,2,307,75.62,1,101,20181124-191327
155,桃園市,八德區,3,20,4.93,1,101,20181124-191327
156,桃園市,八德區,4,7,1.72,1,101,20181124-191327
157,桃園市,八德區,5,67,16.5,1,101,20181124-191327
158,桃園市,龍潭區,1,75,1.41,7,64,20181124-191327
159,桃園市,龍潭區,2,1937,36.52,7,64,20181124-191327
160,桃園市,龍潭區,3,214,4.03,7,64,20181124-191327
161,桃園市,龍潭區,4,66,1.24,7,64,20181124-191327
162,桃園市,龍潭區,5,3012,56.79,7,64,20181124-191327
163,桃園市,平鎮區,1,5,1.01,1,125,20181124-191328
164,桃園市,平鎮區,2,173,35.02,1,125,20181124-191328
165,桃園市,平鎮區,3,12,2.43,1,125,20181124-191328
166,桃園市,平鎮區,4,2,0.4,1,125,20181124-191328
167,桃園市,平鎮區,5,302,61.13,1,125,20181124-191328
168,桃園市,新屋區,1,225,1.3,20,30,20181124-191328
169,桃園市,新屋區,2,5274,30.47,20,30,20181124-191328
170,桃園市,新屋區,3,862,4.98,20,30,20181124-191328
171,桃園市,新屋區,4,89,0.51,20,30,20181124-191328
172,桃園市,新屋區,5,10858,62.73,20,30,20181124-191328
173,桃園市,觀音區,1,6,1.28,1,41,20181124-191328
174,桃園市,觀音區,2,144,30.77,1,41,20181124-191328
175,桃園市,觀音區,3,20,4.27,1,41,20181124-191328
176,桃園市,觀音區,4,4,0.85,1,41,20181124-191328
177,桃園市,觀音區,5,294,62.82,1,41,20181124-191328
178,桃園市,復興區,1,0,0.0,0,10,20181124-191328
179,桃園市,復興區,2,0,0.0,0,10,20181124-191328
180,桃園市,復興區,3,0,0.0,0,10,20181124-191328
181,桃園市,復興區,4,0,0.0,0,10,20181124-191328
182,桃園市,復興區,5,0,0.0,0,10,20181124-191328
183,臺中市,中區,1,40,0.79,8,12,20181124-191328
184,臺中市,中區,2,2272,44.72,8,12,20181124-191328
185,臺中市,中區,3,2768,54.49,8,12,20181124-191328
186,臺中市,東區,1,230,1.04,28,49,20181124-191329
187,臺中市,東區,2,10880,49.08,28,49,20181124-191329
188,臺中市,東區,3,11056,49.88,28,49,20181124-191329
189,臺中市,南區,1,387,1.0,44,74,20181124-191329
190,臺中市,南區,2,16571,42.85,44,74,20181124-191329
191,臺中市,南區,3,21713,56.15,44,74,20181124-191329
192,臺中市,西區,1,337,1.07,37,66,20181124-191329
193,臺中市,西區,2,13433,42.58,37,66,20181124-191329
