,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,424,0.4,116,117,20181125-015130
1,臺北市,松山區,2,45963,43.4,116,117,20181125-015130
2,臺北市,松山區,3,17215,16.25,116,117,20181125-015130
3,臺北市,松山區,4,41903,39.56,116,117,20181125-015130
4,臺北市,松山區,5,411,0.39,116,117,20181125-015130
5,臺北市,信義區,1,502,0.41,142,142,20181125-015130
6,臺北市,信義區,2,53955,43.99,142,142,20181125-015130
7,臺北市,信義區,3,19934,16.25,142,142,20181125-015130
8,臺北市,信義區,4,47762,38.94,142,142,20181125-015130
9,臺北市,信義區,5,512,0.42,142,142,20181125-015130
10,臺北市,大安區,1,547,0.38,173,188,20181125-015130
11,臺北市,大安區,2,66304,45.74,173,188,20181125-015130
12,臺北市,大安區,3,21628,14.92,173,188,20181125-015130
13,臺北市,大安區,4,55866,38.54,173,188,20181125-015130
14,臺北市,大安區,5,616,0.42,173,188,20181125-015130
15,臺北市,中山區,1,476,0.39,133,133,20181125-015131
16,臺北市,中山區,2,46746,38.38,133,133,20181125-015131
17,臺北市,中山區,3,23483,19.28,133,133,20181125-015131
18,臺北市,中山區,4,50604,41.55,133,133,20181125-015131
19,臺北市,中山區,5,491,0.4,133,133,20181125-015131
20,臺北市,中正區,1,370,0.46,96,96,20181125-015131
21,臺北市,中正區,2,33897,41.83,96,96,20181125-015131
22,臺北市,中正區,3,12633,15.59,96,96,20181125-015131
23,臺北市,中正區,4,33752,41.65,96,96,20181125-015131
24,臺北市,中正區,5,378,0.47,96,96,20181125-015131
25,臺北市,大同區,1,266,0.38,82,82,20181125-015131
26,臺北市,大同區,2,20763,29.69,82,82,20181125-015131
27,臺北市,大同區,3,16896,24.16,82,82,20181125-015131
28,臺北市,大同區,4,31679,45.29,82,82,20181125-015131
29,臺北市,大同區,5,339,0.48,82,82,20181125-015131
30,臺北市,萬華區,1,427,0.41,117,117,20181125-015131
31,臺北市,萬華區,2,38666,37.05,117,117,20181125-015131
32,臺北市,萬華區,3,21400,20.5,117,117,20181125-015131
33,臺北市,萬華區,4,43411,41.59,117,117,20181125-015131
34,臺北市,萬華區,5,464,0.44,117,117,20181125-015131
35,臺北市,文山區,1,707,0.49,162,162,20181125-015131
36,臺北市,文山區,2,68586,47.15,162,162,20181125-015131
37,臺北市,文山區,3,18985,13.05,162,162,20181125-015131
38,臺北市,文山區,4,56479,38.83,162,162,20181125-015131
39,臺北市,文山區,5,713,0.49,162,162,20181125-015131
40,臺北市,南港區,1,287,0.43,72,72,20181125-015132
41,臺北市,南港區,2,26282,39.45,72,72,20181125-015132
42,臺北市,南港區,3,10830,16.26,72,72,20181125-015132
43,臺北市,南港區,4,28896,43.37,72,72,20181125-015132
44,臺北市,南港區,5,325,0.49,72,72,20181125-015132
45,臺北市,內湖區,1,548,0.37,150,150,20181125-015132
46,臺北市,內湖區,2,61566,41.02,150,150,20181125-015132
47,臺北市,內湖區,3,21746,14.49,150,150,20181125-015132
48,臺北市,內湖區,4,65599,43.7,150,150,20181125-015132
49,臺北市,內湖區,5,639,0.43,150,150,20181125-015132
50,臺北市,士林區,1,511,0.34,158,163,20181125-015132
51,臺北市,士林區,2,53952,36.4,158,163,20181125-015132
52,臺北市,士林區,3,32091,21.65,158,163,20181125-015132
53,臺北市,士林區,4,61046,41.18,158,163,20181125-015132
54,臺北市,士林區,5,627,0.42,158,163,20181125-015132
55,臺北市,北投區,1,499,0.37,141,141,20181125-015132
56,臺北市,北投區,2,52445,39.08,141,141,20181125-015132
57,臺北市,北投區,3,24586,18.32,141,141,20181125-015132
58,臺北市,北投區,4,56096,41.8,141,141,20181125-015132
59,臺北市,北投區,5,578,0.43,141,141,20181125-015132
60,新北市,板橋區,1,131905,46.03,338,338,20181125-015132
61,新北市,三重區,1,100823,50.22,235,235,20181125-015133
62,新北市,中和區,1,80552,36.69,244,244,20181125-015133
63,新北市,永和區,1,38286,32.54,138,138,20181125-015133
64,新北市,新莊區,1,101046,48.28,253,253,20181125-015133
65,新北市,新店區,1,49933,31.27,176,176,20181125-015134
66,新北市,樹林區,1,41600,45.87,111,111,20181125-015134
67,新北市,鶯歌區,1,20360,46.51,50,50,20181125-015134
68,新北市,三峽區,1,23653,42.64,70,70,20181125-015134
69,新北市,淡水區,1,33763,39.67,96,96,20181125-015134
70,新北市,汐止區,1,38639,38.72,111,111,20181125-015135
71,新北市,瑞芳區,1,8038,37.51,46,46,20181125-015135
72,新北市,土城區,1,51932,43.85,142,142,20181125-015135
73,新北市,蘆洲區,1,48350,50.56,104,104,20181125-015135
74,新北市,五股區,1,20372,47.77,48,48,20181125-015136
75,新北市,泰山區,1,17627,45.77,47,47,20181125-015136
76,新北市,林口區,1,20883,40.92,62,62,20181125-015136
77,新北市,深坑區,1,5153,40.03,16,16,20181125-015136
78,新北市,石碇區,1,2488,52.27,13,13,20181125-015136
79,新北市,坪林區,1,2255,55.46,10,10,20181125-015137
80,新北市,三芝區,1,4915,40.6,18,18,20181125-015137
81,新北市,石門區,1,2928,41.3,10,10,20181125-015137
82,新北市,八里區,1,8982,46.0,20,20,20181125-015138
83,新北市,平溪區,1,1417,46.72,12,12,20181125-015138
84,新北市,雙溪區,1,2423,44.18,17,17,20181125-015138
85,新北市,貢寮區,1,3698,54.21,18,18,20181125-015138
86,新北市,金山區,1,5344,46.11,19,19,20181125-015139
87,新北市,萬里區,1,4928,42.95,16,16,20181125-015139
88,新北市,烏來區,1,1399,35.23,6,6,20181125-015139
89,桃園市,桃園區,1,4084,2.1,216,216,20181125-015139
90,桃園市,桃園區,2,73799,37.98,216,216,20181125-015139
91,桃園市,桃園區,3,14752,7.59,216,216,20181125-015139
92,桃園市,桃園區,4,424,0.22,216,216,20181125-015139
93,桃園市,桃園區,5,101241,52.11,216,216,20181125-015139
94,桃園市,中壢區,1,3203,1.69,207,210,20181125-015139
95,桃園市,中壢區,2,86518,45.58,207,210,20181125-015139
96,桃園市,中壢區,3,6728,3.54,207,210,20181125-015139
97,桃園市,中壢區,4,556,0.29,207,210,20181125-015139
98,桃園市,中壢區,5,92796,48.89,207,210,20181125-015139
99,桃園市,大溪區,1,610,1.28,59,59,20181125-015140
100,桃園市,大溪區,2,16271,34.1,59,59,20181125-015140
