,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,366,0.41,100,117,20181124-214345
1,臺北市,松山區,2,38486,42.75,100,117,20181124-214345
2,臺北市,松山區,3,15047,16.71,100,117,20181124-214345
3,臺北市,松山區,4,35771,39.73,100,117,20181124-214345
4,臺北市,松山區,5,357,0.4,100,117,20181124-214345
5,臺北市,信義區,1,372,0.41,106,142,20181124-214345
6,臺北市,信義區,2,40281,44.55,106,142,20181124-214345
7,臺北市,信義區,3,14475,16.01,106,142,20181124-214345
8,臺北市,信義區,4,34914,38.62,106,142,20181124-214345
9,臺北市,信義區,5,370,0.41,106,142,20181124-214345
10,臺北市,大安區,1,354,0.38,114,188,20181124-214345
11,臺北市,大安區,2,42402,45.38,114,188,20181124-214345
12,臺北市,大安區,3,13964,14.94,114,188,20181124-214345
13,臺北市,大安區,4,36337,38.89,114,188,20181124-214345
14,臺北市,大安區,5,389,0.42,114,188,20181124-214345
15,臺北市,中山區,1,442,0.39,124,133,20181124-214346
16,臺北市,中山區,2,42990,38.05,124,133,20181124-214346
17,臺北市,中山區,3,21970,19.45,124,133,20181124-214346
18,臺北市,中山區,4,47118,41.71,124,133,20181124-214346
19,臺北市,中山區,5,459,0.41,124,133,20181124-214346
20,臺北市,中正區,1,306,0.46,80,96,20181124-214346
21,臺北市,中正區,2,27847,41.81,80,96,20181124-214346
22,臺北市,中正區,3,10442,15.68,80,96,20181124-214346
23,臺北市,中正區,4,27689,41.58,80,96,20181124-214346
24,臺北市,中正區,5,313,0.47,80,96,20181124-214346
25,臺北市,大同區,1,257,0.39,78,82,20181124-214346
26,臺北市,大同區,2,19563,29.54,78,82,20181124-214346
27,臺北市,大同區,3,16085,24.29,78,82,20181124-214346
28,臺北市,大同區,4,29989,45.29,78,82,20181124-214346
29,臺北市,大同區,5,323,0.49,78,82,20181124-214346
30,臺北市,萬華區,1,417,0.41,113,117,20181124-214352
31,臺北市,萬華區,2,37493,37.23,113,117,20181124-214352
32,臺北市,萬華區,3,20565,20.42,113,117,20181124-214352
33,臺北市,萬華區,4,41775,41.48,113,117,20181124-214352
34,臺北市,萬華區,5,451,0.45,113,117,20181124-214352
35,臺北市,文山區,1,322,0.46,82,162,20181124-214352
36,臺北市,文山區,2,32892,46.87,82,162,20181124-214352
37,臺北市,文山區,3,9389,13.38,82,162,20181124-214352
38,臺北市,文山區,4,27210,38.78,82,162,20181124-214352
39,臺北市,文山區,5,358,0.51,82,162,20181124-214352
40,臺北市,南港區,1,287,0.43,72,72,20181124-214352
41,臺北市,南港區,2,26282,39.45,72,72,20181124-214352
42,臺北市,南港區,3,10830,16.26,72,72,20181124-214352
43,臺北市,南港區,4,28896,43.37,72,72,20181124-214352
44,臺北市,南港區,5,325,0.49,72,72,20181124-214352
45,臺北市,內湖區,1,496,0.36,137,150,20181124-214352
46,臺北市,內湖區,2,55745,40.84,137,150,20181124-214352
47,臺北市,內湖區,3,19893,14.58,137,150,20181124-214352
48,臺北市,內湖區,4,59769,43.79,137,150,20181124-214352
49,臺北市,內湖區,5,578,0.42,137,150,20181124-214352
50,臺北市,士林區,1,158,0.32,56,163,20181124-214353
51,臺北市,士林區,2,17900,35.98,56,163,20181124-214353
52,臺北市,士林區,3,11120,22.35,56,163,20181124-214353
53,臺北市,士林區,4,20374,40.95,56,163,20181124-214353
54,臺北市,士林區,5,200,0.4,56,163,20181124-214353
55,臺北市,北投區,1,318,0.4,85,141,20181124-214359
56,臺北市,北投區,2,31425,39.35,85,141,20181124-214359
57,臺北市,北投區,3,14571,18.25,85,141,20181124-214359
58,臺北市,北投區,4,33204,41.58,85,141,20181124-214359
59,臺北市,北投區,5,336,0.42,85,141,20181124-214359
60,新北市,板橋區,1,79307,46.17,215,338,20181124-214400
61,新北市,板橋區,2,92476,53.83,215,338,20181124-214400
62,新北市,三重區,1,53783,50.37,131,235,20181124-214400
63,新北市,三重區,2,52988,49.63,131,235,20181124-214400
64,新北市,中和區,1,71666,36.81,219,244,20181124-214400
65,新北市,中和區,2,123041,63.19,219,244,20181124-214400
66,新北市,永和區,1,27694,32.53,101,138,20181124-214400
67,新北市,永和區,2,57431,67.47,101,138,20181124-214400
68,新北市,新莊區,1,57654,48.31,149,253,20181124-214401
69,新北市,新莊區,2,61686,51.69,149,253,20181124-214401
70,新北市,新店區,1,41137,31.45,148,176,20181124-214401
71,新北市,新店區,2,89659,68.55,148,176,20181124-214401
72,新北市,樹林區,1,28509,46.88,78,111,20181124-214401
73,新北市,樹林區,2,32299,53.12,78,111,20181124-214401
74,新北市,鶯歌區,1,19473,46.63,48,50,20181124-214402
75,新北市,鶯歌區,2,22284,53.37,48,50,20181124-214402
76,新北市,三峽區,1,23653,42.64,70,70,20181124-214403
77,新北市,三峽區,2,31822,57.36,70,70,20181124-214403
78,新北市,淡水區,1,15017,41.25,46,96,20181124-214403
79,新北市,淡水區,2,21384,58.75,46,96,20181124-214403
80,新北市,汐止區,1,18010,39.81,53,111,20181124-214403
81,新北市,汐止區,2,27226,60.19,53,111,20181124-214403
82,新北市,瑞芳區,1,6801,38.05,42,46,20181124-214404
83,新北市,瑞芳區,2,11072,61.95,42,46,20181124-214404
84,新北市,土城區,1,44459,44.15,122,142,20181124-214404
85,新北市,土城區,2,56237,55.85,122,142,20181124-214404
86,新北市,蘆洲區,1,48350,50.56,104,104,20181124-214405
87,新北市,蘆洲區,2,47271,49.44,104,104,20181124-214405
88,新北市,五股區,1,18500,47.69,44,48,20181124-214405
89,新北市,五股區,2,20291,52.31,44,48,20181124-214405
90,新北市,泰山區,1,6538,45.76,20,47,20181124-214405
91,新北市,泰山區,2,7749,54.24,20,47,20181124-214405
92,新北市,林口區,1,20252,41.12,60,62,20181124-214405
93,新北市,林口區,2,28998,58.88,60,62,20181124-214405
94,新北市,深坑區,1,5153,40.03,16,16,20181124-214406
95,新北市,深坑區,2,7720,59.97,16,16,20181124-214406
96,新北市,石碇區,1,2488,52.27,13,13,20181124-214406
97,新北市,石碇區,2,2272,47.73,13,13,20181124-214406
98,新北市,坪林區,1,2255,55.46,10,10,20181124-214406
99,新北市,坪林區,2,1811,44.54,10,10,20181124-214406
100,新北市,三芝區,1,4915,40.6,18,18,20181124-214407
101,新北市,三芝區,2,7191,59.4,18,18,20181124-214407
102,新北市,石門區,1,2928,41.3,10,10,20181124-214407
103,新北市,石門區,2,4162,58.7,10,10,20181124-214407
104,新北市,八里區,1,8982,46.0,20,20,20181124-214408
105,新北市,八里區,2,10545,54.0,20,20,20181124-214408
106,新北市,平溪區,1,1417,46.72,12,12,20181124-214408
107,新北市,平溪區,2,1616,53.28,12,12,20181124-214408
108,新北市,雙溪區,1,2423,44.18,17,17,20181124-214409
109,新北市,雙溪區,2,3062,55.82,17,17,20181124-214409
110,新北市,貢寮區,1,3698,54.21,18,18,20181124-214409
111,新北市,貢寮區,2,3123,45.79,18,18,20181124-214409
112,新北市,金山區,1,5344,46.11,19,19,20181124-214409
113,新北市,金山區,2,6246,53.89,19,19,20181124-214409
114,新北市,萬里區,1,4928,42.95,16,16,20181124-214415
115,新北市,萬里區,2,6547,57.05,16,16,20181124-214415
116,新北市,烏來區,1,709,37.87,4,6,20181124-214415
117,新北市,烏來區,2,1163,62.13,4,6,20181124-214415
118,桃園市,桃園區,1,1949,2.08,110,216,20181124-214415
119,桃園市,桃園區,2,35280,37.58,110,216,20181124-214415
120,桃園市,桃園區,3,7024,7.48,110,216,20181124-214415
121,桃園市,桃園區,4,214,0.23,110,216,20181124-214415
122,桃園市,桃園區,5,49418,52.64,110,216,20181124-214415
123,桃園市,中壢區,1,1339,1.66,93,210,20181124-214415
124,桃園市,中壢區,2,36478,45.11,93,210,20181124-214415
125,桃園市,中壢區,3,2762,3.42,93,210,20181124-214415
126,桃園市,中壢區,4,283,0.35,93,210,20181124-214415
127,桃園市,中壢區,5,39996,49.46,93,210,20181124-214415
128,桃園市,大溪區,1,439,1.29,43,59,20181124-214415
129,桃園市,大溪區,2,10589,31.01,43,59,20181124-214415
130,桃園市,大溪區,3,1387,4.06,43,59,20181124-214415
131,桃園市,大溪區,4,147,0.43,43,59,20181124-214415
132,桃園市,大溪區,5,21581,63.21,43,59,20181124-214415
133,桃園市,楊梅區,1,388,1.37,32,82,20181124-214416
134,桃園市,楊梅區,2,11729,41.37,32,82,20181124-214416
135,桃園市,楊梅區,3,1297,4.58,32,82,20181124-214416
136,桃園市,楊梅區,4,137,0.48,32,82,20181124-214416
137,桃園市,楊梅區,5,14798,52.2,32,82,20181124-214416
138,桃園市,蘆竹區,1,663,2.13,36,76,20181124-214416
139,桃園市,蘆竹區,2,9849,31.6,36,76,20181124-214416
140,桃園市,蘆竹區,3,1839,5.9,36,76,20181124-214416
141,桃園市,蘆竹區,4,106,0.34,36,76,20181124-214416
142,桃園市,蘆竹區,5,18711,60.03,36,76,20181124-214416
143,桃園市,大園區,1,237,1.61,17,50,20181124-214416
144,桃園市,大園區,2,4427,30.15,17,50,20181124-214416
145,桃園市,大園區,3,849,5.78,17,50,20181124-214416
146,桃園市,大園區,4,76,0.52,17,50,20181124-214416
147,桃園市,大園區,5,9093,61.93,17,50,20181124-214416
148,桃園市,龜山區,1,377,1.82,26,78,20181124-214416
149,桃園市,龜山區,2,7716,37.28,26,78,20181124-214416
150,桃園市,龜山區,3,1165,5.63,26,78,20181124-214416
151,桃園市,龜山區,4,78,0.38,26,78,20181124-214416
152,桃園市,龜山區,5,11361,54.89,26,78,20181124-214416
153,桃園市,八德區,1,736,1.64,52,101,20181124-214416
154,桃園市,八德區,2,16751,37.3,52,101,20181124-214416
155,桃園市,八德區,3,2025,4.51,52,101,20181124-214416
156,桃園市,八德區,4,145,0.32,52,101,20181124-214416
157,桃園市,八德區,5,25255,56.23,52,101,20181124-214416
158,桃園市,龍潭區,1,730,1.69,48,64,20181124-214417
159,桃園市,龍潭區,2,19642,45.35,48,64,20181124-214417
160,桃園市,龍潭區,3,1651,3.81,48,64,20181124-214417
161,桃園市,龍潭區,4,445,1.03,48,64,20181124-214417
162,桃園市,龍潭區,5,20841,48.12,48,64,20181124-214417
163,桃園市,平鎮區,1,747,1.59,60,125,20181124-214418
164,桃園市,平鎮區,2,19584,41.71,60,125,20181124-214418
165,桃園市,平鎮區,3,1670,3.56,60,125,20181124-214418
166,桃園市,平鎮區,4,183,0.39,60,125,20181124-214418
167,桃園市,平鎮區,5,24769,52.75,60,125,20181124-214418
168,桃園市,新屋區,1,357,1.31,29,30,20181124-214418
169,桃園市,新屋區,2,8782,32.24,29,30,20181124-214418
170,桃園市,新屋區,3,1352,4.96,29,30,20181124-214418
171,桃園市,新屋區,4,135,0.5,29,30,20181124-214418
172,桃園市,新屋區,5,16614,60.99,29,30,20181124-214418
