,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,1,0.11,1,117,20181124-181341
1,臺北市,松山區,2,358,39.78,1,117,20181124-181341
2,臺北市,松山區,3,145,16.11,1,117,20181124-181341
3,臺北市,松山區,4,388,43.11,1,117,20181124-181341
4,臺北市,松山區,5,8,0.89,1,117,20181124-181341
5,臺北市,信義區,1,18,0.62,4,142,20181124-181341
6,臺北市,信義區,2,447,15.31,4,142,20181124-181341
7,臺北市,信義區,3,12,0.41,4,142,20181124-181341
8,臺北市,大安區,1,4,0.77,1,188,20181124-181341
9,臺北市,大安區,2,253,48.56,1,188,20181124-181341
10,臺北市,大安區,3,88,16.89,1,188,20181124-181341
11,臺北市,大安區,4,172,33.01,1,188,20181124-181341
12,臺北市,大安區,5,4,0.77,1,188,20181124-181341
13,臺北市,中山區,1,5,0.22,3,133,20181124-181341
14,臺北市,中山區,2,737,32.68,3,133,20181124-181341
15,臺北市,中山區,3,574,25.45,3,133,20181124-181341
16,臺北市,中山區,4,929,41.2,3,133,20181124-181341
17,臺北市,中山區,5,10,0.44,3,133,20181124-181341
18,臺北市,中正區,1,22,0.44,7,96,20181124-181342
19,臺北市,中正區,2,748,15.09,7,96,20181124-181342
20,臺北市,中正區,3,26,0.52,7,96,20181124-181342
21,臺北市,大同區,1,3,0.43,1,82,20181124-181342
22,臺北市,大同區,2,171,24.39,1,82,20181124-181342
23,臺北市,大同區,3,183,26.11,1,82,20181124-181342
24,臺北市,大同區,4,341,48.64,1,82,20181124-181342
25,臺北市,大同區,5,3,0.43,1,82,20181124-181342
26,臺北市,萬華區,1,41,0.55,9,117,20181124-181342
27,臺北市,萬華區,2,25,0.33,9,117,20181124-181342
28,臺北市,文山區,1,5,0.65,1,162,20181124-181342
29,臺北市,文山區,2,348,45.43,1,162,20181124-181342
30,臺北市,文山區,3,121,15.8,1,162,20181124-181342
31,臺北市,文山區,4,291,37.99,1,162,20181124-181342
32,臺北市,文山區,5,1,0.13,1,162,20181124-181342
33,臺北市,南港區,1,51,0.36,16,72,20181124-181343
34,臺北市,南港區,2,68,0.48,16,72,20181124-181343
35,臺北市,內湖區,1,6,0.41,2,150,20181124-181343
36,臺北市,內湖區,2,532,36.24,2,150,20181124-181343
37,臺北市,內湖區,3,264,17.98,2,150,20181124-181343
38,臺北市,內湖區,4,660,44.96,2,150,20181124-181343
39,臺北市,內湖區,5,6,0.41,2,150,20181124-181343
40,臺北市,士林區,1,0,0.0,0,163,20181124-181343
41,臺北市,士林區,2,0,0.0,0,163,20181124-181343
42,臺北市,士林區,3,0,0.0,0,163,20181124-181343
43,臺北市,士林區,4,0,0.0,0,163,20181124-181343
44,臺北市,士林區,5,0,0.0,0,163,20181124-181343
45,臺北市,北投區,1,2,0.38,1,141,20181124-181343
46,臺北市,北投區,2,214,40.68,1,141,20181124-181343
47,臺北市,北投區,3,121,23.0,1,141,20181124-181343
48,臺北市,北投區,4,188,35.74,1,141,20181124-181343
49,臺北市,北投區,5,1,0.19,1,141,20181124-181343
50,新北市,板橋區,1,177,42.55,1,338,20181124-181344
51,新北市,板橋區,2,239,57.45,1,338,20181124-181344
52,新北市,三重區,1,296,53.82,1,235,20181124-181344
53,新北市,三重區,2,254,46.18,1,235,20181124-181344
54,新北市,新莊區,1,0,0.0,0,253,20181124-181344
55,新北市,新莊區,2,0,0.0,0,253,20181124-181344
56,新北市,新店區,1,888,31.83,4,176,20181124-181345
57,新北市,鶯歌區,1,93,52.84,1,50,20181124-181345
58,新北市,鶯歌區,2,83,47.16,1,50,20181124-181345
59,新北市,淡水區,1,329,61.96,1,96,20181124-181346
60,新北市,淡水區,2,202,38.04,1,96,20181124-181346
61,新北市,汐止區,1,88,45.83,1,111,20181124-181346
62,新北市,汐止區,2,104,54.17,1,111,20181124-181346
63,新北市,瑞芳區,1,783,40.4,7,46,20181124-181346
64,新北市,泰山區,1,42,35.29,1,47,20181124-181348
