,縣市,行政區,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,0,0.0,0,117,20181124-172124
1,臺北市,信義區,0,0.0,0,142,20181124-172124
2,臺北市,大安區,0,0.0,0,188,20181124-172124
3,臺北市,中山區,0,0.0,0,133,20181124-172124
4,臺北市,中正區,0,0.0,0,96,20181124-172125
5,臺北市,大同區,0,0.0,0,82,20181124-172125
6,臺北市,萬華區,0,0.0,0,117,20181124-172125
7,臺北市,文山區,0,0.0,0,162,20181124-172125
8,臺北市,南港區,0,0.0,0,72,20181124-172125
9,臺北市,內湖區,0,0.0,0,150,20181124-172126
10,臺北市,士林區,0,0.0,0,163,20181124-172126
11,臺北市,北投區,0,0.0,0,141,20181124-172126
12,新北市,板橋區,0,0.0,0,338,20181124-172126
13,新北市,三重區,0,0.0,0,235,20181124-172127
14,新北市,中和區,108,46.96,1,244,20181124-172127
15,新北市,永和區,74,14.89,1,138,20181124-172127
16,新北市,新莊區,0,0.0,0,253,20181124-172127
17,新北市,新店區,0,0.0,0,176,20181124-172127
18,新北市,樹林區,0,0.0,0,111,20181124-172128
19,新北市,鶯歌區,0,0.0,0,50,20181124-172128
20,新北市,三峽區,96,46.15,1,70,20181124-172128
21,新北市,淡水區,0,0.0,0,96,20181124-172128
22,新北市,汐止區,0,0.0,0,111,20181124-172129
23,新北市,瑞芳區,0,0.0,0,46,20181124-172129
24,新北市,土城區,0,0.0,0,142,20181124-172129
25,新北市,蘆洲區,0,0.0,0,104,20181124-172129
26,新北市,五股區,0,0.0,0,48,20181124-172129
27,新北市,泰山區,0,0.0,0,47,20181124-172130
28,新北市,林口區,0,0.0,0,62,20181124-172130
29,新北市,深坑區,0,0.0,0,16,20181124-172130
30,新北市,石碇區,0,0.0,0,13,20181124-172130
31,新北市,坪林區,88,44.44,1,10,20181124-172130
32,新北市,三芝區,0,0.0,0,18,20181124-172131
33,新北市,石門區,75,37.88,1,10,20181124-172131
34,新北市,八里區,0,0.0,0,20,20181124-172131
35,新北市,平溪區,304,42.28,5,12,20181124-172131
36,新北市,雙溪區,565,45.35,6,17,20181124-172132
37,新北市,貢寮區,350,54.77,3,18,20181124-172132
38,新北市,金山區,55,38.46,1,19,20181124-172132
39,新北市,萬里區,0,0.0,0,16,20181124-172132
40,新北市,烏來區,0,0.0,0,6,20181124-172133
41,桃園市,桃園區,0,0.0,0,216,20181124-172133
42,桃園市,中壢區,0,0.0,0,210,20181124-172133
43,桃園市,大溪區,0,0.0,0,59,20181124-172133
44,桃園市,楊梅區,0,0.0,0,82,20181124-172133
45,桃園市,蘆竹區,0,0.0,0,76,20181124-172134
46,桃園市,大園區,0,0.0,0,50,20181124-172134
47,桃園市,龜山區,0,0.0,0,78,20181124-172134
48,桃園市,八德區,0,0.0,0,101,20181124-172134
49,桃園市,龍潭區,0,0.0,0,64,20181124-172134
50,桃園市,平鎮區,0,0.0,0,125,20181124-172135
51,桃園市,新屋區,0,0.0,0,30,20181124-172135
52,桃園市,觀音區,0,0.0,0,41,20181124-172135
53,桃園市,復興區,0,0.0,0,10,20181124-172135
54,臺中市,中區,0,0.0,0,12,20181124-172136
55,臺中市,東區,0,0.0,0,49,20181124-172136
56,臺中市,南區,0,0.0,0,74,20181124-172136
57,臺中市,西區,0,0.0,0,66,20181124-172136
58,臺中市,北區,0,0.0,0,87,20181124-172136
59,臺中市,西屯區,0,0.0,0,120,20181124-172137
60,臺中市,南屯區,0,0.0,0,101,20181124-172137
61,臺中市,北屯區,0,0.0,0,137,20181124-172137
62,臺中市,豐原區,0,0.0,0,88,20181124-172137
63,臺中市,東勢區,0,0.0,0,39,20181124-172137
64,臺中市,大甲區,0,0.0,0,54,20181124-172138
65,臺中市,清水區,0,0.0,0,59,20181124-172138
66,臺中市,沙鹿區,0,0.0,0,53,20181124-172138
