,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,408,0.4,111,117,20181124-225324
1,臺北市,松山區,2,43699,43.36,111,117,20181124-225324
2,臺北市,松山區,3,16473,16.34,111,117,20181124-225324
3,臺北市,松山區,4,39817,39.5,111,117,20181124-225324
4,臺北市,松山區,5,396,0.39,111,117,20181124-225324
5,臺北市,信義區,1,425,0.4,123,142,20181124-225325
6,臺北市,信義區,2,46709,44.21,123,142,20181124-225325
7,臺北市,信義區,3,17050,16.14,123,142,20181124-225325
8,臺北市,信義區,4,41029,38.84,123,142,20181124-225325
9,臺北市,信義區,5,432,0.41,123,142,20181124-225325
10,臺北市,大安區,1,423,0.37,138,188,20181124-225325
11,臺北市,大安區,2,52146,45.69,138,188,20181124-225325
12,臺北市,大安區,3,17062,14.95,138,188,20181124-225325
13,臺北市,大安區,4,44015,38.56,138,188,20181124-225325
14,臺北市,大安區,5,491,0.43,138,188,20181124-225325
15,臺北市,中山區,1,455,0.39,128,133,20181124-225325
16,臺北市,中山區,2,44797,38.29,128,133,20181124-225325
17,臺北市,中山區,3,22586,19.31,128,133,20181124-225325
18,臺北市,中山區,4,48683,41.61,128,133,20181124-225325
19,臺北市,中山區,5,472,0.4,128,133,20181124-225325
20,臺北市,中正區,1,332,0.45,87,96,20181124-225326
21,臺北市,中正區,2,30560,41.73,87,96,20181124-225326
22,臺北市,中正區,3,11478,15.67,87,96,20181124-225326
23,臺北市,中正區,4,30522,41.68,87,96,20181124-225326
24,臺北市,中正區,5,344,0.47,87,96,20181124-225326
25,臺北市,大同區,1,266,0.38,82,82,20181124-225326
26,臺北市,大同區,2,20763,29.69,82,82,20181124-225326
27,臺北市,大同區,3,16896,24.16,82,82,20181124-225326
28,臺北市,大同區,4,31679,45.29,82,82,20181124-225326
29,臺北市,大同區,5,339,0.48,82,82,20181124-225326
30,臺北市,萬華區,1,427,0.41,117,117,20181124-225326
31,臺北市,萬華區,2,38666,37.05,117,117,20181124-225326
32,臺北市,萬華區,3,21400,20.5,117,117,20181124-225326
33,臺北市,萬華區,4,43411,41.59,117,117,20181124-225326
34,臺北市,萬華區,5,464,0.44,117,117,20181124-225326
35,臺北市,文山區,1,448,0.48,106,162,20181124-225327
36,臺北市,文山區,2,43550,47.05,106,162,20181124-225327
37,臺北市,文山區,3,12256,13.24,106,162,20181124-225327
38,臺北市,文山區,4,35840,38.72,106,162,20181124-225327
39,臺北市,文山區,5,467,0.5,106,162,20181124-225327
40,臺北市,南港區,1,287,0.43,72,72,20181124-225327
41,臺北市,南港區,2,26282,39.45,72,72,20181124-225327
42,臺北市,南港區,3,10830,16.26,72,72,20181124-225327
43,臺北市,南港區,4,28896,43.37,72,72,20181124-225327
44,臺北市,南港區,5,325,0.49,72,72,20181124-225327
45,臺北市,內湖區,1,523,0.36,146,150,20181124-225327
46,臺北市,內湖區,2,59903,41.06,146,150,20181124-225327
47,臺北市,內湖區,3,21050,14.43,146,150,20181124-225327
48,臺北市,內湖區,4,63801,43.73,146,150,20181124-225327
49,臺北市,內湖區,5,617,0.42,146,150,20181124-225327
50,臺北市,士林區,1,250,0.34,82,163,20181124-225327
51,臺北市,士林區,2,26576,36.33,82,163,20181124-225327
52,臺北市,士林區,3,15888,21.72,82,163,20181124-225327
53,臺北市,士林區,4,30142,41.2,82,163,20181124-225327
54,臺北市,士林區,5,304,0.42,82,163,20181124-225327
55,臺北市,北投區,1,376,0.39,104,141,20181124-225327
56,臺北市,北投區,2,38150,39.17,104,141,20181124-225327
57,臺北市,北投區,3,17857,18.33,104,141,20181124-225327
58,臺北市,北投區,4,40596,41.68,104,141,20181124-225327
59,臺北市,北投區,5,414,0.43,104,141,20181124-225327
60,新北市,板橋區,1,116647,46.14,303,338,20181124-225328
61,新北市,板橋區,2,136181,53.86,303,338,20181124-225328
62,新北市,三重區,1,83190,50.24,198,235,20181124-225328
63,新北市,三重區,2,82382,49.76,198,235,20181124-225328
64,新北市,中和區,1,76060,36.64,232,244,20181124-225328
65,新北市,中和區,2,131506,63.36,232,244,20181124-225328
66,新北市,永和區,1,33789,32.59,122,138,20181124-225329
67,新北市,永和區,2,69896,67.41,122,138,20181124-225329
68,新北市,新莊區,1,86740,48.41,218,253,20181124-225329
69,新北市,新莊區,2,92434,51.59,218,253,20181124-225329
70,新北市,新店區,1,45947,31.36,163,176,20181124-225329
71,新北市,新店區,2,100561,68.64,163,176,20181124-225329
72,新北市,樹林區,1,38682,45.87,104,111,20181124-225329
73,新北市,樹林區,2,45644,54.13,104,111,20181124-225329
74,新北市,鶯歌區,1,20360,46.51,50,50,20181124-225330
75,新北市,鶯歌區,2,23419,53.49,50,50,20181124-225330
76,新北市,三峽區,1,23653,42.64,70,70,20181124-225330
77,新北市,三峽區,2,31822,57.36,70,70,20181124-225330
78,新北市,淡水區,1,24950,40.63,74,96,20181124-225330
79,新北市,淡水區,2,36458,59.37,74,96,20181124-225330
80,新北市,汐止區,1,29373,39.35,85,111,20181124-225330
81,新北市,汐止區,2,45281,60.65,85,111,20181124-225330
