,案號,縣市,行政區,同意,不同意,有效,無效,投票數,投票權人數,投票率,有效同意票數對投票權人數百分比,已送投開票所數,應送投開票所數
93,7,臺南市,大內區,0,0,0,0,0,0,0,0,0,11
94,7,臺南市,佳里區,0,0,0,0,0,0,0,0,0,41
95,7,臺南市,學甲區,0,0,0,0,0,0,0,0,0,26
96,7,臺南市,西港區,0,0,0,0,0,0,0,0,0,20
97,7,臺南市,七股區,0,0,0,0,0,0,0,0,0,24
98,7,臺南市,將軍區,0,0,0,0,0,0,0,0,0,24
99,7,臺南市,北門區,0,0,0,0,0,0,0,0,0,18
100,7,臺南市,新化區,0,0,0,0,0,0,0,0,0,37
101,7,臺南市,善化區,0,0,0,0,0,0,0,0,0,29
102,7,臺南市,新市區,0,0,0,0,0,0,0,0,0,27
103,7,臺南市,安定區,0,0,0,0,0,0,0,0,0,24
104,7,臺南市,山上區,0,0,0,0,0,0,0,0,0,9
105,7,臺南市,玉井區,0,0,0,0,0,0,0,0,0,16
106,7,臺南市,楠西區,0,0,0,0,0,0,0,0,0,9
107,7,臺南市,南化區,0,0,0,0,0,0,0,0,0,10
108,7,臺南市,左鎮區,0,0,0,0,0,0,0,0,0,10
109,7,臺南市,仁德區,0,0,0,0,0,0,0,0,0,49
110,7,臺南市,歸仁區,0,0,0,0,0,0,0,0,0,46
111,7,臺南市,關廟區,0,0,0,0,0,0,0,0,0,32
112,7,臺南市,龍崎區,0,0,0,0,0,0,0,0,0,8
113,7,臺南市,永康區,0,0,0,0,0,0,0,0,0,142
114,7,臺南市,東區,0,0,0,0,0,0,0,0,0,93
115,7,臺南市,南區,0,0,0,0,0,0,0,0,0,80
116,7,臺南市,北區,0,0,0,0,0,0,0,0,0,81
117,7,臺南市,安南區,0,0,0,0,0,0,0,0,0,90
118,7,臺南市,安平區,0,0,0,0,0,0,0,0,0,32
119,7,臺南市,中西區,0,0,0,0,0,0,0,0,0,52
120,7,高雄市,鹽埕區,0,0,0,0,0,0,0,0,0,24
121,7,高雄市,鼓山區,0,0,0,0,0,0,0,0,0,77
122,7,高雄市,左營區,0,0,0,0,0,0,0,0,0,103
123,7,高雄市,楠梓區,0,0,0,0,0,0,0,0,0,99
124,7,高雄市,三民區,0,0,0,0,0,0,0,0,0,189
125,7,高雄市,新興區,0,0,0,0,0,0,0,0,0,42
126,7,高雄市,前金區,0,0,0,0,0,0,0,0,0,22
127,7,高雄市,苓雅區,0,0,0,0,0,0,0,0,0,116
128,7,高雄市,前鎮區,0,0,0,0,0,0,0,0,0,119
129,7,高雄市,旗津區,0,0,0,0,0,0,0,0,0,18
130,7,高雄市,小港區,0,0,0,0,0,0,0,0,0,89
131,7,高雄市,鳳山區,0,0,0,0,0,0,0,0,0,228
132,7,高雄市,林園區,0,0,0,0,0,0,0,0,0,51
133,7,高雄市,大寮區,0,0,0,0,0,0,0,0,0,81
134,7,高雄市,大樹區,0,0,0,0,0,0,0,0,0,32
135,7,高雄市,大社區,0,0,0,0,0,0,0,0,0,24
136,7,高雄市,仁武區,0,0,0,0,0,0,0,0,0,47
137,7,高雄市,鳥松區,0,0,0,0,0,0,0,0,0,28
138,7,高雄市,岡山區,0,0,0,0,0,0,0,0,0,72
139,7,高雄市,橋頭區,0,0,0,0,0,0,0,0,0,31
140,7,高雄市,燕巢區,0,0,0,0,0,0,0,0,0,25
141,7,高雄市,田寮區,0,0,0,0,0,0,0,0,0,12
142,7,高雄市,阿蓮區,0,0,0,0,0,0,0,0,0,21
143,7,高雄市,路竹區,0,0,0,0,0,0,0,0,0,41
144,7,高雄市,湖內區,0,0,0,0,0,0,0,0,0,24
145,7,高雄市,茄萣區,0,0,0,0,0,0,0,0,0,21
146,7,高雄市,永安區,0,0,0,0,0,0,0,0,0,12
147,7,高雄市,彌陀區,0,0,0,0,0,0,0,0,0,18
148,7,高雄市,梓官區,0,0,0,0,0,0,0,0,0,28
149,7,高雄市,旗山區,0,0,0,0,0,0,0,0,0,35
150,7,高雄市,美濃區,0,0,0,0,0,0,0,0,0,32
151,7,高雄市,六龜區,0,0,0,0,0,0,0,0,0,12
152,7,高雄市,甲仙區,0,0,0,0,0,0,0,0,0,7
153,7,高雄市,杉林區,0,0,0,0,0,0,0,0,0,10
154,7,高雄市,內門區,0,0,0,0,0,0,0,0,0,18
155,7,高雄市,茂林區,0,0,0,0,0,0,0,0,0,3
156,7,高雄市,桃源區,0,0,0,0,0,0,0,0,0,8
157,7,高雄市,那瑪夏區,0,0,0,0,0,0,0,0,0,4
158,7,新竹縣,竹北市,0,0,0,0,0,0,0,0,0,103
159,7,新竹縣,竹東鎮,0,0,0,0,0,0,0,0,0,72
160,7,新竹縣,新埔鎮,0,0,0,0,0,0,0,0,0,30
161,7,新竹縣,關西鎮,0,0,0,0,0,0,0,0,0,27
162,7,新竹縣,湖口鄉,0,0,0,0,0,0,0,0,0,47
163,7,新竹縣,新豐鄉,0,0,0,0,0,0,0,0,0,39
164,7,新竹縣,芎林鄉,0,0,0,0,0,0,0,0,0,19
165,7,新竹縣,橫山鄉,0,0,0,0,0,0,0,0,0,16
166,7,新竹縣,北埔鄉,0,0,0,0,0,0,0,0,0,10
167,7,新竹縣,寶山鄉,0,0,0,0,0,0,0,0,0,12
168,7,新竹縣,峨眉鄉,0,0,0,0,0,0,0,0,0,8
169,7,新竹縣,尖石鄉,0,0,0,0,0,0,0,0,0,15
170,7,新竹縣,五峰鄉,0,0,0,0,0,0,0,0,0,6
171,7,苗栗縣,苗栗市,0,0,0,0,0,0,0,0,0,67
172,7,苗栗縣,苑裡鎮,0,0,0,0,0,0,0,0,0,40
173,7,苗栗縣,通霄鎮,0,0,0,0,0,0,0,0,0,34
174,7,苗栗縣,竹南鎮,0,0,0,0,0,0,0,0,0,61
175,7,苗栗縣,頭份市,0,0,0,0,0,0,0,0,0,71
176,7,苗栗縣,後龍鎮,0,0,0,0,0,0,0,0,0,35
177,7,苗栗縣,卓蘭鎮,0,0,0,0,0,0,0,0,0,19
178,7,苗栗縣,大湖鄉,0,0,0,0,0,0,0,0,0,15
179,7,苗栗縣,公館鄉,0,0,0,0,0,0,0,0,0,28
180,7,苗栗縣,銅鑼鄉,0,0,0,0,0,0,0,0,0,16
181,7,苗栗縣,南庄鄉,0,0,0,0,0,0,0,0,0,9
182,7,苗栗縣,頭屋鄉,0,0,0,0,0,0,0,0,0,12
183,7,苗栗縣,三義鄉,0,0,0,0,0,0,0,0,0,16
184,7,苗栗縣,西湖鄉,0,0,0,0,0,0,0,0,0,9
185,7,苗栗縣,造橋鄉,0,0,0,0,0,0,0,0,0,12
186,7,苗栗縣,三灣鄉,0,0,0,0,0,0,0,0,0,9
187,7,苗栗縣,獅潭鄉,0,0,0,0,0,0,0,0,0,7
188,7,苗栗縣,泰安鄉,0,0,0,0,0,0,0,0,0,10
189,7,彰化縣,彰化市,0,0,0,0,0,0,0,0,0,184
190,7,彰化縣,鹿港鎮,0,0,0,0,0,0,0,0,0,65
191,7,彰化縣,和美鎮,0,0,0,0,0,0,0,0,0,68
192,7,彰化縣,線西鄉,0,0,0,0,0,0,0,0,0,12
193,7,彰化縣,伸港鄉,0,0,0,0,0,0,0,0,0,28
194,7,彰化縣,福興鄉,0,0,0,0,0,0,0,0,0,33
195,7,彰化縣,秀水鄉,0,0,0,0,0,0,0,0,0,32
196,7,彰化縣,花壇鄉,0,0,0,0,0,0,0,0,0,37
197,7,彰化縣,芬園鄉,0,0,0,0,0,0,0,0,0,21
198,7,彰化縣,員林市,0,0,0,0,0,0,0,0,0,98
199,7,彰化縣,溪湖鎮,0,0,0,0,0,0,0,0,0,42
200,7,彰化縣,田中鎮,0,0,0,0,0,0,0,0,0,36
201,7,彰化縣,大村鄉,0,0,0,0,0,0,0,0,0,27
202,7,彰化縣,埔鹽鄉,0,0,0,0,0,0,0,0,0,29
203,7,彰化縣,埔心鄉,0,0,0,0,0,0,0,0,0,31
204,7,彰化縣,永靖鄉,0,0,0,0,0,0,0,0,0,34
205,7,彰化縣,社頭鄉,0,0,0,0,0,0,0,0,0,38
206,7,彰化縣,二水鄉,0,0,0,0,0,0,0,0,0,17
207,7,彰化縣,北斗鎮,0,0,0,0,0,0,0,0,0,30
208,7,彰化縣,二林鎮,0,0,0,0,0,0,0,0,0,39
209,7,彰化縣,田尾鄉,0,0,0,0,0,0,0,0,0,25
210,7,彰化縣,埤頭鄉,0,0,0,0,0,0,0,0,0,27
211,7,彰化縣,芳苑鄉,0,0,0,0,0,0,0,0,0,36
212,7,彰化縣,大城鄉,0,0,0,0,0,0,0,0,0,17
213,7,彰化縣,竹塘鄉,0,0,0,0,0,0,0,0,0,16
214,7,彰化縣,溪州鄉,0,0,0,0,0,0,0,0,0,27
215,7,南投縣,南投市,0,0,0,0,0,0,0,0,0,84
216,7,南投縣,埔里鎮,0,0,0,0,0,0,0,0,0,68
217,7,南投縣,草屯鎮,0,0,0,0,0,0,0,0,0,76
218,7,南投縣,竹山鎮,0,0,0,0,0,0,0,0,0,53
219,7,南投縣,集集鎮,0,0,0,0,0,0,0,0,0,13
220,7,南投縣,名間鄉,0,0,0,0,0,0,0,0,0,37
221,7,南投縣,鹿谷鄉,0,0,0,0,0,0,0,0,0,21
222,7,南投縣,中寮鄉,0,0,0,0,0,0,0,0,0,24
223,7,南投縣,魚池鄉,0,0,0,0,0,0,0,0,0,25
224,7,南投縣,國姓鄉,0,0,0,0,0,0,0,0,0,20
225,7,南投縣,水里鄉,0,0,0,0,0,0,0,0,0,22
226,7,南投縣,信義鄉,0,0,0,0,0,0,0,0,0,20
227,7,南投縣,仁愛鄉,0,0,0,0,0,0,0,0,0,25
228,7,雲林縣,斗六市,0,0,0,0,0,0,0,0,0,69
229,7,雲林縣,斗南鎮,0,0,0,0,0,0,0,0,0,33
230,7,雲林縣,虎尾鎮,0,0,0,0,0,0,0,0,0,46
231,7,雲林縣,西螺鎮,0,0,0,0,0,0,0,0,0,34
232,7,雲林縣,土庫鎮,0,0,0,0,0,0,0,0,0,29
233,7,雲林縣,北港鎮,0,0,0,0,0,0,0,0,0,41
234,7,雲林縣,古坑鄉,0,0,0,0,0,0,0,0,0,27
235,7,雲林縣,大埤鄉,0,0,0,0,0,0,0,0,0,18
236,7,雲林縣,莿桐鄉,0,0,0,0,0,0,0,0,0,22
237,7,雲林縣,林內鄉,0,0,0,0,0,0,0,0,0,15
238,7,雲林縣,二崙鄉,0,0,0,0,0,0,0,0,0,23
239,7,雲林縣,崙背鄉,0,0,0,0,0,0,0,0,0,20
240,7,雲林縣,麥寮鄉,0,0,0,0,0,0,0,0,0,28
241,7,雲林縣,東勢鄉,0,0,0,0,0,0,0,0,0,15
242,7,雲林縣,褒忠鄉,0,0,0,0,0,0,0,0,0,14
243,7,雲林縣,臺西鄉,0,0,0,0,0,0,0,0,0,22
244,7,雲林縣,元長鄉,0,0,0,0,0,0,0,0,0,25
245,7,雲林縣,四湖鄉,0,0,0,0,0,0,0,0,0,25
246,7,雲林縣,口湖鄉,0,0,0,0,0,0,0,0,0,25
247,7,雲林縣,水林鄉,0,0,0,0,0,0,0,0,0,26
248,7,嘉義縣,太保市,0,0,0,0,0,0,0,0,0,33
249,7,嘉義縣,朴子市,0,0,0,0,0,0,0,0,0,35
250,7,嘉義縣,布袋鎮,0,0,0,0,0,0,0,0,0,29
251,7,嘉義縣,大林鎮,0,0,0,0,0,0,0,0,0,25
252,7,嘉義縣,民雄鄉,0,0,0,0,0,0,0,0,0,45
253,7,嘉義縣,溪口鄉,0,0,0,0,0,0,0,0,0,17
254,7,嘉義縣,新港鄉,0,0,0,0,0,0,0,0,0,31
255,7,嘉義縣,六腳鄉,0,0,0,0,0,0,0,0,0,30
256,7,嘉義縣,東石鄉,0,0,0,0,0,0,0,0,0,27
257,7,嘉義縣,義竹鄉,0,0,0,0,0,0,0,0,0,26
258,7,嘉義縣,鹿草鄉,0,0,0,0,0,0,0,0,0,20
259,7,嘉義縣,水上鄉,0,0,0,0,0,0,0,0,0,39
260,7,嘉義縣,中埔鄉,0,0,0,0,0,0,0,0,0,34
261,7,嘉義縣,竹崎鄉,0,0,0,0,0,0,0,0,0,36
262,7,嘉義縣,梅山鄉,0,0,0,0,0,0,0,0,0,22
263,7,嘉義縣,番路鄉,0,0,0,0,0,0,0,0,0,15
264,7,嘉義縣,大埔鄉,0,0,0,0,0,0,0,0,0,9
265,7,嘉義縣,阿里山鄉,0,0,0,0,0,0,0,0,0,13
266,7,屏東縣,屏東市,0,0,0,0,0,0,0,0,0,149
267,7,屏東縣,潮州鎮,0,0,0,0,0,0,0,0,0,40
268,7,屏東縣,東港鎮,0,0,0,0,0,0,0,0,0,38
269,7,屏東縣,恆春鎮,0,0,0,0,0,0,0,0,0,25
270,7,屏東縣,萬丹鄉,0,0,0,0,0,0,0,0,0,39
271,7,屏東縣,長治鄉,0,0,0,0,0,0,0,0,0,22
272,7,屏東縣,麟洛鄉,0,0,0,0,0,0,0,0,0,10
273,7,屏東縣,九如鄉,0,0,0,0,0,0,0,0,0,14
274,7,屏東縣,里港鄉,0,0,0,0,0,0,0,0,0,20
275,7,屏東縣,鹽埔鄉,0,0,0,0,0,0,0,0,0,20
276,7,屏東縣,高樹鄉,0,0,0,0,0,0,0,0,0,22
277,7,屏東縣,萬巒鄉,0,0,0,0,0,0,0,0,0,18
278,7,屏東縣,內埔鄉,0,0,0,0,0,0,0,0,0,40
279,7,屏東縣,竹田鄉,0,0,0,0,0,0,0,0,0,16
280,7,屏東縣,新埤鄉,0,0,0,0,0,0,0,0,0,12
281,7,屏東縣,枋寮鄉,0,0,0,0,0,0,0,0,0,22
282,7,屏東縣,新園鄉,0,0,0,0,0,0,0,0,0,28
283,7,屏東縣,崁頂鄉,0,0,0,0,0,0,0,0,0,12
284,7,屏東縣,林邊鄉,0,0,0,0,0,0,0,0,0,16
285,7,屏東縣,南州鄉,0,0,0,0,0,0,0,0,0,11
286,7,屏東縣,佳冬鄉,0,0,0,0,0,0,0,0,0,16
287,7,屏東縣,琉球鄉,0,0,0,0,0,0,0,0,0,9
288,7,屏東縣,車城鄉,0,0,0,0,0,0,0,0,0,13
289,7,屏東縣,滿州鄉,0,0,0,0,0,0,0,0,0,8
290,7,屏東縣,枋山鄉,0,0,0,0,0,0,0,0,0,6
291,7,屏東縣,三地門鄉,0,0,0,0,0,0,0,0,0,10
292,7,屏東縣,霧臺鄉,0,0,0,0,0,0,0,0,0,8
293,7,屏東縣,瑪家鄉,0,0,0,0,0,0,0,0,0,8
294,7,屏東縣,泰武鄉,0,0,0,0,0,0,0,0,0,7
295,7,屏東縣,來義鄉,0,0,0,0,0,0,0,0,0,9
296,7,屏東縣,春日鄉,0,0,0,0,0,0,0,0,0,6
297,7,屏東縣,獅子鄉,0,0,0,0,0,0,0,0,0,8
298,7,屏東縣,牡丹鄉,0,0,0,0,0,0,0,0,0,7
299,7,宜蘭縣,宜蘭市,0,0,0,0,0,0,0,0,0,78
300,7,宜蘭縣,羅東鎮,0,0,0,0,0,0,0,0,0,50
301,7,宜蘭縣,蘇澳鎮,0,0,0,0,0,0,0,0,0,43
302,7,宜蘭縣,頭城鎮,0,0,0,0,0,0,0,0,0,32
303,7,宜蘭縣,礁溪鄉,0,0,0,0,0,0,0,0,0,32
304,7,宜蘭縣,壯圍鄉,0,0,0,0,0,0,0,0,0,23
305,7,宜蘭縣,員山鄉,0,0,0,0,0,0,0,0,0,31
306,7,宜蘭縣,冬山鄉,0,0,0,0,0,0,0,0,0,39
307,7,宜蘭縣,五結鄉,0,0,0,0,0,0,0,0,0,33
308,7,宜蘭縣,三星鄉,0,0,0,0,0,0,0,0,0,21
309,7,宜蘭縣,大同鄉,0,0,0,0,0,0,0,0,0,10
310,7,宜蘭縣,南澳鄉,0,0,0,0,0,0,0,0,0,7
311,7,花蓮縣,花蓮市,0,0,0,0,0,0,0,0,0,81
312,7,花蓮縣,鳳林鎮,0,0,0,0,0,0,0,0,0,15
313,7,花蓮縣,玉里鎮,0,0,0,0,0,0,0,0,0,23
314,7,花蓮縣,新城鄉,0,0,0,0,0,0,0,0,0,19
315,7,花蓮縣,吉安鄉,0,0,0,0,0,0,0,0,0,59
316,7,花蓮縣,壽豐鄉,0,0,0,0,0,0,0,0,0,21
317,7,花蓮縣,光復鄉,0,0,0,0,0,0,0,0,0,17
318,7,花蓮縣,豐濱鄉,0,0,0,0,0,0,0,0,0,7
319,7,花蓮縣,瑞穗鄉,0,0,0,0,0,0,0,0,0,13
320,7,花蓮縣,富里鄉,0,0,0,0,0,0,0,0,0,13
321,7,花蓮縣,秀林鄉,0,0,0,0,0,0,0,0,0,14
322,7,花蓮縣,萬榮鄉,0,0,0,0,0,0,0,0,0,7
323,7,花蓮縣,卓溪鄉,0,0,0,0,0,0,0,0,0,10
324,7,臺東縣,臺東市,0,0,0,0,0,0,0,0,0,69
325,7,臺東縣,成功鎮,0,0,0,0,0,0,0,0,0,17
326,7,臺東縣,關山鎮,0,0,0,0,0,0,0,0,0,9
327,7,臺東縣,卑南鄉,0,0,0,0,0,0,0,0,0,22
328,7,臺東縣,鹿野鄉,0,0,0,0,0,0,0,0,0,10
329,7,臺東縣,池上鄉,0,0,0,0,0,0,0,0,0,12
330,7,臺東縣,東河鄉,0,0,0,0,0,0,0,0,0,11
331,7,臺東縣,長濱鄉,0,0,0,0,0,0,0,0,0,11
332,7,臺東縣,太麻里鄉,0,0,0,0,0,0,0,0,0,15
333,7,臺東縣,大武鄉,0,0,0,0,0,0,0,0,0,6
334,7,臺東縣,綠島鄉,0,0,0,0,0,0,0,0,0,4
335,7,臺東縣,海端鄉,0,0,0,0,0,0,0,0,0,6
336,7,臺東縣,延平鄉,0,0,0,0,0,0,0,0,0,5
337,7,臺東縣,金峰鄉,0,0,0,0,0,0,0,0,0,5
338,7,臺東縣,達仁鄉,0,0,0,0,0,0,0,0,0,7
339,7,臺東縣,蘭嶼鄉,0,0,0,0,0,0,0,0,0,4
340,7,澎湖縣,馬公市,0,0,0,0,0,0,0,0,0,50
341,7,澎湖縣,湖西鄉,0,0,0,0,0,0,0,0,0,23
342,7,澎湖縣,白沙鄉,0,0,0,0,0,0,0,0,0,15
343,7,澎湖縣,西嶼鄉,0,0,0,0,0,0,0,0,0,12
344,7,澎湖縣,望安鄉,0,0,0,0,0,0,0,0,0,10
345,7,澎湖縣,七美鄉,0,0,0,0,0,0,0,0,0,6
346,7,金門縣,金城鎮,0,0,0,0,0,0,0,0,0,21
347,7,金門縣,金沙鎮,0,0,0,0,0,0,0,0,0,13
348,7,金門縣,金湖鎮,0,0,0,0,0,0,0,0,0,17
349,7,金門縣,金寧鄉,0,0,0,0,0,0,0,0,0,17
350,7,金門縣,烈嶼鄉,0,0,0,0,0,0,0,0,0,8
351,7,金門縣,烏坵鄉,0,0,0,0,0,0,0,0,0,2
352,7,連江縣,南竿鄉,0,0,0,0,0,0,0,0,0,4
353,7,連江縣,北竿鄉,0,0,0,0,0,0,0,0,0,2
354,7,連江縣,莒光鄉,0,0,0,0,0,0,0,0,0,2
355,7,連江縣,東引鄉,0,0,0,0,0,0,0,0,0,1
356,7,基隆市,中正區,0,0,0,0,0,0,0,0,0,35
357,7,基隆市,七堵區,0,0,0,0,0,0,0,0,0,39
358,7,基隆市,暖暖區,0,0,0,0,0,0,0,0,0,28
359,7,基隆市,仁愛區,0,0,0,0,0,0,0,0,0,35
360,7,基隆市,中山區,0,0,0,0,0,0,0,0,0,35
361,7,基隆市,安樂區,0,0,0,0,0,0,0,0,0,49
362,7,基隆市,信義區,0,0,0,0,0,0,0,0,0,36
363,7,新竹市,東區,0,0,0,0,0,0,0,0,0,139
364,7,新竹市,北區,0,0,0,0,0,0,0,0,0,105
365,7,新竹市,香山區,0,0,0,0,0,0,0,0,0,55
366,7,嘉義市,東區,0,0,0,0,0,0,0,0,0,81
367,7,嘉義市,西區,0,0,0,0,0,0,0,0,0,96
368,8,臺北市,松山區,0,0,0,0,0,0,0,0,0,117
