,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,408,0.4,111,117,20181124-230420
1,臺北市,松山區,2,43699,43.36,111,117,20181124-230420
2,臺北市,松山區,3,16473,16.34,111,117,20181124-230420
3,臺北市,松山區,4,39817,39.5,111,117,20181124-230420
4,臺北市,松山區,5,396,0.39,111,117,20181124-230420
5,臺北市,信義區,1,426,0.4,124,142,20181124-230420
6,臺北市,信義區,2,47063,44.16,124,142,20181124-230420
7,臺北市,信義區,3,17240,16.18,124,142,20181124-230420
8,臺北市,信義區,4,41400,38.85,124,142,20181124-230420
9,臺北市,信義區,5,434,0.41,124,142,20181124-230420
10,臺北市,大安區,1,437,0.37,141,188,20181124-230420
11,臺北市,大安區,2,53428,45.69,141,188,20181124-230420
12,臺北市,大安區,3,17437,14.91,141,188,20181124-230420
13,臺北市,大安區,4,45128,38.59,141,188,20181124-230420
14,臺北市,大安區,5,502,0.43,141,188,20181124-230420
15,臺北市,中山區,1,460,0.39,129,133,20181124-230420
16,臺北市,中山區,2,45120,38.24,129,133,20181124-230420
17,臺北市,中山區,3,22824,19.35,129,133,20181124-230420
18,臺北市,中山區,4,49104,41.62,129,133,20181124-230420
19,臺北市,中山區,5,475,0.4,129,133,20181124-230420
20,臺北市,中正區,1,336,0.45,88,96,20181124-230420
21,臺北市,中正區,2,30936,41.76,88,96,20181124-230420
22,臺北市,中正區,3,11612,15.68,88,96,20181124-230420
23,臺北市,中正區,4,30842,41.64,88,96,20181124-230420
24,臺北市,中正區,5,348,0.47,88,96,20181124-230420
25,臺北市,大同區,1,266,0.38,82,82,20181124-230421
26,臺北市,大同區,2,20763,29.69,82,82,20181124-230421
27,臺北市,大同區,3,16896,24.16,82,82,20181124-230421
28,臺北市,大同區,4,31679,45.29,82,82,20181124-230421
29,臺北市,大同區,5,339,0.48,82,82,20181124-230421
30,臺北市,萬華區,1,427,0.41,117,117,20181124-230421
31,臺北市,萬華區,2,38666,37.05,117,117,20181124-230421
32,臺北市,萬華區,3,21400,20.5,117,117,20181124-230421
33,臺北市,萬華區,4,43411,41.59,117,117,20181124-230421
34,臺北市,萬華區,5,464,0.44,117,117,20181124-230421
35,臺北市,文山區,1,459,0.48,109,162,20181124-230421
36,臺北市,文山區,2,44985,47.14,109,162,20181124-230421
37,臺北市,文山區,3,12538,13.14,109,162,20181124-230421
38,臺北市,文山區,4,36981,38.75,109,162,20181124-230421
39,臺北市,文山區,5,474,0.5,109,162,20181124-230421
40,臺北市,南港區,1,287,0.43,72,72,20181124-230421
41,臺北市,南港區,2,26282,39.45,72,72,20181124-230421
42,臺北市,南港區,3,10830,16.26,72,72,20181124-230421
43,臺北市,南港區,4,28896,43.37,72,72,20181124-230421
44,臺北市,南港區,5,325,0.49,72,72,20181124-230421
45,臺北市,內湖區,1,523,0.36,146,150,20181124-230421
46,臺北市,內湖區,2,59903,41.06,146,150,20181124-230421
47,臺北市,內湖區,3,21050,14.43,146,150,20181124-230421
48,臺北市,內湖區,4,63801,43.73,146,150,20181124-230421
49,臺北市,內湖區,5,617,0.42,146,150,20181124-230421
50,臺北市,士林區,1,270,0.34,89,163,20181124-230422
51,臺北市,士林區,2,28474,35.72,89,163,20181124-230422
52,臺北市,士林區,3,17696,22.2,89,163,20181124-230422
53,臺北市,士林區,4,32945,41.33,89,163,20181124-230422
54,臺北市,士林區,5,330,0.41,89,163,20181124-230422
55,臺北市,北投區,1,384,0.39,106,141,20181124-230422
56,臺北市,北投區,2,38915,39.17,106,141,20181124-230422
57,臺北市,北投區,3,18218,18.34,106,141,20181124-230422
58,臺北市,北投區,4,41416,41.68,106,141,20181124-230422
59,臺北市,北投區,5,425,0.43,106,141,20181124-230422
60,新北市,板橋區,1,118432,46.03,308,338,20181124-230422
61,新北市,板橋區,2,138886,53.97,308,338,20181124-230422
62,新北市,三重區,1,87774,50.23,208,235,20181124-230422
63,新北市,三重區,2,86954,49.77,208,235,20181124-230422
64,新北市,中和區,1,77101,36.6,235,244,20181124-230423
65,新北市,中和區,2,133539,63.4,235,244,20181124-230423
66,新北市,永和區,1,36039,32.43,131,138,20181124-230423
67,新北市,永和區,2,75095,67.57,131,138,20181124-230423
68,新北市,新莊區,1,91148,48.35,229,253,20181124-230423
69,新北市,新莊區,2,97381,51.65,229,253,20181124-230423
70,新北市,新店區,1,46237,31.34,164,176,20181124-230424
71,新北市,新店區,2,101310,68.66,164,176,20181124-230424
