,no,city,district,url
62,7,臺中市,豐原區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000000900000000.html
63,7,臺中市,東勢區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000001000000000.html
64,7,臺中市,大甲區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000001100000000.html
65,7,臺中市,清水區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000001200000000.html
66,7,臺中市,沙鹿區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000001300000000.html
67,7,臺中市,梧棲區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000001400000000.html
68,7,臺中市,后里區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000001500000000.html
69,7,臺中市,神岡區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000001600000000.html
70,7,臺中市,潭子區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000001700000000.html
71,7,臺中市,大雅區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000001800000000.html
72,7,臺中市,新社區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000001900000000.html
73,7,臺中市,石岡區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000002000000000.html
74,7,臺中市,外埔區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000002100000000.html
75,7,臺中市,大安區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000002200000000.html
76,7,臺中市,烏日區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000002300000000.html
77,7,臺中市,大肚區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000002400000000.html
78,7,臺中市,龍井區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000002500000000.html
79,7,臺中市,霧峰區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000002600000000.html
80,7,臺中市,太平區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000002700000000.html
81,7,臺中市,大里區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000002800000000.html
82,7,臺中市,和平區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/66000002900000000.html
83,7,臺南市,新營區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000000100000000.html
84,7,臺南市,鹽水區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000000200000000.html
85,7,臺南市,白河區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000000300000000.html
86,7,臺南市,柳營區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000000400000000.html
87,7,臺南市,後壁區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000000500000000.html
88,7,臺南市,東山區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000000600000000.html
89,7,臺南市,麻豆區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000000700000000.html
90,7,臺南市,下營區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000000800000000.html
91,7,臺南市,六甲區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000000900000000.html
92,7,臺南市,官田區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000001000000000.html
93,7,臺南市,大內區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000001100000000.html
94,7,臺南市,佳里區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000001200000000.html
95,7,臺南市,學甲區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000001300000000.html
96,7,臺南市,西港區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000001400000000.html
