,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,119,0.45,30,117,20181124-194217
1,臺北市,松山區,2,11322,42.57,30,117,20181124-194217
2,臺北市,松山區,3,4429,16.65,30,117,20181124-194217
3,臺北市,松山區,4,10612,39.9,30,117,20181124-194217
4,臺北市,松山區,5,112,0.42,30,117,20181124-194217
5,臺北市,信義區,1,183,0.45,50,142,20181124-194217
6,臺北市,信義區,2,17949,44.21,50,142,20181124-194217
7,臺北市,信義區,3,6517,16.05,50,142,20181124-194217
8,臺北市,信義區,4,15777,38.86,50,142,20181124-194217
9,臺北市,信義區,5,171,0.42,50,142,20181124-194217
10,臺北市,大安區,1,96,0.4,31,188,20181124-194218
11,臺北市,大安區,2,10468,44.14,31,188,20181124-194218
12,臺北市,大安區,3,3730,15.73,31,188,20181124-194218
13,臺北市,大安區,4,9320,39.3,31,188,20181124-194218
14,臺北市,大安區,5,102,0.43,31,188,20181124-194218
15,臺北市,中山區,1,282,0.4,79,133,20181124-194219
16,臺北市,中山區,2,26730,38.17,79,133,20181124-194219
17,臺北市,中山區,3,13498,19.27,79,133,20181124-194219
18,臺北市,中山區,4,29225,41.73,79,133,20181124-194219
19,臺北市,中山區,5,301,0.43,79,133,20181124-194219
20,臺北市,中正區,1,172,0.5,43,96,20181124-194220
21,臺北市,中正區,2,14197,41.39,43,96,20181124-194220
22,臺北市,中正區,3,5347,15.59,43,96,20181124-194220
23,臺北市,中正區,4,14427,42.06,43,96,20181124-194220
24,臺北市,中正區,5,154,0.45,43,96,20181124-194220
25,臺北市,大同區,1,156,0.41,46,82,20181124-194220
26,臺北市,大同區,2,11076,29.17,46,82,20181124-194220
27,臺北市,大同區,3,9356,24.64,46,82,20181124-194220
28,臺北市,大同區,4,17180,45.25,46,82,20181124-194220
29,臺北市,大同區,5,201,0.53,46,82,20181124-194220
30,臺北市,萬華區,1,301,0.41,83,117,20181124-194220
31,臺北市,萬華區,2,26919,36.99,83,117,20181124-194220
32,臺北市,萬華區,3,14924,20.51,83,117,20181124-194220
33,臺北市,萬華區,4,30305,41.64,83,117,20181124-194220
34,臺北市,萬華區,5,328,0.45,83,117,20181124-194220
35,臺北市,文山區,1,72,0.43,21,162,20181124-194221
36,臺北市,文山區,2,8042,48.39,21,162,20181124-194221
37,臺北市,文山區,3,2258,13.59,21,162,20181124-194221
38,臺北市,文山區,4,6172,37.14,21,162,20181124-194221
39,臺北市,文山區,5,76,0.46,21,162,20181124-194221
40,臺北市,南港區,1,243,0.42,62,72,20181124-194221
41,臺北市,南港區,2,22439,39.06,62,72,20181124-194221
42,臺北市,南港區,3,9471,16.49,62,72,20181124-194221
43,臺北市,南港區,4,25002,43.53,62,72,20181124-194221
44,臺北市,南港區,5,286,0.5,62,72,20181124-194221
45,臺北市,內湖區,1,153,0.35,46,150,20181124-194221
46,臺北市,內湖區,2,17975,41.64,46,150,20181124-194221
47,臺北市,內湖區,3,6049,14.01,46,150,20181124-194221
48,臺北市,內湖區,4,18810,43.57,46,150,20181124-194221
49,臺北市,內湖區,5,183,0.42,46,150,20181124-194221
50,臺北市,士林區,1,26,0.29,12,163,20181124-194222
51,臺北市,士林區,2,3227,35.75,12,163,20181124-194222
52,臺北市,士林區,3,2076,23.0,12,163,20181124-194222
53,臺北市,士林區,4,3668,40.64,12,163,20181124-194222
54,臺北市,士林區,5,29,0.32,12,163,20181124-194222
55,臺北市,北投區,1,66,0.45,17,141,20181124-194222
56,臺北市,北投區,2,5862,39.84,17,141,20181124-194222
57,臺北市,北投區,3,2702,18.36,17,141,20181124-194222
58,臺北市,北投區,4,6029,40.98,17,141,20181124-194222
59,臺北市,北投區,5,54,0.37,17,141,20181124-194222
60,新北市,板橋區,1,6474,47.46,22,338,20181124-194223
61,新北市,板橋區,2,7168,52.54,22,338,20181124-194223
62,新北市,三重區,1,11745,48.78,32,235,20181124-194223
63,新北市,三重區,2,12333,51.22,32,235,20181124-194223
64,新北市,中和區,1,49648,36.59,160,244,20181124-194223
65,新北市,中和區,2,86025,63.41,160,244,20181124-194223
66,新北市,永和區,1,11166,32.43,42,138,20181124-194224
67,新北市,永和區,2,23268,67.57,42,138,20181124-194224
68,新北市,新莊區,1,6872,48.06,21,253,20181124-194224
69,新北市,新莊區,2,7426,51.94,21,253,20181124-194224
70,新北市,新店區,1,19191,33.5,71,176,20181124-194224
71,新北市,新店區,2,38102,66.5,71,176,20181124-194224
72,新北市,樹林區,1,14081,46.42,40,111,20181124-194225
73,新北市,樹林區,2,16251,53.58,40,111,20181124-194225
74,新北市,鶯歌區,1,10603,46.53,28,50,20181124-194225
75,新北市,鶯歌區,2,12183,53.47,28,50,20181124-194225
76,新北市,三峽區,1,19919,42.77,60,70,20181124-194225
77,新北市,三峽區,2,26650,57.23,60,70,20181124-194225
78,新北市,淡水區,1,2866,40.81,9,96,20181124-194226
79,新北市,淡水區,2,4156,59.19,9,96,20181124-194226
80,新北市,汐止區,1,1978,40.92,7,111,20181124-194226
81,新北市,汐止區,2,2856,59.08,7,111,20181124-194226
82,新北市,瑞芳區,1,2207,39.4,20,46,20181124-194226
83,新北市,瑞芳區,2,3395,60.6,20,46,20181124-194226
84,新北市,土城區,1,20849,43.49,59,142,20181124-194227
85,新北市,土城區,2,27094,56.51,59,142,20181124-194227
86,新北市,蘆洲區,1,28327,51.03,61,104,20181124-194227
87,新北市,蘆洲區,2,27185,48.97,61,104,20181124-194227
88,新北市,五股區,1,11996,46.64,30,48,20181124-194227
89,新北市,五股區,2,13722,53.36,30,48,20181124-194227
90,新北市,泰山區,1,365,42.05,2,47,20181124-194228
91,新北市,泰山區,2,503,57.95,2,47,20181124-194228
92,新北市,林口區,1,15230,40.88,46,62,20181124-194228
93,新北市,林口區,2,22028,59.12,46,62,20181124-194228
94,新北市,深坑區,1,3533,40.91,12,16,20181124-194229
95,新北市,深坑區,2,5102,59.09,12,16,20181124-194229
96,新北市,石碇區,1,1440,50.03,9,13,20181124-194229
97,新北市,石碇區,2,1438,49.97,9,13,20181124-194229
98,新北市,坪林區,1,1265,53.85,8,10,20181124-194230
99,新北市,坪林區,2,1084,46.15,8,10,20181124-194230
100,新北市,三芝區,1,3364,39.9,14,18,20181124-194230
101,新北市,三芝區,2,5067,60.1,14,18,20181124-194230
102,新北市,石門區,1,2928,41.3,10,10,20181124-194230
103,新北市,石門區,2,4162,58.7,10,10,20181124-194230
104,新北市,八里區,1,5879,46.76,13,20,20181124-194230
