,案號,縣市,行政區,同意,不同意,有效,無效,投票數,投票權人數,投票率,有效同意票數對投票權人數百分比,已送投開票所數,應送投開票所數,時間
0,7,臺北市,松山區,1769,607,2376,126,2502.0,3932.0,63.63,44.99,3,117,20181124-201853
1,7,臺北市,信義區,4473,1267,5740,294,6034.0,10317.0,58.49,43.36,9,142,20181124-201853
2,7,臺北市,大安區,1009,337,1346,101,1447.0,2521.0,57.4,40.02,3,188,20181124-201853
3,7,臺北市,中山區,8735,2675,11410,870,12280.0,21400.0,57.38,40.82,17,133,20181124-201853
4,7,臺北市,中正區,4524,1212,5736,292,6028.0,10122.0,59.55,44.69,9,96,20181124-201853
5,7,臺北市,大同區,2856,1030,3886,343,4229.0,7246.0,58.36,39.41,6,82,20181124-201854
6,7,臺北市,萬華區,5279,1513,6792,554,7346.0,13205.0,55.63,39.98,10,117,20181124-201854
7,7,臺北市,文山區,702,228,930,74,1004.0,1774.0,56.6,39.57,2,162,20181124-201854
8,7,臺北市,南港區,12952,3845,16797,927,17724.0,31737.0,55.85,40.81,23,72,20181124-201854
9,7,臺北市,內湖區,667,178,845,60,905.0,1528.0,59.23,43.65,2,150,20181124-201855
10,7,臺北市,士林區,1668,588,2256,202,2458.0,4179.0,58.82,39.91,5,163,20181124-201855
11,7,臺北市,北投區,347,87,434,35,469.0,829.0,56.57,41.86,1,141,20181124-201855
12,7,新北市,板橋區,24589,7469,32058,2758,34816.0,61310.0,56.79,40.11,56,338,20181124-201855
13,7,新北市,三重區,21263,6615,27878,2794,30672.0,53428.0,57.41,39.8,45,235,20181124-201856
14,7,新北市,中和區,14587,3714,18301,1347,19648.0,34810.0,56.44,41.9,31,244,20181124-201856
15,7,新北市,永和區,10726,2703,13429,847,14276.0,23834.0,59.9,45.0,21,138,20181124-201856
16,7,新北市,新莊區,24985,7189,32174,2473,34647.0,60095.0,57.65,41.58,50,253,20181124-201856
17,7,新北市,新店區,4050,1058,5108,391,5499.0,9840.0,55.88,41.16,11,176,20181124-201857
18,7,新北市,樹林區,8593,2595,11188,854,12042.0,21955.0,54.85,39.14,19,111,20181124-201857
19,7,新北市,鶯歌區,1657,444,2101,116,2217.0,4524.0,49.01,36.63,5,50,20181124-201857
20,7,新北市,三峽區,8871,2421,11292,1054,12346.0,23850.0,51.77,37.19,22,70,20181124-201857
21,7,新北市,淡水區,5089,1348,6437,397,6834.0,13348.0,51.2,38.13,11,96,20181124-201857
22,7,新北市,汐止區,3782,1124,4906,395,5301.0,11291.0,46.95,33.5,9,111,20181124-201858
23,7,新北市,瑞芳區,4066,1186,5252,512,5764.0,12257.0,47.03,33.17,24,46,20181124-201858
24,7,新北市,土城區,8770,2353,11123,832,11955.0,23705.0,50.43,37.0,17,142,20181124-201858
25,7,新北市,蘆洲區,5070,1682,6752,635,7387.0,13120.0,56.3,38.64,10,104,20181124-201858
26,7,新北市,五股區,5207,1367,6574,546,7120.0,13620.0,52.28,38.23,11,48,20181124-201858
27,7,新北市,泰山區,798,235,1033,74,1107.0,2066.0,53.58,38.63,3,47,20181124-201859
28,7,新北市,林口區,413,144,557,50,607.0,1171.0,51.84,35.27,1,62,20181124-201859
29,7,新北市,深坑區,1503,382,1885,151,2036.0,3585.0,56.79,41.92,4,16,20181124-201859
30,7,新北市,石碇區,2358,719,3077,309,3386.0,6861.0,49.35,34.37,13,13,20181124-201859
31,7,新北市,坪林區,1159,307,1466,172,1638.0,3502.0,46.77,33.1,8,10,20181124-201900
32,7,新北市,三芝區,4221,1165,5386,399,5785.0,12261.0,47.18,34.43,11,18,20181124-201900
33,7,新北市,石門區,2020,498,2518,300,2818.0,5428.0,51.92,37.21,6,10,20181124-201900
34,7,新北市,八里區,0,0,0,0,0.0,0.0,0.0,0.0,0,20,20181124-201900
35,7,新北市,平溪區,1187,348,1535,153,1688.0,3459.0,48.8,34.32,11,12,20181124-201901
36,7,新北市,雙溪區,2306,613,2919,322,3241.0,6952.0,46.62,33.17,16,17,20181124-201901
37,7,新北市,貢寮區,3309,1075,4384,423,4807.0,11279.0,42.62,29.34,18,18,20181124-201901
38,7,新北市,金山區,3252,903,4155,456,4611.0,9185.0,50.2,35.41,12,19,20181124-201901
39,7,新北市,萬里區,1963,507,2470,222,2692.0,5534.0,48.64,35.47,6,16,20181124-201902
40,7,新北市,烏來區,90,22,112,2,114.0,228.0,50.0,39.47,1,6,20181124-201902
41,7,桃園市,桃園區,1165,298,1463,77,1540.0,3061.0,50.31,38.06,3,216,20181124-201902
