,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,145,0.43,38,117,20181124-195406
1,臺北市,松山區,2,14476,42.82,38,117,20181124-195406
2,臺北市,松山區,3,5677,16.79,38,117,20181124-195406
3,臺北市,松山區,4,13380,39.58,38,117,20181124-195406
4,臺北市,松山區,5,127,0.38,38,117,20181124-195406
5,臺北市,信義區,1,218,0.44,60,142,20181124-195406
6,臺北市,信義區,2,22007,44.34,60,142,20181124-195406
7,臺北市,信義區,3,7954,16.02,60,142,20181124-195406
8,臺北市,信義區,4,19251,38.79,60,142,20181124-195406
9,臺北市,信義區,5,205,0.41,60,142,20181124-195406
10,臺北市,大安區,1,122,0.41,39,188,20181124-195406
11,臺北市,大安區,2,13162,44.21,39,188,20181124-195406
12,臺北市,大安區,3,4743,15.93,39,188,20181124-195406
13,臺北市,大安區,4,11622,39.03,39,188,20181124-195406
14,臺北市,大安區,5,125,0.42,39,188,20181124-195406
15,臺北市,中山區,1,302,0.4,85,133,20181124-195406
16,臺北市,中山區,2,28646,37.93,85,133,20181124-195406
17,臺北市,中山區,3,14714,19.48,85,133,20181124-195406
18,臺北市,中山區,4,31548,41.77,85,133,20181124-195406
19,臺北市,中山區,5,320,0.42,85,133,20181124-195406
20,臺北市,中正區,1,185,0.48,48,96,20181124-195406
21,臺北市,中正區,2,15903,41.16,48,96,20181124-195406
22,臺北市,中正區,3,6096,15.78,48,96,20181124-195406
23,臺北市,中正區,4,16277,42.12,48,96,20181124-195406
24,臺北市,中正區,5,180,0.47,48,96,20181124-195406
25,臺北市,大同區,1,163,0.4,50,82,20181124-195407
26,臺北市,大同區,2,12087,29.3,50,82,20181124-195407
27,臺北市,大同區,3,10138,24.57,50,82,20181124-195407
28,臺北市,大同區,4,18653,45.22,50,82,20181124-195407
29,臺北市,大同區,5,213,0.52,50,82,20181124-195407
30,臺北市,萬華區,1,316,0.41,88,117,20181124-195407
31,臺北市,萬華區,2,28972,37.42,88,117,20181124-195407
32,臺北市,萬華區,3,15636,20.19,88,117,20181124-195407
33,臺北市,萬華區,4,32154,41.52,88,117,20181124-195407
34,臺北市,萬華區,5,356,0.46,88,117,20181124-195407
35,臺北市,文山區,1,101,0.44,28,162,20181124-195407
36,臺北市,文山區,2,10896,47.8,28,162,20181124-195407
37,臺北市,文山區,3,3123,13.7,28,162,20181124-195407
38,臺北市,文山區,4,8563,37.57,28,162,20181124-195407
39,臺北市,文山區,5,111,0.49,28,162,20181124-195407
40,臺北市,南港區,1,243,0.42,62,72,20181124-195407
41,臺北市,南港區,2,22439,39.06,62,72,20181124-195407
42,臺北市,南港區,3,9471,16.49,62,72,20181124-195407
43,臺北市,南港區,4,25002,43.53,62,72,20181124-195407
44,臺北市,南港區,5,286,0.5,62,72,20181124-195407
45,臺北市,內湖區,1,216,0.37,62,150,20181124-195408
46,臺北市,內湖區,2,24477,41.54,62,150,20181124-195408
47,臺北市,內湖區,3,8412,14.28,62,150,20181124-195408
48,臺北市,內湖區,4,25565,43.39,62,150,20181124-195408
49,臺北市,內湖區,5,252,0.43,62,150,20181124-195408
50,臺北市,士林區,1,30,0.28,14,163,20181124-195408
51,臺北市,士林區,2,3926,36.8,14,163,20181124-195408
52,臺北市,士林區,3,2379,22.3,14,163,20181124-195408
53,臺北市,士林區,4,4300,40.3,14,163,20181124-195408
54,臺北市,士林區,5,34,0.32,14,163,20181124-195408
55,臺北市,北投區,1,88,0.44,23,141,20181124-195408
56,臺北市,北投區,2,8183,40.66,23,141,20181124-195408
57,臺北市,北投區,3,3620,17.99,23,141,20181124-195408
58,臺北市,北投區,4,8157,40.53,23,141,20181124-195408
59,臺北市,北投區,5,77,0.38,23,141,20181124-195408
60,新北市,板橋區,1,8745,47.81,28,338,20181124-195408
61,新北市,板橋區,2,9547,52.19,28,338,20181124-195408
62,新北市,三重區,1,14403,48.97,39,235,20181124-195408
63,新北市,三重區,2,15011,51.03,39,235,20181124-195408
64,新北市,中和區,1,53417,36.6,170,244,20181124-195409
65,新北市,中和區,2,92523,63.4,170,244,20181124-195409
66,新北市,永和區,1,13156,32.36,49,138,20181124-195409
67,新北市,永和區,2,27494,67.64,49,138,20181124-195409
68,新北市,新莊區,1,9914,48.12,29,253,20181124-195410
69,新北市,新莊區,2,10687,51.88,29,253,20181124-195410
70,新北市,新店區,1,22225,33.16,81,176,20181124-195410
71,新北市,新店區,2,44797,66.84,81,176,20181124-195410
72,新北市,樹林區,1,16826,46.56,47,111,20181124-195410
73,新北市,樹林區,2,19316,53.44,47,111,20181124-195410
74,新北市,鶯歌區,1,12075,46.43,31,50,20181124-195411
75,新北市,鶯歌區,2,13932,53.57,31,50,20181124-195411
76,新北市,三峽區,1,20666,42.85,62,70,20181124-195411
77,新北市,三峽區,2,27559,57.15,62,70,20181124-195411
78,新北市,淡水區,1,3537,41.62,11,96,20181124-195411
79,新北市,淡水區,2,4961,58.38,11,96,20181124-195411
80,新北市,汐止區,1,1978,40.92,7,111,20181124-195411
81,新北市,汐止區,2,2856,59.08,7,111,20181124-195411
82,新北市,瑞芳區,1,2906,39.39,24,46,20181124-195411
83,新北市,瑞芳區,2,4471,60.61,24,46,20181124-195411
84,新北市,土城區,1,22914,43.77,64,142,20181124-195412
85,新北市,土城區,2,29440,56.23,64,142,20181124-195412
86,新北市,蘆洲區,1,31705,51.26,68,104,20181124-195412
87,新北市,蘆洲區,2,30147,48.74,68,104,20181124-195412
88,新北市,五股區,1,12957,46.85,32,48,20181124-195412
89,新北市,五股區,2,14701,53.15,32,48,20181124-195412
90,新北市,泰山區,1,365,42.05,2,47,20181124-195413
91,新北市,泰山區,2,503,57.95,2,47,20181124-195413
92,新北市,林口區,1,16651,40.24,51,62,20181124-195413
93,新北市,林口區,2,24726,59.76,51,62,20181124-195413
94,新北市,深坑區,1,3917,40.98,13,16,20181124-195415
95,新北市,深坑區,2,5642,59.02,13,16,20181124-195415
96,新北市,石碇區,1,2076,51.81,11,13,20181124-195415
97,新北市,石碇區,2,1931,48.19,11,13,20181124-195415
98,新北市,坪林區,1,1265,53.85,8,10,20181124-195415
99,新北市,坪林區,2,1084,46.15,8,10,20181124-195415
100,新北市,三芝區,1,3744,40.78,15,18,20181124-195416
101,新北市,三芝區,2,5436,59.22,15,18,20181124-195416
102,新北市,石門區,1,2928,41.3,10,10,20181124-195416
103,新北市,石門區,2,4162,58.7,10,10,20181124-195416
104,新北市,八里區,1,6648,46.54,15,20,20181124-195416
105,新北市,八里區,2,7635,53.46,15,20,20181124-195416
106,新北市,平溪區,1,1417,46.72,12,12,20181124-195416
107,新北市,平溪區,2,1616,53.28,12,12,20181124-195416
108,新北市,雙溪區,1,2110,44.94,16,17,20181124-195416
109,新北市,雙溪區,2,2585,55.06,16,17,20181124-195416
110,新北市,貢寮區,1,3698,54.21,18,18,20181124-195417
111,新北市,貢寮區,2,3123,45.79,18,18,20181124-195417
112,新北市,金山區,1,4587,45.97,17,19,20181124-195417
113,新北市,金山區,2,5392,54.03,17,19,20181124-195417
114,新北市,萬里區,1,4928,42.95,16,16,20181124-195418
115,新北市,萬里區,2,6547,57.05,16,16,20181124-195418
116,新北市,烏來區,1,94,54.34,1,6,20181124-195418
117,新北市,烏來區,2,79,45.66,1,6,20181124-195418
118,桃園市,桃園區,1,402,1.97,26,216,20181124-195418
119,桃園市,桃園區,2,7506,36.83,26,216,20181124-195418
120,桃園市,桃園區,3,1509,7.41,26,216,20181124-195418
121,桃園市,桃園區,4,58,0.28,26,216,20181124-195418
122,桃園市,桃園區,5,10903,53.5,26,216,20181124-195418
123,桃園市,中壢區,1,251,1.68,17,210,20181124-195418
124,桃園市,中壢區,2,6373,42.53,17,210,20181124-195418
125,桃園市,中壢區,3,555,3.7,17,210,20181124-195418
126,桃園市,中壢區,4,65,0.43,17,210,20181124-195418
127,桃園市,中壢區,5,7740,51.66,17,210,20181124-195418
128,桃園市,大溪區,1,272,1.32,26,59,20181124-195419
129,桃園市,大溪區,2,6315,30.71,26,59,20181124-195419
130,桃園市,大溪區,3,846,4.11,26,59,20181124-195419
131,桃園市,大溪區,4,89,0.43,26,59,20181124-195419
132,桃園市,大溪區,5,13040,63.42,26,59,20181124-195419
133,桃園市,楊梅區,1,52,1.63,4,82,20181124-195419
134,桃園市,楊梅區,2,1287,40.34,4,82,20181124-195419
135,桃園市,楊梅區,3,136,4.26,4,82,20181124-195419
136,桃園市,楊梅區,4,11,0.34,4,82,20181124-195419
137,桃園市,楊梅區,5,1704,53.42,4,82,20181124-195419
138,桃園市,蘆竹區,1,32,2.12,2,76,20181124-195420
139,桃園市,蘆竹區,2,398,26.41,2,76,20181124-195420
140,桃園市,蘆竹區,3,102,6.77,2,76,20181124-195420
141,桃園市,蘆竹區,4,5,0.33,2,76,20181124-195420
142,桃園市,蘆竹區,5,970,64.37,2,76,20181124-195420
143,桃園市,大園區,1,27,1.62,2,50,20181124-195420
144,桃園市,大園區,2,481,28.94,2,50,20181124-195420
145,桃園市,大園區,3,121,7.28,2,50,20181124-195420
146,桃園市,大園區,4,10,0.6,2,50,20181124-195420
147,桃園市,大園區,5,1023,61.55,2,50,20181124-195420
148,桃園市,龜山區,1,16,1.62,2,78,20181124-195420
149,桃園市,龜山區,2,268,27.18,2,78,20181124-195420
150,桃園市,龜山區,3,60,6.09,2,78,20181124-195420
151,桃園市,龜山區,4,3,0.3,2,78,20181124-195420
152,桃園市,龜山區,5,639,64.81,2,78,20181124-195420
