,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,150,0.42,40,117,20181124-195840
1,臺北市,松山區,2,15357,43.17,40,117,20181124-195840
2,臺北市,松山區,3,5901,16.59,40,117,20181124-195840
3,臺北市,松山區,4,14030,39.44,40,117,20181124-195840
4,臺北市,松山區,5,137,0.39,40,117,20181124-195840
5,臺北市,信義區,1,220,0.44,61,142,20181124-195840
6,臺北市,信義區,2,22332,44.22,61,142,20181124-195840
7,臺北市,信義區,3,8133,16.11,61,142,20181124-195840
8,臺北市,信義區,4,19603,38.82,61,142,20181124-195840
9,臺北市,信義區,5,209,0.41,61,142,20181124-195840
10,臺北市,大安區,1,126,0.39,42,188,20181124-195841
11,臺北市,大安區,2,14231,44.08,42,188,20181124-195841
12,臺北市,大安區,3,5134,15.9,42,188,20181124-195841
13,臺北市,大安區,4,12664,39.23,42,188,20181124-195841
14,臺北市,大安區,5,129,0.4,42,188,20181124-195841
15,臺北市,中山區,1,314,0.4,89,133,20181124-195842
16,臺北市,中山區,2,30027,37.79,89,133,20181124-195842
17,臺北市,中山區,3,15565,19.59,89,133,20181124-195842
18,臺北市,中山區,4,33218,41.8,89,133,20181124-195842
19,臺北市,中山區,5,336,0.42,89,133,20181124-195842
20,臺北市,中正區,1,202,0.48,52,96,20181124-195843
21,臺北市,中正區,2,17484,41.32,52,96,20181124-195843
22,臺北市,中正區,3,6724,15.89,52,96,20181124-195843
23,臺北市,中正區,4,17700,41.83,52,96,20181124-195843
24,臺北市,中正區,5,201,0.48,52,96,20181124-195843
25,臺北市,大同區,1,163,0.4,50,82,20181124-195843
26,臺北市,大同區,2,12087,29.3,50,82,20181124-195843
27,臺北市,大同區,3,10138,24.57,50,82,20181124-195843
28,臺北市,大同區,4,18653,45.22,50,82,20181124-195843
29,臺北市,大同區,5,213,0.52,50,82,20181124-195843
30,臺北市,萬華區,1,325,0.41,89,117,20181124-195844
31,臺北市,萬華區,2,29312,37.32,89,117,20181124-195844
32,臺北市,萬華區,3,15920,20.27,89,117,20181124-195844
33,臺北市,萬華區,4,32625,41.54,89,117,20181124-195844
34,臺北市,萬華區,5,364,0.46,89,117,20181124-195844
35,臺北市,文山區,1,114,0.47,30,162,20181124-195844
