,案號,縣市,行政區,同意,不同意,有效,無效,投票數,投票權人數,投票率,有效同意票數對投票權人數百分比,已送投開票所數,應送投開票所數,時間
0,7,臺北市,松山區,14741,4540,19281,1170,20451.0,34667.0,58.99,42.52,25,117,20181124-221525
1,7,臺北市,信義區,37821,10690,48511,2609,51120.0,87259.0,58.58,43.34,69,142,20181124-221525
2,7,臺北市,大安區,17638,5535,23173,1213,24386.0,44080.0,55.32,40.01,36,188,20181124-221525
3,7,臺北市,中山區,49172,15828,65000,4462,69462.0,123123.0,56.42,39.94,85,133,20181124-221525
4,7,臺北市,中正區,26227,7935,34162,2043,36205.0,62229.0,58.18,42.15,49,96,20181124-221525
5,7,臺北市,大同區,20784,7142,27926,2332,30258.0,51748.0,58.47,40.16,42,82,20181124-221526
6,7,臺北市,萬華區,40407,12191,52598,4201,56799.0,102694.0,55.31,39.35,75,117,20181124-221526
7,7,臺北市,文山區,29596,7623,37219,2424,39643.0,65689.0,60.35,45.05,51,162,20181124-221526
8,7,臺北市,南港區,42649,11859,54508,3120,57628.0,100518.0,57.33,42.43,71,72,20181124-221526
9,7,臺北市,內湖區,35250,9957,45207,2567,47774.0,81714.0,58.46,43.14,55,150,20181124-221526
10,7,臺北市,士林區,21932,7428,29360,2525,31885.0,56331.0,56.6,38.93,43,163,20181124-221527
11,7,臺北市,北投區,14542,4237,18779,1428,20207.0,37108.0,54.45,39.19,28,141,20181124-221527
12,7,新北市,板橋區,135575,40686,176261,14139,190400.0,338360.0,56.27,40.07,259,338,20181124-221527
13,7,新北市,三重區,73733,23124,96857,9574,106431.0,188594.0,56.43,39.1,142,235,20181124-221527
14,7,新北市,中和區,86397,22287,108684,7345,116029.0,209764.0,55.31,41.19,151,244,20181124-221528
15,7,新北市,永和區,48667,12013,60680,3779,64459.0,108710.0,59.29,44.77,84,138,20181124-221528
16,7,新北市,新莊區,94516,27649,122165,9270,131435.0,234331.0,56.09,40.33,175,253,20181124-221528
17,7,新北市,新店區,46105,10949,57054,3615,60669.0,109389.0,55.46,42.15,81,176,20181124-221528
18,7,新北市,樹林區,39983,11452,51435,3698,55133.0,101260.0,54.45,39.49,77,111,20181124-221529
19,7,新北市,鶯歌區,19009,5546,24555,1678,26233.0,49633.0,52.85,38.3,37,50,20181124-221529
20,7,新北市,三峽區,33473,9526,42999,3047,46046.0,87905.0,52.38,38.08,66,70,20181124-221529
21,7,新北市,淡水區,29362,8149,37511,2455,39966.0,75641.0,52.84,38.82,55,96,20181124-221529
22,7,新北市,汐止區,39160,10574,49734,3359,53093.0,102570.0,51.76,38.18,67,111,20181124-221529
23,7,新北市,瑞芳區,10099,2743,12842,1069,13911.0,28974.0,48.01,34.86,42,46,20181124-221530
24,7,新北市,土城區,57852,16369,74221,5835,80056.0,148922.0,53.76,38.85,108,142,20181124-221530
25,7,新北市,蘆洲區,46397,14175,60572,5123,65695.0,122900.0,53.45,37.75,78,104,20181124-221530
26,7,新北市,五股區,24336,7023,31359,2563,33922.0,64231.0,52.81,37.89,43,48,20181124-221530
27,7,新北市,泰山區,10865,2967,13832,903,14735.0,26628.0,55.34,40.8,22,47,20181124-221530
28,7,新北市,林口區,20579,5466,26045,1624,27669.0,49507.0,55.89,41.57,37,62,20181124-221531
29,7,新北市,深坑區,6962,1863,8825,601,9426.0,17434.0,54.07,39.93,14,16,20181124-221531
30,7,新北市,石碇區,2358,719,3077,309,3386.0,6861.0,49.35,34.37,13,13,20181124-221531
31,7,新北市,坪林區,2075,535,2610,311,2921.0,5891.0,49.58,35.22,10,10,20181124-221531
32,7,新北市,三芝區,6999,1927,8926,704,9630.0,20119.0,47.87,34.79,18,18,20181124-221531
33,7,新北市,石門區,3899,1018,4917,509,5426.0,10528.0,51.54,37.03,10,10,20181124-221532
34,7,新北市,八里區,9405,2580,11985,939,12924.0,24174.0,53.46,38.91,15,20,20181124-221532
35,7,新北市,平溪區,1428,412,1840,190,2030.0,4321.0,46.98,33.05,12,12,20181124-221532
36,7,新北市,雙溪區,2739,737,3476,373,3849.0,7999.0,48.12,34.24,17,17,20181124-221532
37,7,新北市,貢寮區,3309,1075,4384,423,4807.0,11279.0,42.62,29.34,18,18,20181124-221533
38,7,新北市,金山區,6226,1650,7876,771,8647.0,17197.0,50.28,36.2,18,19,20181124-221533
39,7,新北市,萬里區,6883,1811,8694,854,9548.0,19297.0,49.48,35.67,16,16,20181124-221533
40,7,新北市,烏來區,942,210,1152,79,1231.0,2527.0,48.71,37.28,4,6,20181124-221533
41,7,桃園市,桃園區,34558,9283,43841,2454,46295.0,90684.0,51.05,38.11,61,216,20181124-221533
42,7,桃園市,中壢區,31959,7958,39917,2171,42088.0,79582.0,52.89,40.16,57,210,20181124-221534
43,7,桃園市,大溪區,18045,5024,23069,1886,24955.0,47868.0,52.13,37.7,37,59,20181124-221534
44,7,桃園市,楊梅區,26355,5922,32277,1688,33965.0,67230.0,50.52,39.2,43,82,20181124-221534
45,7,桃園市,蘆竹區,29488,8073,37561,2433,39994.0,77939.0,51.31,37.83,50,76,20181124-221534
46,7,桃園市,大園區,12253,3287,15540,1021,16561.0,33704.0,49.14,36.35,24,50,20181124-221534
47,7,桃園市,龜山區,16240,4194,20434,1210,21644.0,45054.0,48.04,36.05,31,78,20181124-221535
48,7,桃園市,八德區,38398,10048,48446,3095,51541.0,102118.0,50.47,37.6,67,101,20181124-221535
49,7,桃園市,龍潭區,20000,4379,24379,1355,25734.0,48794.0,52.74,40.99,34,64,20181124-221535
50,7,桃園市,平鎮區,41125,9711,50836,2485,53321.0,99914.0,53.37,41.16,73,125,20181124-221536
51,7,桃園市,新屋區,12574,3372,15946,960,16906.0,30846.0,54.81,40.76,24,30,20181124-221536
52,7,桃園市,觀音區,11540,2968,14508,979,15487.0,31382.0,49.35,36.77,24,41,20181124-221536
53,7,桃園市,復興區,999,245,1244,92,1336.0,2625.0,50.9,38.06,3,10,20181124-221536
54,7,臺中市,中區,5376,1350,6726,389,7115.0,13044.0,54.55,41.21,11,12,20181124-221536
55,7,臺中市,東區,22275,5410,27685,1720,29405.0,50060.0,58.74,44.5,39,49,20181124-221536
56,7,臺中市,南區,35416,8463,43879,2393,46272.0,76164.0,60.75,46.5,55,74,20181124-221537
57,7,臺中市,西區,27383,7049,34432,1723,36155.0,62006.0,58.31,44.16,45,66,20181124-221537
58,7,臺中市,北區,24676,5786,30462,1540,32002.0,57063.0,56.08,43.24,43,87,20181124-221537
59,7,臺中市,西屯區,47806,10600,58406,2963,61369.0,106090.0,57.85,45.06,72,120,20181124-221537
60,7,臺中市,南屯區,43225,9924,53149,2637,55786.0,92601.0,60.24,46.68,71,101,20181124-221537
61,7,臺中市,北屯區,55735,12220,67955,3444,71399.0,124354.0,57.42,44.82,78,137,20181124-221538
62,7,臺中市,豐原區,32891,8833,41724,2627,44351.0,74328.0,59.67,44.25,50,88,20181124-221538
63,7,臺中市,東勢區,17243,3853,21096,1588,22684.0,38908.0,58.3,44.32,36,39,20181124-221538
64,7,臺中市,大甲區,24968,6085,31053,2127,33180.0,58370.0,56.84,42.78,51,54,20181124-221538
65,7,臺中市,清水區,28946,6486,35432,2282,37714.0,64732.0,58.26,44.72,54,59,20181124-221538
66,7,臺中市,沙鹿區,16198,3719,19917,1220,21137.0,36732.0,57.54,44.1,29,53,20181124-221539
67,7,臺中市,梧棲區,17784,4248,22032,1449,23481.0,40917.0,57.39,43.46,32,36,20181124-221539
68,7,臺中市,后里區,16128,3599,19727,1274,21001.0,36259.0,57.92,44.48,31,37,20181124-221539
69,7,臺中市,神岡區,18066,4393,22459,1472,23931.0,40579.0,58.97,44.52,32,42,20181124-221539
70,7,臺中市,潭子區,20751,4732,25483,1391,26874.0,46838.0,57.38,44.3,30,55,20181124-221539
71,7,臺中市,大雅區,22767,5162,27929,1582,29511.0,52752.0,55.94,43.16,32,46,20181124-221540
72,7,臺中市,新社區,8246,1889,10135,651,10786.0,20860.0,51.71,39.53,23,23,20181124-221540
73,7,臺中市,石岡區,5735,1379,7114,477,7591.0,12880.0,58.94,44.53,10,10,20181124-221540
74,7,臺中市,外埔區,11312,2481,13793,832,14625.0,25157.0,58.13,44.97,19,20,20181124-221540
75,7,臺中市,大安區,7288,1691,8979,734,9713.0,16520.0,58.8,44.12,16,16,20181124-221541
76,7,臺中市,烏日區,16865,3981,20846,1354,22200.0,37846.0,58.66,44.56,26,40,20181124-221541
77,7,臺中市,大肚區,10260,2246,12506,696,13202.0,22996.0,57.41,44.62,17,33,20181124-221541
78,7,臺中市,龍井區,18299,4913,23212,1322,24534.0,44160.0,55.56,41.44,33,45,20181124-221542
79,7,臺中市,霧峰區,19227,4399,23626,1810,25436.0,42271.0,60.17,45.49,34,43,20181124-221542
80,7,臺中市,太平區,40908,9187,50095,3031,53126.0,97847.0,54.29,41.81,61,93,20181124-221542
81,7,臺中市,大里區,34301,8054,42355,2501,44856.0,79858.0,56.17,42.95,53,106,20181124-221542
82,7,臺中市,和平區,2468,449,2917,169,3086.0,5219.0,59.13,47.29,12,17,20181124-221542
83,7,臺南市,新營區,17970,4832,22802,1498,24300.0,49706.0,48.89,36.15,40,49,20181124-221543
84,7,臺南市,鹽水區,6332,1878,8210,815,9025.0,19504.0,46.27,32.47,29,31,20181124-221543
85,7,臺南市,白河區,7115,2194,9309,945,10254.0,24894.0,41.19,28.58,32,32,20181124-221543
86,7,臺南市,柳營區,6416,1700,8116,880,8996.0,18804.0,47.84,34.12,25,25,20181124-221543
87,7,臺南市,後壁區,6384,1789,8173,1083,9256.0,20841.0,44.41,30.63,29,29,20181124-221543
88,7,臺南市,東山區,4432,1291,5723,684,6407.0,17831.0,35.93,24.86,22,23,20181124-221544
89,7,臺南市,麻豆區,10806,3375,14181,973,15154.0,32121.0,47.18,33.64,31,35,20181124-221544
90,7,臺南市,下營區,6734,1827,8561,882,9443.0,20947.0,45.08,32.15,19,19,20181124-221544
91,7,臺南市,六甲區,6274,1934,8208,904,9112.0,19144.0,47.6,32.77,19,19,20181124-221544
92,7,臺南市,官田區,6127,1935,8062,681,8743.0,18675.0,46.82,32.81,20,20,20181124-221544
93,7,臺南市,大內區,2868,708,3576,450,4026.0,8654.0,46.52,33.14,11,11,20181124-221545
94,7,臺南市,佳里區,19007,4960,23967,1833,25800.0,50407.0,51.18,37.71,41,41,20181124-221545
95,7,臺南市,學甲區,7444,2145,9589,862,10451.0,22567.0,46.31,32.99,26,26,20181124-221545
96,7,臺南市,西港區,7029,1898,8927,665,9592.0,21564.0,44.48,32.6,20,20,20181124-221545
97,7,臺南市,七股區,5111,1363,6474,589,7063.0,17117.0,41.26,29.86,22,24,20181124-221545
98,7,臺南市,將軍區,5144,1406,6550,631,7181.0,17754.0,40.45,28.97,24,24,20181124-221546
99,7,臺南市,北門區,2791,714,3505,286,3791.0,9925.0,38.2,28.12,18,18,20181124-221546
100,7,臺南市,新化區,13968,3880,17848,1819,19667.0,37296.0,52.73,37.45,37,37,20181124-221546
101,7,臺南市,善化區,11399,3486,14885,1242,16127.0,32394.0,49.78,35.19,24,29,20181124-221546
102,7,臺南市,新市區,11296,3511,14807,1203,16010.0,30386.0,52.69,37.18,27,27,20181124-221547
103,7,臺南市,安定區,9675,2801,12476,1199,13675.0,26104.0,52.39,37.06,24,24,20181124-221547
104,7,臺南市,山上區,1960,542,2502,264,2766.0,6511.0,42.48,30.1,9,9,20181124-221547
105,7,臺南市,玉井區,4278,1046,5324,470,5794.0,12357.0,46.89,34.62,16,16,20181124-221547
106,7,臺南市,楠西區,2647,696,3343,312,3655.0,8528.0,42.86,31.04,9,9,20181124-221547
107,7,臺南市,南化區,2581,694,3275,343,3618.0,7786.0,46.47,33.15,10,10,20181124-221548
108,7,臺南市,左鎮區,1315,348,1663,246,1909.0,4418.0,43.21,29.76,10,10,20181124-221548
109,7,臺南市,仁德區,11036,3179,14215,1170,15385.0,29919.0,51.42,36.89,25,49,20181124-221548
110,7,臺南市,歸仁區,19551,5844,25395,2076,27471.0,53132.0,51.7,36.8,43,46,20181124-221548
111,7,臺南市,關廟區,11016,3138,14154,1190,15344.0,29913.0,51.3,36.83,32,32,20181124-221549
112,7,臺南市,龍崎區,1201,330,1531,164,1695.0,3713.0,45.65,32.35,8,8,20181124-221549
113,7,臺南市,永康區,56181,15407,71588,4868,76456.0,148825.0,51.37,37.75,112,142,20181124-221549
114,7,臺南市,東區,25435,7909,33344,2289,35633.0,66189.0,53.84,38.43,41,93,20181124-221549
115,7,臺南市,南區,22590,7247,29837,2865,32702.0,64811.0,50.46,34.86,52,80,20181124-221549
116,7,臺南市,北區,27239,8533,35772,2414,38186.0,72626.0,52.58,37.51,55,81,20181124-221550
117,7,臺南市,安南區,25090,7167,32257,2804,35061.0,67429.0,52.0,37.21,43,90,20181124-221550
118,7,臺南市,安平區,4993,1401,6394,353,6747.0,13254.0,50.91,37.67,9,32,20181124-221550
119,7,臺南市,中西區,12193,4176,16369,1326,17695.0,32318.0,54.75,37.73,27,52,20181124-221550
120,7,高雄市,鹽埕區,7504,2486,9990,577,10567.0,19090.0,55.35,39.31,22,24,20181124-221550
121,7,高雄市,鼓山區,14176,3938,18114,1641,19755.0,34688.0,56.95,40.87,30,77,20181124-221551
122,7,高雄市,左營區,14713,3675,18388,1315,19703.0,32992.0,59.72,44.6,31,103,20181124-221551
123,7,高雄市,楠梓區,29803,7938,37741,3100,40841.0,68271.0,59.82,43.65,47,99,20181124-221551
124,7,高雄市,三民區,48196,14617,62813,4502,67315.0,117245.0,57.41,41.11,87,189,20181124-221551
125,7,高雄市,新興區,15434,4649,20083,1404,21487.0,35862.0,59.92,43.04,35,42,20181124-221551
126,7,高雄市,前金區,7443,2311,9754,749,10503.0,17570.0,59.78,42.36,18,22,20181124-221552
127,7,高雄市,苓雅區,36777,10864,47641,2930,50571.0,85627.0,59.06,42.95,73,116,20181124-221552
128,7,高雄市,前鎮區,24436,7063,31499,2717,34216.0,59883.0,57.14,40.81,50,119,20181124-221552
129,7,高雄市,旗津區,7669,2461,10130,1131,11261.0,22815.0,49.36,33.61,17,18,20181124-221552
130,7,高雄市,小港區,29707,7986,37693,2682,40375.0,68740.0,58.74,43.22,49,89,20181124-221552
131,7,高雄市,鳳山區,54473,14676,69149,5155,74304.0,126574.0,58.7,43.04,109,228,20181124-221553
132,7,高雄市,林園區,20016,5331,25347,2213,27560.0,50140.0,54.97,39.92,45,51,20181124-221553
133,7,高雄市,大寮區,31029,7910,38939,2942,41881.0,74891.0,55.92,41.43,65,81,20181124-221553
134,7,高雄市,大樹區,13368,3517,16885,1388,18273.0,33591.0,54.4,39.8,30,32,20181124-221553
135,7,高雄市,大社區,10595,3613,14208,1178,15386.0,27074.0,56.83,39.13,22,24,20181124-221553
136,7,高雄市,仁武區,17464,4551,22015,1471,23486.0,40310.0,58.26,43.32,28,47,20181124-221554
137,7,高雄市,鳥松區,6603,1918,8521,568,9089.0,14889.0,61.05,44.35,12,28,20181124-221554
138,7,高雄市,岡山區,17590,4463,22053,1591,23644.0,39070.0,60.52,45.02,39,72,20181124-221554
139,7,高雄市,橋頭區,11968,3498,15466,1422,16888.0,27709.0,60.95,43.19,27,31,20181124-221554
140,7,高雄市,燕巢區,10065,2619,12684,1200,13884.0,24910.0,55.74,40.41,24,25,20181124-221554
141,7,高雄市,田寮區,2119,621,2740,340,3080.0,6671.0,46.17,31.76,12,12,20181124-221555
142,7,高雄市,阿蓮區,9426,2614,12040,871,12911.0,24534.0,52.62,38.42,21,21,20181124-221555
143,7,高雄市,路竹區,15996,4491,20487,1749,22236.0,38317.0,58.03,41.75,37,41,20181124-221555
144,7,高雄市,湖內區,9650,2652,12302,931,13233.0,24712.0,53.55,39.05,23,24,20181124-221555
145,7,高雄市,茄萣區,8709,2808,11517,1226,12743.0,24427.0,52.17,35.65,20,21,20181124-221555
146,7,高雄市,永安區,3108,942,4050,408,4458.0,7215.0,61.79,43.08,9,12,20181124-221556
147,7,高雄市,彌陀區,7027,1965,8992,1060,10052.0,16487.0,60.97,42.62,18,18,20181124-221556
148,7,高雄市,梓官區,11027,3018,14045,1323,15368.0,26438.0,58.13,41.71,25,28,20181124-221556
149,7,高雄市,旗山區,11924,3125,15049,1339,16388.0,29779.0,55.03,40.04,33,35,20181124-221556
150,7,高雄市,美濃區,12246,3175,15421,1512,16933.0,31072.0,54.5,39.41,29,32,20181124-221557
