,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,85,0.5,20,117,20181124-192618
1,臺北市,松山區,2,6794,39.83,20,117,20181124-192618
2,臺北市,松山區,3,3053,17.9,20,117,20181124-192618
3,臺北市,松山區,4,7050,41.33,20,117,20181124-192618
4,臺北市,松山區,5,77,0.45,20,117,20181124-192618
5,臺北市,信義區,1,112,0.44,32,142,20181124-192619
6,臺北市,信義區,2,11369,44.36,32,142,20181124-192619
7,臺北市,信義區,3,4093,15.97,32,142,20181124-192619
8,臺北市,信義區,4,9949,38.82,32,142,20181124-192619
9,臺北市,信義區,5,105,0.41,32,142,20181124-192619
10,臺北市,大安區,1,69,0.46,20,188,20181124-192619
11,臺北市,大安區,2,6657,44.28,20,188,20181124-192619
12,臺北市,大安區,3,2311,15.37,20,188,20181124-192619
13,臺北市,大安區,4,5923,39.4,20,188,20181124-192619
14,臺北市,大安區,5,73,0.49,20,188,20181124-192619
15,臺北市,中山區,1,204,0.38,60,133,20181124-192619
16,臺北市,中山區,2,20712,39.04,60,133,20181124-192619
17,臺北市,中山區,3,9940,18.73,60,133,20181124-192619
18,臺北市,中山區,4,21978,41.42,60,133,20181124-192619
19,臺北市,中山區,5,226,0.43,60,133,20181124-192619
20,臺北市,中正區,1,139,0.52,34,96,20181124-192619
21,臺北市,中正區,2,11290,41.9,34,96,20181124-192619
22,臺北市,中正區,3,4159,15.44,34,96,20181124-192619
23,臺北市,中正區,4,11234,41.7,34,96,20181124-192619
24,臺北市,中正區,5,121,0.45,34,96,20181124-192619
25,臺北市,大同區,1,117,0.4,36,82,20181124-192619
26,臺北市,大同區,2,8502,29.0,36,82,20181124-192619
27,臺北市,大同區,3,7302,24.91,36,82,20181124-192619
28,臺北市,大同區,4,13234,45.14,36,82,20181124-192619
29,臺北市,大同區,5,164,0.56,36,82,20181124-192619
30,臺北市,萬華區,1,283,0.43,76,117,20181124-192620
31,臺北市,萬華區,2,24595,36.95,76,117,20181124-192620
32,臺北市,萬華區,3,13666,20.53,76,117,20181124-192620
33,臺北市,萬華區,4,27722,41.65,76,117,20181124-192620
34,臺北市,萬華區,5,293,0.44,76,117,20181124-192620
35,臺北市,文山區,1,68,0.48,18,162,20181124-192620
36,臺北市,文山區,2,6763,47.99,18,162,20181124-192620
37,臺北市,文山區,3,1945,13.8,18,162,20181124-192620
38,臺北市,文山區,4,5255,37.29,18,162,20181124-192620
39,臺北市,文山區,5,62,0.44,18,162,20181124-192620
40,臺北市,南港區,1,231,0.42,59,72,20181124-192620
41,臺北市,南港區,2,21300,39.08,59,72,20181124-192620
42,臺北市,南港區,3,8978,16.47,59,72,20181124-192620
43,臺北市,南港區,4,23722,43.52,59,72,20181124-192620
44,臺北市,南港區,5,278,0.51,59,72,20181124-192620
45,臺北市,內湖區,1,116,0.36,35,150,20181124-192620
46,臺北市,內湖區,2,13398,41.25,35,150,20181124-192620
47,臺北市,內湖區,3,4718,14.53,35,150,20181124-192620
48,臺北市,內湖區,4,14114,43.46,35,150,20181124-192620
49,臺北市,內湖區,5,131,0.4,35,150,20181124-192620
50,臺北市,士林區,1,17,0.28,8,163,20181124-192620
51,臺北市,士林區,2,2136,35.42,8,163,20181124-192620
52,臺北市,士林區,3,1435,23.8,8,163,20181124-192620
53,臺北市,士林區,4,2423,40.18,8,163,20181124-192620
54,臺北市,士林區,5,19,0.32,8,163,20181124-192620
55,臺北市,北投區,1,41,0.46,11,141,20181124-192621
56,臺北市,北投區,2,3579,40.49,11,141,20181124-192621
57,臺北市,北投區,3,1662,18.8,11,141,20181124-192621
58,臺北市,北投區,4,3519,39.81,11,141,20181124-192621
59,臺北市,北投區,5,38,0.43,11,141,20181124-192621
60,新北市,板橋區,1,3615,45.82,14,338,20181124-192621
61,新北市,板橋區,2,4275,54.18,14,338,20181124-192621
62,新北市,三重區,1,8560,49.53,23,235,20181124-192621
63,新北市,三重區,2,8723,50.47,23,235,20181124-192621
64,新北市,中和區,1,43942,36.6,144,244,20181124-192621
65,新北市,中和區,2,76123,63.4,144,244,20181124-192621
66,新北市,永和區,1,9652,31.96,37,138,20181124-192621
67,新北市,永和區,2,20546,68.04,37,138,20181124-192621
68,新北市,新莊區,1,3222,48.94,10,253,20181124-192622
69,新北市,新莊區,2,3361,51.06,10,253,20181124-192622
70,新北市,新店區,1,15978,33.56,60,176,20181124-192622
71,新北市,新店區,2,31627,66.44,60,176,20181124-192622
72,新北市,樹林區,1,14081,46.42,40,111,20181124-192622
73,新北市,樹林區,2,16251,53.58,40,111,20181124-192622
74,新北市,鶯歌區,1,8266,46.11,23,50,20181124-192622
75,新北市,鶯歌區,2,9661,53.89,23,50,20181124-192622
76,新北市,三峽區,1,19145,42.83,58,70,20181124-192623
77,新北市,三峽區,2,25554,57.17,58,70,20181124-192623
78,新北市,淡水區,1,1851,42.78,6,96,20181124-192623
79,新北市,淡水區,2,2476,57.22,6,96,20181124-192623
80,新北市,汐止區,1,1721,42.93,6,111,20181124-192623
81,新北市,汐止區,2,2288,57.07,6,111,20181124-192623
82,新北市,瑞芳區,1,1839,39.99,17,46,20181124-192624
83,新北市,瑞芳區,2,2760,60.01,17,46,20181124-192624
84,新北市,土城區,1,17989,43.85,51,142,20181124-192624
85,新北市,土城區,2,23036,56.15,51,142,20181124-192624
86,新北市,蘆洲區,1,21855,51.47,47,104,20181124-192624
87,新北市,蘆洲區,2,20605,48.53,47,104,20181124-192624
88,新北市,五股區,1,11464,46.46,29,48,20181124-192624
89,新北市,五股區,2,13212,53.54,29,48,20181124-192624
90,新北市,泰山區,1,365,42.05,2,47,20181124-192625
91,新北市,泰山區,2,503,57.95,2,47,20181124-192625
92,新北市,林口區,1,13257,40.96,40,62,20181124-192625
93,新北市,林口區,2,19111,59.04,40,62,20181124-192625
94,新北市,深坑區,1,3533,40.91,12,16,20181124-192625
95,新北市,深坑區,2,5102,59.09,12,16,20181124-192625
96,新北市,石碇區,1,1303,49.3,8,13,20181124-192625
97,新北市,石碇區,2,1340,50.7,8,13,20181124-192625
98,新北市,坪林區,1,1265,53.85,8,10,20181124-192625
99,新北市,坪林區,2,1084,46.15,8,10,20181124-192625
100,新北市,三芝區,1,3043,40.34,13,18,20181124-192626
101,新北市,三芝區,2,4501,59.66,13,18,20181124-192626
102,新北市,石門區,1,2928,41.3,10,10,20181124-192626
103,新北市,石門區,2,4162,58.7,10,10,20181124-192626
104,新北市,八里區,1,5490,47.09,12,20,20181124-192626
105,新北市,八里區,2,6169,52.91,12,20,20181124-192626
106,新北市,平溪區,1,1417,46.72,12,12,20181124-192626
107,新北市,平溪區,2,1616,53.28,12,12,20181124-192626
108,新北市,雙溪區,1,1476,46.58,12,17,20181124-192626
109,新北市,雙溪區,2,1693,53.42,12,17,20181124-192626
110,新北市,貢寮區,1,3287,55.12,16,18,20181124-192627
111,新北市,貢寮區,2,2676,44.88,16,18,20181124-192627
112,新北市,金山區,1,3287,45.43,14,19,20181124-192627
113,新北市,金山區,2,3948,54.57,14,19,20181124-192627
114,新北市,萬里區,1,4357,42.35,14,16,20181124-192627
115,新北市,萬里區,2,5932,57.65,14,16,20181124-192627
116,新北市,烏來區,1,94,54.34,1,6,20181124-192628
117,新北市,烏來區,2,79,45.66,1,6,20181124-192628
118,桃園市,桃園區,1,210,2.02,14,216,20181124-192628
119,桃園市,桃園區,2,3790,36.48,14,216,20181124-192628
120,桃園市,桃園區,3,758,7.3,14,216,20181124-192628
121,桃園市,桃園區,4,26,0.25,14,216,20181124-192628
122,桃園市,桃園區,5,5605,53.95,14,216,20181124-192628
123,桃園市,中壢區,1,119,1.45,9,210,20181124-192628
124,桃園市,中壢區,2,3381,41.32,9,210,20181124-192628
125,桃園市,中壢區,3,297,3.63,9,210,20181124-192628
126,桃園市,中壢區,4,34,0.42,9,210,20181124-192628
127,桃園市,中壢區,5,4352,53.18,9,210,20181124-192628
128,桃園市,大溪區,1,152,1.33,14,59,20181124-192628
129,桃園市,大溪區,2,3533,30.86,14,59,20181124-192628
130,桃園市,大溪區,3,476,4.16,14,59,20181124-192628
131,桃園市,大溪區,4,55,0.48,14,59,20181124-192628
132,桃園市,大溪區,5,7234,63.18,14,59,20181124-192628
133,桃園市,楊梅區,1,0,0.0,0,82,20181124-192629
134,桃園市,楊梅區,2,0,0.0,0,82,20181124-192629
135,桃園市,楊梅區,3,0,0.0,0,82,20181124-192629
136,桃園市,楊梅區,4,0,0.0,0,82,20181124-192629
137,桃園市,楊梅區,5,0,0.0,0,82,20181124-192629
138,桃園市,蘆竹區,1,0,0.0,0,76,20181124-192629
139,桃園市,蘆竹區,2,0,0.0,0,76,20181124-192629
140,桃園市,蘆竹區,3,0,0.0,0,76,20181124-192629
141,桃園市,蘆竹區,4,0,0.0,0,76,20181124-192629
