,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,174,0.4,50,117,20181124-201156
1,臺北市,松山區,2,18945,43.06,50,117,20181124-201156
2,臺北市,松山區,3,7363,16.74,50,117,20181124-201156
3,臺北市,松山區,4,17348,39.43,50,117,20181124-201156
4,臺北市,松山區,5,167,0.38,50,117,20181124-201156
5,臺北市,信義區,1,239,0.42,68,142,20181124-201156
6,臺北市,信義區,2,24974,44.15,68,142,20181124-201156
7,臺北市,信義區,3,9198,16.26,68,142,20181124-201156
8,臺北市,信義區,4,21901,38.72,68,142,20181124-201156
9,臺北市,信義區,5,248,0.44,68,142,20181124-201156
10,臺北市,大安區,1,162,0.39,53,188,20181124-201157
11,臺北市,大安區,2,18576,44.63,53,188,20181124-201157
12,臺北市,大安區,3,6452,15.5,53,188,20181124-201157
13,臺北市,大安區,4,16258,39.06,53,188,20181124-201157
14,臺北市,大安區,5,177,0.43,53,188,20181124-201157
15,臺北市,中山區,1,331,0.39,95,133,20181124-201157
16,臺北市,中山區,2,32297,37.95,95,133,20181124-201157
17,臺北市,中山區,3,16609,19.52,95,133,20181124-201157
18,臺北市,中山區,4,35496,41.71,95,133,20181124-201157
19,臺北市,中山區,5,360,0.42,95,133,20181124-201157
20,臺北市,中正區,1,229,0.48,59,96,20181124-201157
21,臺北市,中正區,2,19912,41.34,59,96,20181124-201157
22,臺北市,中正區,3,7659,15.9,59,96,20181124-201157
23,臺北市,中正區,4,20152,41.83,59,96,20181124-201157
24,臺北市,中正區,5,219,0.45,59,96,20181124-201157
25,臺北市,大同區,1,183,0.39,56,82,20181124-201158
26,臺北市,大同區,2,13605,29.26,56,82,20181124-201158
27,臺北市,大同區,3,11393,24.51,56,82,20181124-201158
28,臺北市,大同區,4,21067,45.32,56,82,20181124-201158
29,臺北市,大同區,5,241,0.52,56,82,20181124-201158
30,臺北市,萬華區,1,356,0.42,96,117,20181124-201158
31,臺北市,萬華區,2,31702,37.13,96,117,20181124-201158
32,臺北市,萬華區,3,17393,20.37,96,117,20181124-201158
33,臺北市,萬華區,4,35542,41.62,96,117,20181124-201158
34,臺北市,萬華區,5,396,0.46,96,117,20181124-201158
35,臺北市,文山區,1,147,0.47,39,162,20181124-201158
36,臺北市,文山區,2,14866,47.44,39,162,20181124-201158
37,臺北市,文山區,3,4267,13.62,39,162,20181124-201158
38,臺北市,文山區,4,11892,37.95,39,162,20181124-201158
39,臺北市,文山區,5,167,0.53,39,162,20181124-201158
40,臺北市,南港區,1,254,0.42,65,72,20181124-201159
41,臺北市,南港區,2,23758,39.25,65,72,20181124-201159
42,臺北市,南港區,3,9859,16.29,65,72,20181124-201159
43,臺北市,南港區,4,26365,43.55,65,72,20181124-201159
44,臺北市,南港區,5,300,0.5,65,72,20181124-201159
45,臺北市,內湖區,1,290,0.39,78,150,20181124-201159
46,臺北市,內湖區,2,30937,41.1,78,150,20181124-201159
47,臺北市,內湖區,3,10849,14.41,78,150,20181124-201159
48,臺北市,內湖區,4,32885,43.68,78,150,20181124-201159
