,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,209,0.41,57,117,20181124-202424
1,臺北市,松山區,2,21806,43.24,57,117,20181124-202424
2,臺北市,松山區,3,8493,16.84,57,117,20181124-202424
3,臺北市,松山區,4,19740,39.14,57,117,20181124-202424
4,臺北市,松山區,5,186,0.37,57,117,20181124-202424
5,臺北市,信義區,1,283,0.42,80,142,20181124-202425
6,臺北市,信義區,2,29396,44.03,80,142,20181124-202425
7,臺北市,信義區,3,10916,16.35,80,142,20181124-202425
8,臺北市,信義區,4,25876,38.76,80,142,20181124-202425
9,臺北市,信義區,5,286,0.43,80,142,20181124-202425
10,臺北市,大安區,1,191,0.39,62,188,20181124-202425
11,臺北市,大安區,2,21727,44.27,62,188,20181124-202425
12,臺北市,大安區,3,7668,15.62,62,188,20181124-202425
13,臺北市,大安區,4,19285,39.3,62,188,20181124-202425
14,臺北市,大安區,5,205,0.42,62,188,20181124-202425
15,臺北市,中山區,1,345,0.38,100,133,20181124-202426
16,臺北市,中山區,2,34199,37.98,100,133,20181124-202426
17,臺北市,中山區,3,17577,19.52,100,133,20181124-202426
18,臺北市,中山區,4,37547,41.7,100,133,20181124-202426
19,臺北市,中山區,5,365,0.41,100,133,20181124-202426
20,臺北市,中正區,1,252,0.47,65,96,20181124-202426
21,臺北市,中正區,2,22174,41.49,65,96,20181124-202426
22,臺北市,中正區,3,8449,15.81,65,96,20181124-202426
23,臺北市,中正區,4,22330,41.78,65,96,20181124-202426
24,臺北市,中正區,5,242,0.45,65,96,20181124-202426
25,臺北市,大同區,1,210,0.39,64,82,20181124-202426
26,臺北市,大同區,2,15825,29.49,64,82,20181124-202426
27,臺北市,大同區,3,13148,24.5,64,82,20181124-202426
28,臺北市,大同區,4,24197,45.09,64,82,20181124-202426
29,臺北市,大同區,5,283,0.53,64,82,20181124-202426
30,臺北市,萬華區,1,370,0.41,101,117,20181124-202427
31,臺北市,萬華區,2,33535,37.34,101,117,20181124-202427
32,臺北市,萬華區,3,18255,20.33,101,117,20181124-202427
33,臺北市,萬華區,4,37233,41.46,101,117,20181124-202427
34,臺北市,萬華區,5,413,0.46,101,117,20181124-202427
35,臺北市,文山區,1,165,0.46,44,162,20181124-202429
36,臺北市,文山區,2,16922,47.2,44,162,20181124-202429
37,臺北市,文山區,3,4891,13.64,44,162,20181124-202429
38,臺北市,文山區,4,13692,38.19,44,162,20181124-202429
39,臺北市,文山區,5,184,0.51,44,162,20181124-202429
40,臺北市,南港區,1,254,0.42,65,72,20181124-202429
41,臺北市,南港區,2,23758,39.25,65,72,20181124-202429
42,臺北市,南港區,3,9859,16.29,65,72,20181124-202429
43,臺北市,南港區,4,26365,43.55,65,72,20181124-202429
44,臺北市,南港區,5,300,0.5,65,72,20181124-202429
45,臺北市,內湖區,1,313,0.38,85,150,20181124-202430
46,臺北市,內湖區,2,33911,41.1,85,150,20181124-202430
47,臺北市,內湖區,3,11859,14.37,85,150,20181124-202430
48,臺北市,內湖區,4,36088,43.73,85,150,20181124-202430
49,臺北市,內湖區,5,346,0.42,85,150,20181124-202430
50,臺北市,士林區,1,87,0.32,32,163,20181124-202430
51,臺北市,士林區,2,9878,36.39,32,163,20181124-202430
52,臺北市,士林區,3,5985,22.05,32,163,20181124-202430
53,臺北市,士林區,4,11100,40.89,32,163,20181124-202430
54,臺北市,士林區,5,98,0.36,32,163,20181124-202430
55,臺北市,北投區,1,150,0.38,43,141,20181124-202431
56,臺北市,北投區,2,15942,40.19,43,141,20181124-202431
57,臺北市,北投區,3,7149,18.02,43,141,20181124-202431
58,臺北市,北投區,4,16269,41.01,43,141,20181124-202431
59,臺北市,北投區,5,157,0.4,43,141,20181124-202431
60,新北市,板橋區,1,21570,47.42,64,338,20181124-202431
61,新北市,板橋區,2,23920,52.58,64,338,20181124-202431
62,新北市,三重區,1,23457,49.71,61,235,20181124-202432
63,新北市,三重區,2,23731,50.29,61,235,20181124-202432
64,新北市,中和區,1,60287,36.45,190,244,20181124-202432
65,新北市,中和區,2,105124,63.55,190,244,20181124-202432
66,新北市,永和區,1,16748,32.62,62,138,20181124-202433
67,新北市,永和區,2,34596,67.38,62,138,20181124-202433
68,新北市,新莊區,1,19294,47.73,54,253,20181124-202433
69,新北市,新莊區,2,21129,52.27,54,253,20181124-202433
70,新北市,新店區,1,30934,32.07,111,176,20181124-202434
71,新北市,新店區,2,65531,67.93,111,176,20181124-202434
72,新北市,樹林區,1,19462,46.54,55,111,20181124-202435
73,新北市,樹林區,2,22352,53.46,55,111,20181124-202435
74,新北市,鶯歌區,1,15604,46.78,39,50,20181124-202435
75,新北市,鶯歌區,2,17751,53.22,39,50,20181124-202435
76,新北市,三峽區,1,22939,42.85,68,70,20181124-202436
77,新北市,三峽區,2,30596,57.15,68,70,20181124-202436
78,新北市,淡水區,1,5640,41.11,18,96,20181124-202436
79,新北市,淡水區,2,8078,58.89,18,96,20181124-202436
80,新北市,汐止區,1,3989,39.69,14,111,20181124-202436
81,新北市,汐止區,2,6062,60.31,14,111,20181124-202436
82,新北市,瑞芳區,1,4066,39.84,30,46,20181124-202436
83,新北市,瑞芳區,2,6139,60.16,30,46,20181124-202436
84,新北市,土城區,1,29145,44.29,81,142,20181124-202438
85,新北市,土城區,2,36655,55.71,81,142,20181124-202438
86,新北市,蘆洲區,1,39551,50.92,85,104,20181124-202438
87,新北市,蘆洲區,2,38121,49.08,85,104,20181124-202438
88,新北市,五股區,1,14785,46.98,36,48,20181124-202439
