107年臺北市市長選舉候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
行政區別,村里別,投開票所別,吳蕚洋,丁守中,姚文智,柯文哲,李錫錕,有效票數,無效票數,投票數,已領未投票數,發出票數,用餘票數,選舉人數(原領票數),投票率
　　,試院里,1485,9,593,106,367,6,"1,081",6,"1,087",0,"1,087",469,"1,556",69.86
　　,試院里,1486,7,535,93,370,7,"1,012",9,"1,021",0,"1,021",422,"1,443",70.76
　　,試院里,1487,8,454,117,330,5,914,11,925,0,925,448,"1,373",67.37
　　,試院里,1488,4,460,118,418,5,"1,005",7,"1,012",0,"1,012",443,"1,455",69.55
　　,華興里,1489,4,528,109,379,6,"1,026",6,"1,032",0,"1,032",458,"1,490",69.26
　　,華興里,1490,7,458,151,403,2,"1,021",7,"1,028",0,"1,028",496,"1,524",67.45
　　,華興里,1491,4,546,94,372,7,"1,023",7,"1,030",0,"1,030",443,"1,473",69.93
　　,華興里,1492,7,510,128,413,3,"1,061",8,"1,069",0,"1,069",459,"1,528",69.96
　　,華興里,1493,6,477,118,398,7,"1,006",7,"1,013",0,"1,013",474,"1,487",68.12
　　,明義里,1494,1,385,144,334,4,868,6,874,0,874,544,"1,418",61.64
　　,明義里,1495,4,211,38,109,3,365,4,369,0,369,272,641,57.57
　　,明義里,1496,4,415,70,264,5,758,15,773,0,773,510,"1,283",60.25
　　,明興里,1497,4,382,141,313,3,843,10,853,0,853,556,"1,409",60.54
　　,明興里,1498,7,462,102,392,7,970,10,980,0,980,520,"1,500",65.33
　　,明興里,1499,5,429,101,404,0,939,13,952,0,952,486,"1,438",66.20
　　,明興里,1500,4,477,105,444,3,"1,033",6,"1,039",0,"1,039",467,"1,506",68.99
　　,木柵里,1501,0,492,121,366,1,980,9,989,0,989,529,"1,518",65.15
　　,木柵里,1502,5,507,95,351,9,967,5,972,0,972,528,"1,500",64.80
　　,木柵里,1503,5,505,114,348,6,978,11,989,0,989,497,"1,486",66.55
　　,木柵里,1504,4,539,70,363,5,981,5,986,0,986,483,"1,469",67.12
　　,木柵里,1505,5,594,91,332,2,"1,024",4,"1,028",0,"1,028",467,"1,495",68.76
　　,木新里,1506,7,445,177,392,3,"1,024",12,"1,036",0,"1,036","1,661","2,697",38.41
　　,木新里,1507,3,412,173,362,6,956,8,964,0,964,684,"1,648",58.50
　　,木新里,1508,3,397,150,388,1,939,13,952,0,952,521,"1,473",64.63
　　,木新里,1509,5,432,125,360,7,929,17,946,0,946,583,"1,529",61.87
　　,木新里,1510,8,402,145,414,5,974,8,982,0,982,558,"1,540",63.77
　　,順興里,1511,3,371,137,365,6,882,11,893,0,893,504,"1,397",63.92
　　,順興里,1512,11,437,132,363,0,943,10,953,0,953,434,"1,387",68.71
　　,順興里,1513,2,443,154,356,3,958,8,966,0,966,392,"1,358",71.13
　　,順興里,1514,5,320,107,309,3,744,13,757,1,758,323,"1,081",70.03
　　,順興里,1515,2,304,106,275,3,690,8,698,0,698,350,"1,048",66.60
　　,忠順里,1516,2,413,83,237,4,739,9,748,0,748,300,"1,048",71.37
　　,忠順里,1517,0,473,82,334,7,896,12,908,0,908,364,"1,272",71.38
　　,忠順里,1518,3,432,88,299,6,828,4,832,0,832,356,"1,188",70.03
　　,樟林里,1519,1,463,90,310,5,869,7,876,0,876,472,"1,348",64.99
　　,樟林里,1520,5,443,105,338,3,894,12,906,0,906,461,"1,367",66.28
　　,樟林里,1521,3,439,126,350,8,926,12,938,0,938,426,"1,364",68.77
　　,樟林里,1522,3,409,134,401,3,950,4,954,0,954,537,"1,491",63.98
　　,樟林里,1523,8,583,130,383,4,"1,108",6,"1,114",0,"1,114",488,"1,602",69.54
