107年臺北市市長選舉候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
行政區別,村里別,投開票所別,吳蕚洋,丁守中,姚文智,柯文哲,李錫錕,有效票數,無效票數,投票數,已領未投票數,發出票數,用餘票數,選舉人數(原領票數),投票率
　　,萬美里,1543,1,480,116,442,8,"1,047",9,"1,056",0,"1,056",503,"1,559",67.74
　　,萬美里,1544,6,447,116,324,0,893,14,907,0,907,590,"1,497",60.59
　　,萬美里,1545,4,550,102,358,3,"1,017",9,"1,026",0,"1,026",596,"1,622",63.26
　　,萬美里,1546,6,461,155,369,7,998,11,"1,009",0,"1,009",602,"1,611",62.63
　　,博嘉里,1547,13,490,222,433,3,"1,161",10,"1,171",0,"1,171",593,"1,764",66.38
　　,博嘉里,1548,2,272,111,270,4,659,7,666,0,666,280,946,70.40
　　,博嘉里,1549,5,476,65,321,5,872,9,881,0,881,386,"1,267",69.53
　　,博嘉里,1550,3,319,97,280,1,700,9,709,0,709,280,989,71.69
　　,萬興里,1551,5,455,123,412,4,999,8,"1,007",0,"1,007",501,"1,508",66.78
　　,萬興里,1552,2,400,137,369,4,912,6,918,0,918,484,"1,402",65.48
　　,萬興里,1553,5,427,131,314,4,881,6,887,0,887,388,"1,275",69.57
　　,萬興里,1554,5,393,134,365,4,901,5,906,0,906,435,"1,341",67.56
　　,萬興里,1555,4,334,170,346,8,862,9,871,0,871,468,"1,339",65.05
　　,政大里,1556,4,388,129,378,9,908,6,914,0,914,482,"1,396",65.47
　　,政大里,1557,6,438,119,390,2,955,0,955,0,955,437,"1,392",68.61
　　,政大里,1558,11,496,102,525,3,"1,137",10,"1,147",0,"1,147",508,"1,655",69.31
　　,政大里,1559,4,432,106,367,2,911,6,917,1,918,477,"1,395",65.73
　　,指南里,1560,4,373,96,358,2,833,4,837,0,837,405,"1,242",67.39
　　,指南里,1561,4,332,127,319,3,785,16,801,0,801,460,"1,261",63.52
　　,指南里,1562,4,154,150,230,7,545,15,560,0,560,280,840,66.67
　　,老泉里,1563,5,149,149,224,2,529,11,540,0,540,216,756,71.43
